Name,Team,GS,IP,Balls,Strikes,Pitches,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv
Aaron Thompson,Pirates,1,4.1,28,40,68,57.40,88.30,11.8,84.10,,,,,30.9,82.20,,,,
Jim Johnson,Angels,1,1.1,11,14,25,68.0,93.90,,,,,16.0,79.50,16.0,88.30,,,,
Enny Romero,Rays,1,4.2,32,38,70,78.6,93.90,10.0,82.40,,,,,11.4,84.80,,,,
Matt Albers,White Sox,1,2,9,16,25,88.0,92.10,12.0,87.00,,,,,,,,,,
Jeurys Familia,Mets,1,4,42,33,75,74.7,95.30,18.7,83.10,,,,,6.7,87.80,,,,
Gonzalez Germen,Rockies,1,3,12,22,34,61.8,93.70,8.8,87.00,,,,,29.4,85.30,,,,
Dellin Betances,Yankees,1,2,21,23,44,61.4,93.20,,,,,25.0,83.50,13.6,86.50,,,,
Nick Vincent,Mariners,1,2,9,17,26,69.2,89.70,,,26.9,87.40,,,3.9,84.00,,,,
Dan Jennings,Brewers,1,0.1,1,2,3,33.3,92.00,66.7,83.00,,,,,,,,,,
Nick Greenwood,Cardinals,1,3,12,24,36,63.9,87.30,19.4,79.60,,,5.6,72.00,11.1,81.30,,,,
John Axford,Blue Jays,1,3,14,24,38,68.4,95.00,,,5.3,91.50,26.3,80.00,,,,,,
Alex Wilson,Tigers,1,3,14,29,43,62.8,92.10,2.3,85.00,27.9,86.80,,,7.0,87.00,,,,
Matt Grace,Nationals,1,4.1,20,32,52,75.0,90.40,17.3,82.60,,,,,7.7,85.50,,,,
Tony Zych,Mariners,1,2.2,12,27,39,51.3,95.50,43.6,83.70,,,,,5.1,85.50,,,,
Connor Sadzeck,Rangers,2,2,18,18,36,52.8,97.20,38.9,88.60,,,8.3,78.70,,,,,,
Lou Trivino,Athletics,1,1,4,7,11,45.5,97.80,,,45.5,94.40,9.1,82.00,,,,,,
Kyle McGowin,Nationals,1,4,34,34,68,64.7,90.90,25.0,81.60,,,,,10.3,83.00,,,,
Rob Zastryzny,Cubs,1,3.2,23,34,57,59.7,89.40,,,21.1,84.50,15.8,78.40,3.5,82.00,,,,
Tyler Danish,White Sox,1,5,43,61,104,53.9,89.70,10.6,81.30,12.5,84.20,7.7,76.80,15.4,79.10,,,,
Jonathan Holder,Yankees,1,1,10,9,19,68.4,91.90,26.3,80.00,,,,,5.3,85.00,,,,
Jeffrey Springs,Rangers,2,5,26,50,76,61.8,91.40,15.8,82.10,,,,,22.4,78.90,,,,
Matthew Festa,Mariners,1,1,5,8,13,61.5,92.80,30.8,87.50,,,7.7,81.00,,,,,,
Bryse Wilson,Braves,1,5,35,52,87,71.3,95.00,14.9,82.60,,,,,13.8,86.60,,,,
Jason Lane,Padres,1,6,24,68,92,52.2,85.50,9.8,76.90,,,2.2,73.50,35.9,78.10,,,,
Wilmer Font,Rays,5,21,130,214,344,64.8,94.80,13.7,82.60,,,12.2,75.70,,,9.3,85.30,,
Zach Kroenke,Diamondbacks,1,5,28,43,71,78.9,90.70,2.8,81.50,,,,,18.3,84.00,,,,
Ian Thomas,Dodgers,1,5,32,49,81,58.0,90.20,12.4,86.70,,,9.9,71.30,19.8,79.80,,,,
Ryan Merritt,Indians,5,24.2,125,236,361,33.2,87.00,,,26.3,84.90,14.1,71.90,26.3,81.40,,,,
Red Patterson,Dodgers,1,4.2,37,50,87,58.6,87.40,6.9,81.30,,,11.5,75.40,23.0,78.70,,,,
Alex Reyes,Cardinals,6,32.2,214,349,563,61.6,95.70,8.9,83.70,,,7.3,77.50,22.2,87.40,,,,
Craig Breslow,Red Sox,2,9.1,45,76,121,44.6,89.80,,,22.3,84.90,6.6,72.60,26.5,78.60,,,,
Clayton Kershaw,Dodgers,265,1817.2,8942,17875,26817,57.6,92.90,28.0,86.40,,,12.6,73.60,1.8,84.50,,,,
