Year,FB%,SL%,CT%,CB%,CH%,SF%,KN%
2010,0.16,0,0,0,0,0,0.84
2010,0.62,0.22,0,0,0.17,0,0
2010,0.57,0.2,0.15,0.01,0.07,0.01,0
2010,0.64,0.15,0.06,0.04,0.06,0.06,0
2010,0.64,0.11,0,0.15,0,0.1,0
2010,0.55,0.35,0,0,0,0.11,0
2010,0.49,0.23,0,0.16,0,0.12,0
2010,0.55,0.32,0,0,0,0.13,0
2010,0.3,0.27,0,0.05,0.23,0.16,0
2010,0.69,0.09,0,0.06,0,0.16,0
2010,0.55,0.11,0.16,0.02,0,0.17,0
2010,0.42,0,0.27,0.13,0,0.18,0
2010,0.72,0.2,0,0.07,0.02,0,0
2010,0.57,0.28,0,0.12,0.03,0,0
2010,0.72,0.1,0,0.15,0.03,0,0
2010,0.53,0.03,0.22,0.19,0.03,0,0
2010,0.56,0,0.26,0.15,0.04,0,0
2010,0.63,0,0.17,0.17,0.04,0,0
2010,0.58,0.18,0,0.2,0.04,0,0
2010,0.49,0.2,0,0.27,0.04,0,0
2010,0.69,0,0,0.28,0.04,0,0
2010,0.78,0.18,0,0,0.04,0,0
2010,0.65,0.31,0,0,0.04,0,0
2010,0.69,0.12,0,0.14,0.05,0,0
2010,0.56,0.24,0,0.15,0.05,0,0
2010,0.58,0.37,0,0,0.05,0,0
2010,0.71,0.14,0,0.09,0.06,0,0
2010,0.74,0.05,0,0.16,0.06,0,0
2010,0.51,0,0.23,0.2,0.06,0,0
2010,0.59,0.14,0,0.21,0.06,0,0
2010,0.57,0.27,0,0.09,0.07,0,0
2010,0.62,0.22,0,0.1,0.07,0,0
2010,0.61,0.2,0,0.11,0.07,0,0
2010,0.61,0.19,0,0.14,0.07,0,0
2010,0.57,0,0.2,0.16,0.07,0,0
2010,0.52,0.12,0.07,0.23,0.07,0,0
2010,0.36,0.01,0.32,0.25,0.07,0,0
2010,0.59,0.29,0,0.03,0.08,0,0
2010,0.63,0.12,0,0.17,0.08,0,0
2010,0.44,0.28,0,0.2,0.08,0,0
2010,0.62,0,0,0.3,0.08,0,0
2010,0.71,0.18,0,0.02,0.09,0,0
2010,0.64,0.02,0.2,0.06,0.09,0,0
2010,0.57,0.11,0.14,0.09,0.09,0,0
2010,0.64,0.19,0,0.09,0.09,0,0
2010,0.58,0.05,0,0.28,0.09,0,0
2010,0.46,0.16,0,0.29,0.09,0,0
2010,0.63,0.28,0,0,0.09,0,0
2010,0.55,0.35,0,0,0.1,0,0
2010,0.6,0.23,0,0.07,0.1,0,0
2010,0.48,0.16,0.15,0.11,0.1,0,0
2010,0.61,0.16,0,0.13,0.1,0,0
2010,0.56,0.17,0,0.17,0.1,0,0
2010,0.55,0.27,0.08,0,0.1,0,0
2010,0.64,0.23,0,0.02,0.11,0,0
2010,0.52,0.18,0.12,0.08,0.11,0,0
2010,0.55,0,0.15,0.18,0.11,0,0
2010,0.52,0,0,0.36,0.11,0,0
2010,0.62,0.28,0,0,0.11,0,0
2010,0.56,0.33,0,0,0.11,0,0
2010,0.62,0.22,0,0.05,0.12,0,0
2010,0.49,0.12,0.19,0.09,0.12,0,0
2010,0.5,0,0.22,0.16,0.12,0,0
2010,0.37,0,0.34,0.17,0.12,0,0
2010,0.52,0.25,0,0.1,0.13,0,0
2010,0.61,0.16,0,0.11,0.13,0,0
2010,0.56,0,0.2,0.12,0.13,0,0
2010,0.59,0.14,0,0.14,0.13,0,0
2010,0.67,0.1,0,0.09,0.14,0,0
2010,0.61,0.15,0,0.09,0.14,0,0
2010,0.6,0.14,0,0.12,0.14,0,0
2010,0.58,0.15,0,0.12,0.14,0,0
2010,0.56,0.17,0,0.13,0.14,0,0
2010,0.63,0.1,0,0.14,0.14,0,0
2010,0.59,0.09,0,0.19,0.14,0,0
2010,0.61,0.15,0.1,0,0.14,0,0
2010,0.59,0,0.27,0,0.14,0,0
2010,0.68,0.18,0,0,0.14,0,0
2010,0.62,0.22,0,0.02,0.15,0,0
2010,0.61,0.14,0.07,0.03,0.15,0,0
2010,0.5,0.19,0.09,0.07,0.15,0,0
2010,0.55,0.2,0,0.1,0.15,0,0
2010,0.64,0,0.11,0.11,0.15,0,0
2010,0.61,0.11,0,0.13,0.15,0,0
2010,0.55,0.15,0,0.15,0.15,0,0
2010,0.54,0.15,0,0.17,0.15,0,0
2010,0.56,0.12,0,0.18,0.15,0,0
