GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,118,,729,1203,1932,,,0.60,0.22,,0.10,0.07,,,93.60,85.20,,77.90,88.40,,
20,121.2,,591,1166,1757,,,0.57,,0.17,0.08,0.18,,,88.70,,85.00,73.70,81.70,,
20,115,,627,1220,1847,,,0.74,0.22,,0.01,0.03,,,84.60,76.00,,67.60,78.00,,
20,115,,804,1163,1967,,,0.45,0.11,0.20,0.03,,0.22,,89.90,79.40,88.60,70.70,,82.80,
20,92.2,,706,977,1683,,,0.69,0.19,,,,0.12,,91.20,83.10,,,,86.10,
20,116.2,,612,1186,1798,,,0.58,,0.21,0.14,0.06,,,91.40,,86.70,78.00,84.30,,
21,124.2,,702,1268,1970,,,0.61,0.21,0.01,0.06,0.12,,,93.00,87.40,91.30,79.70,84.70,,
21,124,,757,1312,2069,,,0.31,0.14,0.21,0.15,0.20,,,86.50,80.20,84.60,73.00,80.10,,
21,117,,716,1224,1940,,,0.58,0.20,,,0.22,,,88.40,80.30,,,77.20,,
21,110,,696,1199,1895,,,0.34,,0.32,0.23,,0.11,,91.60,,89.70,77.10,,85.80,
21,119,,806,1191,1997,,,0.64,0.13,0.10,,0.13,,,87.90,80.60,86.30,,83.30,,
21,111.1,,726,1165,1891,,,0.60,0.24,,0.07,0.09,,,91.20,83.50,,79.10,84.70,,
22,126.2,,737,1398,2135,,,0.54,,0.14,0.22,0.10,,,88.10,,84.60,71.50,81.70,,
22,129.1,,789,1292,2081,,,0.53,,0.26,0.15,0.05,,,90.50,,87.50,78.80,85.60,,
22,125.1,,738,1381,2119,,,0.70,0.07,,0.15,0.08,,,92.10,86.70,,79.90,81.80,,
22,119.1,,755,1311,2066,,,0.64,0.21,,0.09,0.06,,,94.10,85.40,,74.60,84.90,,
22,96.2,,662,1040,1702,,,0.79,,,0.14,0.07,,,91.20,,,79.10,84.30,,
22,127.2,,813,1233,2046,,,0.55,0.26,0.05,,0.14,,,88.60,82.00,85.60,,80.40,,
23,129.1,,690,1406,2096,,,0.60,,0.00,0.22,0.18,,,90.20,,87.30,79.30,77.90,,
23,136.1,,764,1405,2169,,,0.47,,,0.19,0.34,,,90.30,,,78.70,85.00,,
23,133,,825,1367,2192,,,0.64,0.04,0.20,0.07,0.06,,,89.80,82.60,85.30,75.50,83.40,,
24,152.1,,642,1499,2141,,,0.89,0.07,,,0.04,,,90.20,83.00,,,82.80,,
24,137.2,,872,1537,2409,,,0.65,0.13,,0.12,0.10,,,90.50,83.90,,77.20,82.50,,
24,125.2,,779,1355,2134,,,0.53,,0.10,0.28,0.10,,,89.40,,87.70,75.80,76.40,,
24,113,,687,1171,1858,,,0.50,,0.07,0.20,0.23,,,85.30,,84.10,68.90,77.70,,
25,149.2,,881,1500,2381,,,0.61,0.08,0.09,0.17,0.05,,,91.50,84.10,88.10,75.40,85.40,,
25,145.2,,790,1470,2260,,,0.50,,0.21,0.03,0.26,,,89.90,,86.00,77.90,82.10,,
25,146,,876,1348,2224,,,0.66,,,0.24,0.10,,,92.30,,,81.00,82.80,,
25,156.1,,779,1609,2388,,,0.19,,0.42,0.24,,0.15,,90.60,,88.90,76.40,,82.20,
25,141.1,,886,1478,2364,,,0.61,,0.15,0.19,0.05,,,91.80,,86.20,79.50,82.10,,
26,161.2,,888,1629,2517,,,0.53,0.14,,0.20,0.13,,,88.90,85.20,,75.10,81.60,,
26,156,,921,1578,2499,,,0.47,0.09,0.31,0.03,0.11,,,89.40,80.00,86.90,74.30,79.60,,
26,152.1,,753,1550,2303,,,0.64,0.23,,0.10,0.04,,,90.90,79.30,,72.20,81.80,,
26,149.1,,976,1622,2598,,,0.51,0.18,,0.20,0.11,,,88.30,82.90,,68.00,78.30,,
27,173,,879,1641,2520,,,0.60,,,0.29,0.11,,,89.40,,,81.40,83.70,,
27,151,,838,1505,2343,,,0.80,,,0.13,0.07,,,92.70,,,79.10,84.40,,
27,171.2,,970,1727,2697,,,0.69,0.11,,0.15,0.06,,,93.00,82.60,,76.70,84.60,,
28,159.1,,959,1648,2607,,,0.65,,,0.19,0.16,,,95.70,,,80.60,88.80,,
28,200,,1003,2025,3028,,,0.54,0.26,,0.07,0.13,,,92.30,81.30,,78.00,86.00,,
28,173,,981,1767,2748,,,0.45,0.30,0.11,,,0.14,,89.70,84.50,87.50,,,81.60,
28,179,,931,1692,2623,,,0.58,0.21,0.02,0.11,0.02,0.08,,89.00,84.30,87.10,75.60,78.20,81.00,
28,174.2,,977,1790,2767,,,0.54,0.16,0.09,0.02,,0.19,,95.00,84.40,91.60,77.30,,86.00,
28,174.2,,982,1696,2678,,,0.62,0.09,0.17,,0.06,0.07,,90.60,79.40,86.30,,80.30,85.00,
28,174.2,,1031,1678,2709,,,0.71,,,0.15,0.15,,,88.90,,,74.70,79.90,,
28,160.2,,867,1541,2408,,,0.47,0.09,0.20,0.13,0.11,,,90.30,85.90,88.20,76.90,85.90,,
28,161,,967,1629,2596,,,0.50,0.19,0.20,0.06,0.05,,,90.20,83.70,89.60,72.70,82.30,,
28,170.1,,931,1699,2630,,,0.48,,0.21,0.18,0.13,,,91.40,,89.10,75.70,86.50,,
28,170.1,,990,1701,2691,,,0.54,0.14,,0.29,0.03,,,93.00,87.30,,80.40,86.30,,
28,149.1,,1048,1527,2575,,,0.50,0.33,,,0.18,,,92.90,85.70,,,85.80,,
29,191,,1039,1954,2993,,,0.60,0.26,,,0.14,,,91.60,78.60,,,82.10,,
29,186,,954,1915,2869,,,0.72,0.14,,0.01,0.12,,,90.90,81.70,,75.80,81.00,,
29,181.1,,1084,1746,2830,,,0.63,0.13,,0.02,0.22,,,92.40,83.10,,75.10,81.00,,
29,169,,1058,1807,2865,,,0.70,0.05,,0.18,0.07,,,92.70,87.00,,79.30,84.20,,
29,191.1,,1193,1973,3166,,,0.47,0.14,0.18,0.14,0.01,0.06,,92.80,82.40,89.70,73.20,86.80,87.70,
29,171,,1075,1712,2787,,,0.62,0.17,,0.18,0.03,,,91.80,79.60,,76.30,82.20,,
29,168,,1067,1691,2758,,,0.45,,0.30,0.19,0.06,,,91.50,,85.70,80.00,85.20,,
29,189.1,,1036,1864,2900,,,0.44,,0.21,0.17,0.14,0.05,,92.20,,89.50,77.30,80.30,85.70,
