count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
0,0,1,1,2016-04-06,"Zack Cozart grounds out to third base, Maikel Franco to Darin Ruf.",,False,False,False,False,False,False,False,False,B,,,Zachary,9a12e609-e9fc-4e7d-b602-2a719206fc55,Cozart,Zack,1,kKL,Aaron,R,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,1,91.0,FA,6.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
0,0,2,2,2016-04-06,"Zack Cozart grounds out to third base, Maikel Franco to Darin Ruf.",,False,False,False,False,False,False,False,False,B,,,Zachary,9a12e609-e9fc-4e7d-b602-2a719206fc55,Cozart,Zack,1,kF,Aaron,R,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,2,89.0,FA,7.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
0,1,3,2,2016-04-06,"Zack Cozart grounds out to third base, Maikel Franco to Darin Ruf.",,True,False,False,False,False,False,False,False,B,21,GB,Zachary,9a12e609-e9fc-4e7d-b602-2a719206fc55,Cozart,Zack,1,oGO,Aaron,R,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,3,77.0,CU,7.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
1,1,1,0,2016-04-06,Eugenio Suarez homers to center field.,,False,False,False,False,False,False,False,False,B,,,Eugenio,27e91ba7-4a19-4548-91fc-8d70a29b9b8a,Suárez,Eugenio,1,bB,Aaron,R,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,4,91.0,FA,13.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
1,1,2,0,2016-04-06,Eugenio Suarez homers to center field.,,True,False,False,False,True,False,False,False,B,2,,Eugenio,27e91ba7-4a19-4548-91fc-8d70a29b9b8a,Suárez,Eugenio,1,aHR,Aaron,R,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,5,89.0,FA,5.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,"{'starting_base': 0, 'ending_base': 4, 'out': False, 'outcome_id': 'ERN', 'preferred_name': 'Eugenio', 'first_name': 'Eugenio', 'last_name': 'Suárez', 'jersey_number': '7', 'id': '27e91ba7-4a19-4548-91fc-8d70a29b9b8a'}",,,
0,1,1,1,2016-04-06,Joey Votto grounds out to first base to Darin Ruf.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,kKL,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,6,90.0,FA,8.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
1,1,2,1,2016-04-06,Joey Votto grounds out to first base to Darin Ruf.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,7,89.0,FA,13.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
1,1,3,2,2016-04-06,Joey Votto grounds out to first base to Darin Ruf.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,kF,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,8,76.0,CU,8.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
1,1,4,2,2016-04-06,Joey Votto grounds out to first base to Darin Ruf.,,False,False,False,False,False,False,False,False,B,35,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,kF,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,9,77.0,CU,7.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
2,1,5,2,2016-04-06,Joey Votto grounds out to first base to Darin Ruf.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,10,90.0,FA,13.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,
