count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
1,0,1,0,2016-04-09,Billy Hamilton doubles to catcher.,,False,False,False,False,False,False,False,False,B,,,Billy,090ff436-c1e8-4927-b457-355cf4f9993b,Hamilton,Billy,1,bB,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,1,95.0,FA,13.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,,,,
1,0,2,1,2016-04-09,Billy Hamilton doubles to catcher.,,False,False,False,False,False,False,False,False,B,,,Billy,090ff436-c1e8-4927-b457-355cf4f9993b,Hamilton,Billy,1,kF,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,2,95.0,FA,5.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,,,,
1,0,3,1,2016-04-09,Billy Hamilton doubles to catcher.,,True,False,False,False,True,False,False,False,B,31,,Billy,090ff436-c1e8-4927-b457-355cf4f9993b,Hamilton,Billy,1,aD,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,3,94.0,FA,2.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 0, 'ending_base': 2, 'out': False, 'outcome_id': 'AD2', 'preferred_name': 'Billy', 'first_name': 'Billy', 'last_name': 'Hamilton', 'jersey_number': '6', 'id': '090ff436-c1e8-4927-b457-355cf4f9993b'}",,,
0,0,1,1,2016-04-09,Eugenio Suarez singles to right field. Billy Hamilton scores.,,False,False,False,False,False,False,False,False,B,,,Eugenio,27e91ba7-4a19-4548-91fc-8d70a29b9b8a,Suárez,Eugenio,1,kKS,Gerrit,R,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,4,95.0,FA,3.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 2, 'ending_base': 2, 'out': False, 'outcome_id': '', 'preferred_name': 'Billy', 'first_name': 'Billy', 'last_name': 'Hamilton', 'jersey_number': '6', 'id': '090ff436-c1e8-4927-b457-355cf4f9993b'}",,,
0,0,2,1,2016-04-09,Eugenio Suarez singles to right field. Billy Hamilton scores.,,True,False,False,False,True,False,False,False,B,15,,Eugenio,27e91ba7-4a19-4548-91fc-8d70a29b9b8a,Suárez,Eugenio,1,aS,Gerrit,R,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,5,95.0,FA,6.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 0, 'ending_base': 1, 'out': False, 'outcome_id': 'AD1', 'preferred_name': 'Eugenio', 'first_name': 'Eugenio', 'last_name': 'Suárez', 'jersey_number': '7', 'id': '27e91ba7-4a19-4548-91fc-8d70a29b9b8a'}","{'starting_base': 2, 'ending_base': 4, 'out': False, 'outcome_id': 'ERN', 'description': 'Billy Hamilton scores.', 'preferred_name': 'Billy', 'first_name': 'Billy', 'last_name': 'Hamilton', 'jersey_number': '6', 'id': '090ff436-c1e8-4927-b457-355cf4f9993b'}",,
0,0,1,1,2016-04-09,Joey Votto singles to right field. Eugenio Suarez to second.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,kF,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,6,95.0,FA,6.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Eugenio', 'first_name': 'Eugenio', 'last_name': 'Suárez', 'jersey_number': '7', 'id': '27e91ba7-4a19-4548-91fc-8d70a29b9b8a'}",,,
1,0,2,1,2016-04-09,Joey Votto singles to right field. Eugenio Suarez to second.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,bB,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,7,95.0,FA,10.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Eugenio', 'first_name': 'Eugenio', 'last_name': 'Suárez', 'jersey_number': '7', 'id': '27e91ba7-4a19-4548-91fc-8d70a29b9b8a'}",,,
1,0,3,2,2016-04-09,Joey Votto singles to right field. Eugenio Suarez to second.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,kF,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,8,87.0,CH,6.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Eugenio', 'first_name': 'Eugenio', 'last_name': 'Suárez', 'jersey_number': '7', 'id': '27e91ba7-4a19-4548-91fc-8d70a29b9b8a'}",,,
2,0,4,2,2016-04-09,Joey Votto singles to right field. Eugenio Suarez to second.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,bB,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,9,95.0,FA,13.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Eugenio', 'first_name': 'Eugenio', 'last_name': 'Suárez', 'jersey_number': '7', 'id': '27e91ba7-4a19-4548-91fc-8d70a29b9b8a'}",,,
2,0,5,2,2016-04-09,Joey Votto singles to right field. Eugenio Suarez to second.,,False,False,False,False,False,False,False,False,B,,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,kF,Gerrit,L,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Cole,10,96.0,FA,9.0,R,Gerrit,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Eugenio', 'first_name': 'Eugenio', 'last_name': 'Suárez', 'jersey_number': '7', 'id': '27e91ba7-4a19-4548-91fc-8d70a29b9b8a'}",,,
