count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
1,0,1,0,08,Freddy Galvis flies out to left field to Michael Conforto.,,False,False,False,False,False,False,False,False,T,,,Freddy,8540822b-75bd-424d-ba88-5e60c80b6c30,Galvis,Freddy,1,04,bB,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,1,92.0,FA,10,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,2016
1,0,2,1,08,Freddy Galvis flies out to left field to Michael Conforto.,,False,False,False,False,False,False,False,False,T,,,Freddy,8540822b-75bd-424d-ba88-5e60c80b6c30,Galvis,Freddy,1,04,kF,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,2,91.0,FA,6,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,2016
1,0,3,2,08,Freddy Galvis flies out to left field to Michael Conforto.,,False,False,False,False,False,False,False,False,T,,,Freddy,8540822b-75bd-424d-ba88-5e60c80b6c30,Galvis,Freddy,1,04,kF,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,3,87.0,SL,7,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,2016
1,1,4,2,08,Freddy Galvis flies out to left field to Michael Conforto.,,True,False,False,False,False,False,False,False,T,11,FB,Freddy,8540822b-75bd-424d-ba88-5e60c80b6c30,Galvis,Freddy,1,04,oFO,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,4,83.0,CH,9,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,2016
0,1,1,1,08,Cesar Hernandez singles to center field.,,False,False,False,False,False,False,False,False,T,,,César,342c2ff3-d328-4032-848e-92e7070b09ce,Hernández,César,1,04,kKS,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,5,84.0,CH,6,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,2016
0,1,2,1,08,Cesar Hernandez singles to center field.,,True,False,False,False,True,False,False,False,T,13,,César,342c2ff3-d328-4032-848e-92e7070b09ce,Hernández,César,1,04,aS,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,6,86.0,SL,5,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,1.0,,César,342c2ff3-d328-4032-848e-92e7070b09ce,16,Hernández,False,AD1,César,0.0,,,,,,,,,,,,,2016
1,1,1,0,08,"Odubel Herrera grounds out to first base, Lucas Duda to Jacob deGrom.",,False,False,False,False,False,False,False,False,T,,,David,5a82d6e0-6981-4eab-85ed-c4bc55b951ca,Herrera,Odubel,1,04,bB,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,7,92.0,FA,12,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,1.0,,César,342c2ff3-d328-4032-848e-92e7070b09ce,16,Hernández,False,,César,1.0,,,,,,,,,,,,,2016
1,1,2,1,08,"Odubel Herrera grounds out to first base, Lucas Duda to Jacob deGrom.",,False,False,False,False,False,False,False,False,T,,,David,5a82d6e0-6981-4eab-85ed-c4bc55b951ca,Herrera,Odubel,1,04,kF,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,8,92.0,FA,11,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,1.0,,César,342c2ff3-d328-4032-848e-92e7070b09ce,16,Hernández,False,,César,1.0,,,,,,,,,,,,,2016
1,1,3,2,08,"Odubel Herrera grounds out to first base, Lucas Duda to Jacob deGrom.",,False,False,False,False,False,False,False,False,T,,,David,5a82d6e0-6981-4eab-85ed-c4bc55b951ca,Herrera,Odubel,1,04,kKS,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,9,92.0,FA,5,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,1.0,,César,342c2ff3-d328-4032-848e-92e7070b09ce,16,Hernández,False,,César,1.0,,,,,,,,,,,,,2016
2,2,4,2,08,"Odubel Herrera grounds out to first base, Lucas Duda to Jacob deGrom.",,False,False,False,False,False,False,False,False,T,,,David,5a82d6e0-6981-4eab-85ed-c4bc55b951ca,Herrera,Odubel,1,04,bB,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,10,93.0,FA,11,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,Cesar Hernandez caught stealing second.,,"[{'type': 'putout', 'preferred_name': 'Asdrubal', 'first_name': 'Asdrubal', 'last_name': 'Cabrera', 'jersey_number': '13', 'id': '63909aed-f094-4154-859f-bf45d81a5ebe'}, {'sequence': 1, 'type': 'assist', 'preferred_name': 'Travis', 'first_name': 'Travis', 'last_name': ""d'Arnaud"", 'jersey_number': '7', 'id': '6cc35dbd-458e-48a5-a187-99abccbc1abf'}]",César,342c2ff3-d328-4032-848e-92e7070b09ce,16,Hernández,True,CS2,César,1.0,,,,,,,,,,,,,2016
2,3,5,2,08,"Odubel Herrera grounds out to first base, Lucas Duda to Jacob deGrom.",,True,False,False,False,False,False,False,False,T,24,GB,David,5a82d6e0-6981-4eab-85ed-c4bc55b951ca,Herrera,Odubel,1,04,oGO,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,11,84.0,CH,9,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,2016
0,0,1,1,08,Ryan Howard strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Ryan,b3516925-d942-4284-8cbc-16592eae31b4,Howard,Ryan,2,04,kKL,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,12,86.0,SL,3,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,2016
