count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
1,0,1,0,2016-04-04,Ender Inciarte flies out to center field to Ben Revere.,,False,False,False,False,False,False,False,False,B,,,Ender,91406228-8d10-4a6d-877a-c5ae235ccc00,Inciarte,Ender,1,bB,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,1,92.0,FA,11.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,0,2,1,2016-04-04,Ender Inciarte flies out to center field to Ben Revere.,,False,False,False,False,False,False,False,False,B,,,Ender,91406228-8d10-4a6d-877a-c5ae235ccc00,Inciarte,Ender,1,kKL,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,2,94.0,FA,11.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,0,3,2,2016-04-04,Ender Inciarte flies out to center field to Ben Revere.,,False,False,False,False,False,False,False,False,B,,,Ender,91406228-8d10-4a6d-877a-c5ae235ccc00,Inciarte,Ender,1,kF,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,3,93.0,FA,6.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
2,0,4,2,2016-04-04,Ender Inciarte flies out to center field to Ben Revere.,,False,False,False,False,False,False,False,False,B,,,Ender,91406228-8d10-4a6d-877a-c5ae235ccc00,Inciarte,Ender,1,bB,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,4,80.0,CU,12.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
2,1,5,2,2016-04-04,Ender Inciarte flies out to center field to Ben Revere.,,True,False,False,False,False,False,False,False,B,13,FB,Ender,91406228-8d10-4a6d-877a-c5ae235ccc00,Inciarte,Ender,1,oFO,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,5,94.0,FA,4.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
0,1,1,1,2016-04-04,"Erick Aybar grounds out to second base, Daniel Murphy to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,B,,,Erick,9ebd933f-8400-4f1f-93fd-61d4055237f2,Aybar,Erick,1,kF,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,6,94.0,FA,4.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,1,2,1,2016-04-04,"Erick Aybar grounds out to second base, Daniel Murphy to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,B,,,Erick,9ebd933f-8400-4f1f-93fd-61d4055237f2,Aybar,Erick,1,bB,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,7,95.0,FA,13.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,1,3,2,2016-04-04,"Erick Aybar grounds out to second base, Daniel Murphy to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,B,,,Erick,9ebd933f-8400-4f1f-93fd-61d4055237f2,Aybar,Erick,1,kKS,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,8,88.0,SL,12.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,1,4,2,2016-04-04,"Erick Aybar grounds out to second base, Daniel Murphy to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,B,,,Erick,9ebd933f-8400-4f1f-93fd-61d4055237f2,Aybar,Erick,1,kF,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,9,87.0,SL,7.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
2,1,5,2,2016-04-04,"Erick Aybar grounds out to second base, Daniel Murphy to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,B,,,Erick,9ebd933f-8400-4f1f-93fd-61d4055237f2,Aybar,Erick,1,bB,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,10,96.0,FA,11.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
