count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
1,0,1,0,28,John Jaso singles to shallow center field.,,False,False,False,False,False,False,False,False,T,,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,Jaso,John,1,05,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,1,94.0,FA,12,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,2016
1,0,2,0,28,John Jaso singles to shallow center field.,,True,False,False,False,True,False,False,False,T,18,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,Jaso,John,1,05,aS,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,2,92.0,CT,6,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,AD1,John,0.0,,,,,,,,,,,,,2016
0,0,1,1,28,Andrew McCutchen strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,05,kKL,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,3,93.0,FA,4,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
0,0,2,2,28,Andrew McCutchen strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,05,kKL,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,4,93.0,FA,8,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
1,0,3,2,28,Andrew McCutchen strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,05,bB,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,5,96.0,FA,13,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
2,0,4,2,28,Andrew McCutchen strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,05,bDB,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,6,96.0,FA,12,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
2,1,5,3,28,Andrew McCutchen strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,05,kKS,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,7,82.0,SL,12,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
1,1,1,0,28,Gregory Polanco lines out to shortstop to Elvis Andrus. John Jaso to third. Fielding error by Elvis Andrus.,,False,False,False,False,False,False,False,False,T,,,Grégory,f772223f-2fbe-4191-aa67-6f495b4c7dd8,Polanco,Grégory,1,05,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,8,98.0,FA,12,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
1,1,2,1,28,Gregory Polanco lines out to shortstop to Elvis Andrus. John Jaso to third. Fielding error by Elvis Andrus.,,False,False,False,False,False,False,False,False,T,,,Grégory,f772223f-2fbe-4191-aa67-6f495b4c7dd8,Polanco,Grégory,1,05,kKL,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,9,89.0,CT,5,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
1,1,3,2,28,Gregory Polanco lines out to shortstop to Elvis Andrus. John Jaso to third. Fielding error by Elvis Andrus.,,False,False,False,False,False,False,False,False,T,,,Grégory,f772223f-2fbe-4191-aa67-6f495b4c7dd8,Polanco,Grégory,1,05,kF,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,10,91.0,CT,12,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,John,ba0ec5b4-ddd9-4f8f-a3d8-2e0c0c84047a,28,Jaso,False,,John,1.0,,,,,,,,,,,,,2016
