count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
0,0,1,1,2016-04-04,Charlie Blackmon lines out to shortstop to Nick Ahmed.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,kKL,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,1,91.0,FA,8,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
0,0,2,2,2016-04-04,Charlie Blackmon lines out to shortstop to Nick Ahmed.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,kKS,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,2,86.0,CH,9,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
0,1,3,2,2016-04-04,Charlie Blackmon lines out to shortstop to Nick Ahmed.,,True,False,False,False,False,False,False,False,T,22,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,oLO,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,3,88.0,CH,12,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
1,1,1,0,2016-04-04,"Trevor Story grounds out to third base, Jake Lamb to Paul Goldschmidt.",,False,False,False,False,False,False,False,False,T,,,Trevor,f8ab2aa3-26ce-447c-9db5-83ea5f13da0c,Story,Trevor,1,bB,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,4,91.0,FA,10,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
1,2,2,0,2016-04-04,"Trevor Story grounds out to third base, Jake Lamb to Paul Goldschmidt.",,True,False,False,False,False,False,False,False,T,21,,Trevor,f8ab2aa3-26ce-447c-9db5-83ea5f13da0c,Story,Trevor,1,oGO,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,5,91.0,FA,1,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
1,2,1,0,2016-04-04,Carlos Gonzalez strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,6,91.0,FA,11,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
2,2,2,0,2016-04-04,Carlos Gonzalez strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,7,91.0,FA,11,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
2,2,3,1,2016-04-04,Carlos Gonzalez strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,kF,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,8,92.0,FA,1,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
2,2,4,2,2016-04-04,Carlos Gonzalez strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,kKS,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,9,88.0,CH,12,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
2,3,5,3,2016-04-04,Carlos Gonzalez strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,kKS,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,10,89.0,FA,12,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,
