count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
1,0,1,0,08,Trea Turner singles to shortstop.,,False,False,False,False,False,False,False,False,T,,,Trea,67dc86a1-cc03-41ae-ba7d-e5b8434c83e8,Turner,Trea,1,04,bB,Aaron,R,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,1,93.0,FA,94.0,-143.0,12.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,,,,,,,,,,,,,,,,,,,,,,,2017
1,0,2,0,08,Trea Turner singles to shortstop.,,True,False,False,False,True,False,False,False,T,22,GB,Trea,67dc86a1-cc03-41ae-ba7d-e5b8434c83e8,Turner,Trea,1,04,aS,Aaron,R,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,2,93.0,FA,-5.0,-91.0,8.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,1.0,,Trea,67dc86a1-cc03-41ae-ba7d-e5b8434c83e8,7,Turner,False,AD1,Trea,0.0,,,,,,,,,,,,,2017
1,0,1,0,08,Adam Eaton walks.,,False,False,False,False,False,False,False,False,T,,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,Eaton,Adam,1,04,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,3,90.0,FA,147.0,147.0,11.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,1.0,,Trea,67dc86a1-cc03-41ae-ba7d-e5b8434c83e8,7,Turner,False,,Trea,1.0,,,,,,,,,,,,,2017
1,0,2,1,08,Adam Eaton walks.,,False,False,False,False,False,False,False,False,T,,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,Eaton,Adam,1,04,kKL,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,4,91.0,FA,35.0,21.0,6.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,Trea Turner steals second.,2.0,,Trea,67dc86a1-cc03-41ae-ba7d-e5b8434c83e8,7,Turner,False,SB2,Trea,1.0,,,,,,,,,,,,,2017
2,0,3,1,08,Adam Eaton walks.,,False,False,False,False,False,False,False,False,T,,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,Eaton,Adam,1,04,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,5,77.0,CU,194.0,95.0,11.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,2.0,,Trea,67dc86a1-cc03-41ae-ba7d-e5b8434c83e8,7,Turner,False,,Trea,2.0,,,,,,,,,,,,,2017
3,0,4,1,08,Adam Eaton walks.,,False,False,False,False,False,False,False,False,T,,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,Eaton,Adam,1,04,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,6,93.0,FA,-41.0,143.0,10.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,2.0,,Trea,67dc86a1-cc03-41ae-ba7d-e5b8434c83e8,7,Turner,False,,Trea,2.0,,,,,,,,,,,,,2017
4,0,5,1,08,Adam Eaton walks.,,True,False,False,False,False,False,False,False,T,,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,Eaton,Adam,1,04,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,7,84.0,FA,70.0,21.0,6.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,1.0,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,2,Eaton,False,AD1,Adam,0.0,2.0,False,,2.0,,,,,,,,,2017
0,0,1,1,08,Bryce Harper flies out to center field to Odubel Herrera.,,False,False,False,False,False,False,False,False,T,,,Bryce,f3caeac6-343a-4a01-b5a3-85c5485c57cb,Harper,Bryce,1,04,kKL,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,8,78.0,CU,47.0,26.0,6.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,1.0,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,2,Eaton,False,,Adam,1.0,2.0,False,,2.0,,,,,,,,,2017
1,0,2,1,08,Bryce Harper flies out to center field to Odubel Herrera.,,False,False,False,False,False,False,False,False,T,,,Bryce,f3caeac6-343a-4a01-b5a3-85c5485c57cb,Harper,Bryce,1,04,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,9,78.0,CU,117.0,-8.0,11.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,1.0,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,2,Eaton,False,,Adam,1.0,2.0,False,,2.0,,,,,,,,,2017
2,0,3,1,08,Bryce Harper flies out to center field to Odubel Herrera.,,False,False,False,False,False,False,False,False,T,,,Bryce,f3caeac6-343a-4a01-b5a3-85c5485c57cb,Harper,Bryce,1,04,bB,Aaron,L,ded1b30d-52ca-4eec-bce6-251b15b085ac,Nola,10,94.0,FA,-200.0,-47.0,13.0,R,Aaron,ded1b30d-52ca-4eec-bce6-251b15b085ac,,1.0,,Adam,1a0bef4b-f97b-453d-80ed-5fde2c80acc8,2,Eaton,False,,Adam,1.0,2.0,False,,2.0,,,,,,,,,2017
