count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
1,0,1,0,2017-04-02,Kyle Schwarber singles to right field.,,False,False,False,False,False,False,False,False,T,,,,,,,1,bB,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,1,95.0,FA,-5.0,156.0,10.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,,,
1,0,2,1,2017-04-02,Kyle Schwarber singles to right field.,,False,False,False,False,False,False,False,False,T,,,,,,,1,kF,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,2,96.0,FA,82.0,-56.0,9.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,,,
2,0,3,1,2017-04-02,Kyle Schwarber singles to right field.,,False,False,False,False,False,False,False,False,T,,,,,,,1,bB,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,3,97.0,FA,29.0,-139.0,12.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,,,
2,0,4,1,2017-04-02,Kyle Schwarber singles to right field.,,True,False,False,False,True,False,False,False,T,15,LD,,,,,1,aS,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,4,85.0,CH,5.0,-65.0,8.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,"{'starting_base': 0, 'ending_base': 1, 'out': False, 'outcome_id': 'AD1', 'preferred_name': 'Kyle', 'first_name': 'Kyle', 'last_name': 'Schwarber', 'jersey_number': '12', 'id': 'c3d9c2d5-8100-409b-a7ea-d5bf7931fc14'}",,,
0,0,1,1,2017-04-02,Kris Bryant strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,,,,,1,kKL,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,5,98.0,FA,-35.0,-78.0,8.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Kyle', 'first_name': 'Kyle', 'last_name': 'Schwarber', 'jersey_number': '12', 'id': 'c3d9c2d5-8100-409b-a7ea-d5bf7931fc14'}",,,
1,0,2,1,2017-04-02,Kris Bryant strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,,,,,1,bB,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,6,96.0,FA,-100.0,4.0,4.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Kyle', 'first_name': 'Kyle', 'last_name': 'Schwarber', 'jersey_number': '12', 'id': 'c3d9c2d5-8100-409b-a7ea-d5bf7931fc14'}",,,
2,0,3,1,2017-04-02,Kris Bryant strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,,,,,1,bB,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,7,87.0,CH,-241.0,-121.0,13.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Kyle', 'first_name': 'Kyle', 'last_name': 'Schwarber', 'jersey_number': '12', 'id': 'c3d9c2d5-8100-409b-a7ea-d5bf7931fc14'}",,,
2,0,4,2,2017-04-02,Kris Bryant strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,,,,,1,kKL,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,8,86.0,CH,-35.0,-95.0,8.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Kyle', 'first_name': 'Kyle', 'last_name': 'Schwarber', 'jersey_number': '12', 'id': 'c3d9c2d5-8100-409b-a7ea-d5bf7931fc14'}",,,
2,1,5,3,2017-04-02,Kris Bryant strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,,,,,1,kKS,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,9,100.0,FA,94.0,69.0,3.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Kyle', 'first_name': 'Kyle', 'last_name': 'Schwarber', 'jersey_number': '12', 'id': 'c3d9c2d5-8100-409b-a7ea-d5bf7931fc14'}",,,
1,1,1,0,2017-04-02,Anthony Rizzo singles to right field. Kyle Schwarber to second.,,False,False,False,False,False,False,False,False,T,,,,,,,1,bB,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martinez,10,100.0,FA,52.0,143.0,10.0,R,,b2ee4a6d-1936-4a37-b556-d196ac9615ca,"{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Kyle', 'first_name': 'Kyle', 'last_name': 'Schwarber', 'jersey_number': '12', 'id': 'c3d9c2d5-8100-409b-a7ea-d5bf7931fc14'}",,,
