count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
0,0,1,1,2017-04-03,Manny Margot strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Manuel,bffe5dfd-13f9-457c-a5f8-4ac8c2009ebd,Margot,Manny,1,kKL,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,1,94.0,FA,47.0,-91.0,9.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,
0,0,2,2,2017-04-03,Manny Margot strikes out swinging.,,False,False,False,False,False,False,False,False,T,1,PU,Manuel,bffe5dfd-13f9-457c-a5f8-4ac8c2009ebd,Margot,Manny,1,kF,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,2,93.0,FA,64.0,8.0,6.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,
1,0,3,2,2017-04-03,Manny Margot strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Manuel,bffe5dfd-13f9-457c-a5f8-4ac8c2009ebd,Margot,Manny,1,bB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,3,94.0,FA,64.0,-147.0,12.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,
1,1,4,3,2017-04-03,Manny Margot strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,Manuel,bffe5dfd-13f9-457c-a5f8-4ac8c2009ebd,Margot,Manny,1,kKS,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,4,74.0,CU,-17.0,-8.0,5.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,
1,1,1,0,2017-04-03,"Wil Myers reaches on error to shortstop, advances to 2nd. Defensive error by Corey Seager.",,False,False,False,False,False,False,False,False,T,,,William,8f6f5bdf-9712-472e-8af5-12d5fb1e52e8,Myers,Wil,1,bB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,5,94.0,FA,-141.0,69.0,13.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,
1,1,2,1,2017-04-03,"Wil Myers reaches on error to shortstop, advances to 2nd. Defensive error by Corey Seager.",,False,False,False,False,False,False,False,False,T,,,William,8f6f5bdf-9712-472e-8af5-12d5fb1e52e8,Myers,Wil,1,kKS,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,6,89.0,SL,111.0,-86.0,11.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,
1,1,3,2,2017-04-03,"Wil Myers reaches on error to shortstop, advances to 2nd. Defensive error by Corey Seager.",,False,False,False,False,False,False,False,False,T,,,William,8f6f5bdf-9712-472e-8af5-12d5fb1e52e8,Myers,Wil,1,kF,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,7,90.0,SL,135.0,-65.0,11.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,
1,1,4,2,2017-04-03,"Wil Myers reaches on error to shortstop, advances to 2nd. Defensive error by Corey Seager.","[{'type': 'throwing', 'preferred_name': 'Corey', 'first_name': 'Corey', 'last_name': 'Seager', 'jersey_number': '5', 'id': 'ca159e78-05a9-410a-be7b-3ebad5496a88'}]",True,False,False,False,False,False,False,False,T,22,GB,William,8f6f5bdf-9712-472e-8af5-12d5fb1e52e8,Myers,Wil,1,aROEAD2,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,8,74.0,CU,0.0,-69.0,8.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,"{'starting_base': 0, 'ending_base': 2, 'out': False, 'outcome_id': 'AD2', 'preferred_name': 'Wil', 'first_name': 'William', 'last_name': 'Myers', 'jersey_number': '4', 'id': '8f6f5bdf-9712-472e-8af5-12d5fb1e52e8'}",,,
1,1,1,0,2017-04-03,Yangervis Solarte singles to center field. Wil Myers scores.,,False,False,False,False,False,False,False,True,T,,,Yangervis,8b5827ef-6325-4183-8b40-fe30e50e20cd,Solarte,Yangervis,1,bB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,9,92.0,SL,52.0,-134.0,12.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,"{'starting_base': 2, 'ending_base': 3, 'out': False, 'outcome_id': 'AD3', 'description': 'Wil Myers to third.', 'preferred_name': 'Wil', 'first_name': 'William', 'last_name': 'Myers', 'jersey_number': '4', 'id': '8f6f5bdf-9712-472e-8af5-12d5fb1e52e8'}",,,
2,1,2,0,2017-04-03,Yangervis Solarte singles to center field. Wil Myers scores.,,False,False,False,False,False,False,False,False,T,,,Yangervis,8b5827ef-6325-4183-8b40-fe30e50e20cd,Solarte,Yangervis,1,bDB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,10,91.0,SL,35.0,-126.0,12.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,"{'starting_base': 3, 'ending_base': 3, 'out': False, 'outcome_id': '', 'preferred_name': 'Wil', 'first_name': 'William', 'last_name': 'Myers', 'jersey_number': '4', 'id': '8f6f5bdf-9712-472e-8af5-12d5fb1e52e8'}",,,
