count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
0,0,1,1,2017-04-07,César Hernández lines out to second base to Daniel Murphy.,,False,False,False,False,False,False,False,False,B,,,César,342c2ff3-d328-4032-848e-92e7070b09ce,Hernández,César,1,kKL,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,1,92.0,FA,64.0,34.0,3.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
0,1,2,1,2017-04-07,César Hernández lines out to second base to Daniel Murphy.,,True,False,False,False,False,False,False,False,B,23,LD,César,342c2ff3-d328-4032-848e-92e7070b09ce,Hernández,César,1,oLO,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,2,78.0,CU,5.0,13.0,5.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
0,1,1,1,2017-04-07,Howie Kendrick strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Howie,1da8f60d-0741-4b61-811c-1acca32b4393,Kendrick,Howie,1,kKL,Maxwell,R,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,3,94.0,FA,-88.0,69.0,1.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
0,1,2,2,2017-04-07,Howie Kendrick strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Howie,1da8f60d-0741-4b61-811c-1acca32b4393,Kendrick,Howie,1,kF,Maxwell,R,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,4,94.0,FA,70.0,-52.0,9.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,1,3,2,2017-04-07,Howie Kendrick strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Howie,1da8f60d-0741-4b61-811c-1acca32b4393,Kendrick,Howie,1,bB,Maxwell,R,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,5,94.0,FA,0.0,143.0,10.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,1,4,2,2017-04-07,Howie Kendrick strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Howie,1da8f60d-0741-4b61-811c-1acca32b4393,Kendrick,Howie,1,kF,Maxwell,R,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,6,96.0,FA,47.0,91.0,3.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
2,1,5,2,2017-04-07,Howie Kendrick strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Howie,1da8f60d-0741-4b61-811c-1acca32b4393,Kendrick,Howie,1,bB,Maxwell,R,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,7,87.0,SL,-158.0,-173.0,13.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
2,2,6,3,2017-04-07,Howie Kendrick strikes out swinging.,,True,False,False,False,False,False,False,False,B,,,Howie,1da8f60d-0741-4b61-811c-1acca32b4393,Kendrick,Howie,1,kKS,Maxwell,R,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,8,86.0,SL,-158.0,-178.0,13.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,2,1,0,2017-04-07,Odubel Herrera flies out to left field to Jayson Werth.,,False,False,True,False,False,False,False,False,B,,,David,5a82d6e0-6981-4eab-85ed-c4bc55b951ca,Herrera,Odubel,1,bB,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,9,95.0,FA,-188.0,-156.0,13.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
1,3,2,0,2017-04-07,Odubel Herrera flies out to left field to Jayson Werth.,,True,False,False,False,False,False,False,False,B,11,FB,David,5a82d6e0-6981-4eab-85ed-c4bc55b951ca,Herrera,Odubel,1,oFO,Maxwell,L,2527770b-cf48-42b9-81fa-9323756fb311,Scherzer,10,94.0,FA,-41.0,26.0,4.0,R,Max,2527770b-cf48-42b9-81fa-9323756fb311,,,,
