count.balls,count.outs,count.pitch_count,count.strikes,date,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1,runner_2,runner_3,runner_4
1,0,1,0,2017-04-03,Dee Gordon lines out to left field to Jayson Werth.,,False,False,False,False,False,False,False,False,T,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,bB,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,1,97.0,FA,-200.0,0.0,13.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
1,0,2,1,2017-04-03,Dee Gordon lines out to left field to Jayson Werth.,,False,False,False,False,False,False,False,False,T,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,kFT,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,2,97.0,FA,-29.0,56.0,2.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
1,0,3,2,2017-04-03,Dee Gordon lines out to left field to Jayson Werth.,,False,False,False,False,False,False,False,False,T,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,kKS,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,3,97.0,FA,70.0,56.0,3.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
1,0,4,2,2017-04-03,Dee Gordon lines out to left field to Jayson Werth.,,False,False,False,False,False,False,False,False,T,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,kF,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,4,96.0,FA,52.0,65.0,3.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
2,0,5,2,2017-04-03,Dee Gordon lines out to left field to Jayson Werth.,,False,False,False,False,False,False,False,False,T,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,bB,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,5,90.0,CH,-82.0,-134.0,12.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
2,0,6,2,2017-04-03,Dee Gordon lines out to left field to Jayson Werth.,,False,False,False,False,False,False,False,False,T,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,kF,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,6,90.0,CH,58.0,-4.0,6.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
2,1,7,2,2017-04-03,Dee Gordon lines out to left field to Jayson Werth.,,True,False,False,False,False,False,False,False,T,11,LD,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,oLO,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,7,97.0,FA,-17.0,4.0,5.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
0,1,1,1,2017-04-03,"J.T. Realmuto grounds out to shortstop, Trea Turner to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,T,,,Jacob,f2a70df3-0bff-48e3-92ae-970c2a103fcf,Realmuto,J.T.,1,kKL,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,8,81.0,CU,-88.0,21.0,4.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
0,1,2,2,2017-04-03,"J.T. Realmuto grounds out to shortstop, Trea Turner to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,T,,,Jacob,f2a70df3-0bff-48e3-92ae-970c2a103fcf,Realmuto,J.T.,1,kF,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,9,97.0,FA,-29.0,21.0,5.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
0,1,3,2,2017-04-03,"J.T. Realmuto grounds out to shortstop, Trea Turner to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,T,,,Jacob,f2a70df3-0bff-48e3-92ae-970c2a103fcf,Realmuto,J.T.,1,kF,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,10,97.0,FA,58.0,0.0,6.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
1,1,4,2,2017-04-03,"J.T. Realmuto grounds out to shortstop, Trea Turner to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,T,,,Jacob,f2a70df3-0bff-48e3-92ae-970c2a103fcf,Realmuto,J.T.,1,bB,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,11,97.0,FA,-129.0,8.0,13.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
2,1,5,2,2017-04-03,"J.T. Realmuto grounds out to shortstop, Trea Turner to Ryan Zimmerman.",,False,False,False,False,False,False,False,False,T,,,Jacob,f2a70df3-0bff-48e3-92ae-970c2a103fcf,Realmuto,J.T.,1,bB,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,12,91.0,CH,-64.0,-147.0,12.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
2,2,6,2,2017-04-03,"J.T. Realmuto grounds out to shortstop, Trea Turner to Ryan Zimmerman.",,True,False,False,False,False,False,False,False,T,22,GB,Jacob,f2a70df3-0bff-48e3-92ae-970c2a103fcf,Realmuto,J.T.,1,oGO,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,13,97.0,FA,-88.0,-73.0,7.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,
