count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
0,0,1,1,02,Denard Span pops out to shallow left field to Chris Owings.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kKL,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,1,91.0,FA,76,-60,9,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,0,2,1,02,Denard Span pops out to shallow left field to Chris Owings.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,2,90.0,FA,-70,147,10,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,1,3,1,02,Denard Span pops out to shallow left field to Chris Owings.,,True,False,False,False,False,False,False,False,T,16,PU,,,,,1,04,oPO,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,3,76.0,CU,-70,-82,7,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
0,1,1,1,02,Brandon Belt walks.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,4,92.0,FA,76,26,6,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
0,1,2,2,02,Brandon Belt walks.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,5,92.0,FA,-111,113,13,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,1,3,2,02,Brandon Belt walks.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,6,80.0,CH,-76,-156,12,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
2,1,4,2,02,Brandon Belt walks.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,7,93.0,FA,-64,147,10,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
3,1,5,2,02,Brandon Belt walks.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,8,87.0,SL,-194,-134,13,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
4,1,6,2,02,Brandon Belt walks.,,True,False,False,False,False,False,False,False,T,,,,,,,1,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,9,92.0,FA,64,-91,9,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Brandon,36ee970b-0cff-4d50-b8ac-9bd16fae2dd1,9,Belt,False,AD1,Brandon,0.0,,,,,,,,,,,,,2017
1,1,1,0,02,Hunter Pence singles to center field. Brandon Belt to second.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bB,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,10,92.0,FA,-200,-130,13,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Brandon,36ee970b-0cff-4d50-b8ac-9bd16fae2dd1,9,Belt,False,,Brandon,1.0,,,,,,,,,,,,,2017
