count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
1,0,1,0,31,Dee Gordon flies out to deep left field to Brandon Guyer.,,False,False,False,False,False,False,False,False,B,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,03,bB,Carlos,L,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,1,91.0,FA,123.0,8.0,11.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,31,Dee Gordon flies out to deep left field to Brandon Guyer.,,False,False,False,False,False,False,False,False,B,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,03,kF,Carlos,L,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,2,94.0,FA,-23.0,-134.0,12.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,0,3,1,31,Dee Gordon flies out to deep left field to Brandon Guyer.,,False,False,False,False,False,False,False,False,B,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,03,bB,Carlos,L,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,3,94.0,FA,105.0,91.0,11.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,0,4,2,31,Dee Gordon flies out to deep left field to Brandon Guyer.,,False,False,False,False,False,False,False,False,B,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,03,kF,Carlos,L,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,4,93.0,FA,-17.0,-4.0,5.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,0,5,2,31,Dee Gordon flies out to deep left field to Brandon Guyer.,,False,False,False,False,False,False,False,False,B,,,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,03,bB,Carlos,L,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,5,88.0,CH,-5.0,-143.0,12.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,1,6,2,31,Dee Gordon flies out to deep left field to Brandon Guyer.,,True,False,False,False,False,False,False,False,B,6,FB,Devaris,65de4cd1-ca86-468c-9346-1e68d6279a8e,Gordon,Dee,1,03,oFO,Carlos,L,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,6,93.0,FA,82.0,13.0,6.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,1,1,1,31,Jean Segura strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Jean,6d49ed69-4365-48d7-904c-f7431641f67c,Segura,Jean,1,03,kKL,Carlos,R,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,7,93.0,FA,100.0,8.0,6.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,1,2,2,31,Jean Segura strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Jean,6d49ed69-4365-48d7-904c-f7431641f67c,Segura,Jean,1,03,kKS,Carlos,R,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,8,85.0,SL,-135.0,-86.0,13.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,2,3,3,31,Jean Segura strikes out swinging.,,True,False,False,False,False,False,False,False,B,,,Jean,6d49ed69-4365-48d7-904c-f7431641f67c,Segura,Jean,1,03,kKS,Carlos,R,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,9,87.0,SL,-64.0,-143.0,12.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,2,1,1,31,Robinson Canó strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Robinson,ad04a64e-057a-4576-81bd-28bf71f3a6ea,Canó,Robinson,1,03,kKL,Carlos,L,683ac24d-7777-478b-8417-d0eb3cb04e83,Carrasco,10,94.0,FA,47.0,-47.0,9.0,R,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
