count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
0,0,1,1,29,Brandon Nimmo hit by pitch.,,False,False,False,False,False,False,False,False,B,,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,Nimmo,Brandon,1,03,kKL,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,1,95.0,FA,111.0,65.0,11.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,,,,,,,,,,,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
1,0,2,1,29,Brandon Nimmo hit by pitch.,,False,False,False,False,False,False,False,False,B,,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,Nimmo,Brandon,1,03,bB,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,2,95.0,FA,-164.0,-160.0,13.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,,,,,,,,,,,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
2,0,3,1,29,Brandon Nimmo hit by pitch.,,False,False,False,False,False,False,False,False,B,,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,Nimmo,Brandon,1,03,bB,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,3,94.0,FA,-129.0,-191.0,13.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,,,,,,,,,,,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
3,0,4,1,29,Brandon Nimmo hit by pitch.,,True,False,False,False,False,False,False,False,B,,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,Nimmo,Brandon,1,03,aHBP,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,4,96.0,FA,-241.0,69.0,13.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,1.0,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,9,Nimmo,False,AD1,Brandon,0.0,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
1,0,1,0,29,Yoenis Céspedes strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Yoenis,0ad0ab2a-caaa-44a5-8eaf-398cfa18e6ef,Céspedes,Yoenis,1,03,bDB,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,5,94.0,FA,-282.0,-200.0,13.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,1.0,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,9,Nimmo,False,,Brandon,1.0,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
1,0,2,1,29,Yoenis Céspedes strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Yoenis,0ad0ab2a-caaa-44a5-8eaf-398cfa18e6ef,Céspedes,Yoenis,1,03,kKL,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,6,94.0,FA,64.0,-21.0,6.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,1.0,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,9,Nimmo,False,,Brandon,1.0,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
2,0,3,1,29,Yoenis Céspedes strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Yoenis,0ad0ab2a-caaa-44a5-8eaf-398cfa18e6ef,Céspedes,Yoenis,1,03,bB,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,7,96.0,FA,-158.0,113.0,13.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,1.0,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,9,Nimmo,False,,Brandon,1.0,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
2,0,4,2,29,Yoenis Céspedes strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Yoenis,0ad0ab2a-caaa-44a5-8eaf-398cfa18e6ef,Céspedes,Yoenis,1,03,kF,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,8,84.0,SL,47.0,0.0,6.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,1.0,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,9,Nimmo,False,,Brandon,1.0,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
2,1,5,3,29,Yoenis Céspedes strikes out swinging.,,True,False,False,False,False,False,False,False,B,,,Yoenis,0ad0ab2a-caaa-44a5-8eaf-398cfa18e6ef,Céspedes,Yoenis,1,03,kKS,Carlos,R,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,9,95.0,FA,-94.0,-17.0,4.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,1.0,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,9,Nimmo,False,,Brandon,1.0,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
0,1,1,1,29,Jay Bruce walks. Brandon Nimmo to second.,,False,False,False,False,False,False,False,False,B,,,Jay,58c17caa-c048-4336-b296-fa4eaf039eac,Bruce,Jay,1,03,kKL,Carlos,L,b2ee4a6d-1936-4a37-b556-d196ac9615ca,Martínez,10,95.0,FA,82.0,17.0,6.0,R,Carlos,b2ee4a6d-1936-4a37-b556-d196ac9615ca,,1.0,,Brandon,bba23f9e-8aac-454a-b8ca-9373b5d1e5b8,9,Nimmo,False,,Brandon,1.0,,,,,,,,,,,,,100.0,Haze,46.0,83.0,2018-03-29T17:21:48.000Z,51.0,SSE,0.0,2018
