count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
0,0,1,1,29,Austin Jackson singles to left field.,,False,False,False,False,False,False,False,False,T,,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,Jackson,Austin,1,03,kKL,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,1,91.0,FA,82.0,82.0,3.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,0,2,2,29,Austin Jackson singles to left field.,,False,False,False,False,False,False,False,False,T,,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,Jackson,Austin,1,03,kF,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,2,91.0,FA,129.0,95.0,11.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,3,2,29,Austin Jackson singles to left field.,,False,False,False,False,False,False,False,False,T,,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,Jackson,Austin,1,03,bB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,3,90.0,FA,152.0,-143.0,11.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,4,2,29,Austin Jackson singles to left field.,,False,False,False,False,False,False,False,False,T,,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,Jackson,Austin,1,03,kF,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,4,92.0,FA,5.0,34.0,2.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,5,2,29,Austin Jackson singles to left field.,,True,False,False,False,True,False,False,False,T,11,LD,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,Jackson,Austin,1,03,aS,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,5,89.0,SL,58.0,60.0,3.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,1.0,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,16,Jackson,False,AD1,Austin,0.0,,,,,,,,,,,,,,,,,,,,,2018
0,0,1,0,29,Joe Panik singles to right field. Austin Jackson to second.,,True,False,False,False,True,False,False,False,T,15,LD,Joseph,e47bf865-f612-47f6-8a21-3110bb455e31,Panik,Joe,1,03,aS,Clayton,L,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,6,92.0,FA,-29.0,-100.0,8.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,1.0,,Joseph,e47bf865-f612-47f6-8a21-3110bb455e31,12,Panik,False,AD1,Joe,0.0,2.0,False,AD2,1.0,,,,,,,,,,,,,,,,,2018
0,0,1,1,29,Andrew McCutchen grounds out to shortstop. Joe Panik out at second. Austin Jackson to third.,,False,False,False,False,False,False,False,False,T,,,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,03,kKL,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,7,91.0,FA,76.0,60.0,3.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,1.0,,Joseph,e47bf865-f612-47f6-8a21-3110bb455e31,12,Panik,False,,Joe,1.0,2.0,False,,2.0,,,,,,,,,,,,,,,,,2018
1,0,2,1,29,Andrew McCutchen grounds out to shortstop. Joe Panik out at second. Austin Jackson to third.,,False,False,False,False,False,False,False,False,T,,,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,03,bDB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,8,90.0,SL,0.0,-191.0,12.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,1.0,,Joseph,e47bf865-f612-47f6-8a21-3110bb455e31,12,Panik,False,,Joe,1.0,2.0,False,,2.0,,,,,,,,,,,,,,,,,2018
1,2,3,1,29,Andrew McCutchen grounds out to shortstop. Joe Panik out at second. Austin Jackson to third.,,True,False,False,True,False,False,False,False,T,22,GB,Andrew,53a80099-966e-451c-a1e2-dccbb16f8dd8,McCutchen,Andrew,1,03,oGO,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,9,89.0,SL,64.0,65.0,3.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Joe Panik out at second.,0.0,"[{'sequence': 1, 'type': 'putout', 'preferred_name': 'Kiké', 'first_name': 'Enriqué', 'last_name': 'Hernández', 'jersey_number': '14', 'id': '8a7b7092-4e7b-4112-92bf-fc5d72a83d17'}, {'sequence': 1, 'type': 'assist', 'preferred_name': 'Corey', 'first_name': 'Corey', 'last_name': 'Seager', 'jersey_number': '5', 'id': 'ca159e78-05a9-410a-be7b-3ebad5496a88'}]",Joseph,e47bf865-f612-47f6-8a21-3110bb455e31,12,Panik,True,FO2,Joe,1.0,3.0,False,AD3,2.0,,,,,,,,,,,,,,,,,2018
0,2,1,1,29,Buster Posey strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Gerald,898c62b6-95bf-4973-a435-c6cb42a52158,Posey,Buster,1,03,kKS,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,10,91.0,FA,35.0,-108.0,12.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,3.0,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,16,Jackson,False,,Austin,3.0,,,,,,,,,,,,,,,,,,,,,2018
1,2,2,1,29,Buster Posey strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Gerald,898c62b6-95bf-4973-a435-c6cb42a52158,Posey,Buster,1,03,bDB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,11,89.0,SL,94.0,-191.0,12.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,3.0,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,16,Jackson,False,,Austin,3.0,,,,,,,,,,,,,,,,,,,,,2018
1,2,3,2,29,Buster Posey strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Gerald,898c62b6-95bf-4973-a435-c6cb42a52158,Posey,Buster,1,03,kF,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,12,89.0,SL,41.0,-52.0,9.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,3.0,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,16,Jackson,False,,Austin,3.0,,,,,,,,,,,,,,,,,,,,,2018
1,3,4,3,29,Buster Posey strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,Gerald,898c62b6-95bf-4973-a435-c6cb42a52158,Posey,Buster,1,03,kKS,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,13,89.0,SL,-117.0,-82.0,13.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,3.0,,Austin,b6a76b91-dac0-4b1f-991d-dea225b552aa,16,Jackson,False,,Austin,3.0,,,,,,,,,,,,,,,,,,,,,2018
0,0,1,1,29,Evan Longoria pops out to shallow center field to Kiké Hernández.,,False,False,False,False,False,False,False,False,T,,,Evan,8d6f801e-7f89-4a81-81ec-072f72604c8e,Longoria,Evan,2,03,kF,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,14,90.0,SL,52.0,-4.0,6.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,29,Evan Longoria pops out to shallow center field to Kiké Hernández.,,False,False,False,False,False,False,False,False,T,,,Evan,8d6f801e-7f89-4a81-81ec-072f72604c8e,Longoria,Evan,2,03,bB,Clayton,R,d3351c6e-12cf-4ab5-b651-ad23d49c4245,Kershaw,15,72.0,CU,-5.0,134.0,10.0,L,Clayton,d3351c6e-12cf-4ab5-b651-ad23d49c4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
