count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
0,0,1,1,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,kKL,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,1,95.0,FA,-52.0,21.0,4.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,bB,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,2,88.0,CH,158.0,-65.0,11.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,3,2,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,kF,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,3,95.0,FA,-158.0,30.0,13.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,4,2,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,kF,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,4,91.0,SL,64.0,-13.0,6.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,5,2,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,kF,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,5,96.0,FA,-135.0,108.0,13.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,0,6,2,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,bB,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,6,91.0,SL,-82.0,-117.0,12.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,0,7,2,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,bB,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,7,90.0,CH,147.0,-165.0,11.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,0,8,2,31,Dexter Fowler strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,kF,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,8,96.0,FA,-41.0,65.0,1.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,1,9,3,31,Dexter Fowler strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,Fowler,Dexter,1,03,kKS,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,9,92.0,SL,-17.0,-86.0,8.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,1,1,1,31,Tommy Pham strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Thomas,a8ff76c9-1554-421c-baed-2a22fb00ad71,Pham,Tommy,1,03,kKL,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,10,95.0,FA,-64.0,4.0,4.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
