count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
0,0,1,1,08,"Derek Dietrich grounds out to second base, César Hernández to Carlos Santana.",,False,False,False,False,False,False,False,False,T,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,kF,Jacob,L,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,1,92.0,SI,105.0,-4.0,11.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,08,"Derek Dietrich grounds out to second base, César Hernández to Carlos Santana.",,False,False,False,False,False,False,False,False,T,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,bB,Jacob,L,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,2,81.0,CU,-105.0,-182.0,13.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,3,2,08,"Derek Dietrich grounds out to second base, César Hernández to Carlos Santana.",,False,False,False,False,False,False,False,False,T,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,kF,Jacob,L,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,3,92.0,SI,100.0,130.0,11.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,0,4,2,08,"Derek Dietrich grounds out to second base, César Hernández to Carlos Santana.",,False,False,False,False,False,False,False,False,T,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,bB,Jacob,L,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,4,87.0,CH,164.0,-73.0,11.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,0,5,2,08,"Derek Dietrich grounds out to second base, César Hernández to Carlos Santana.",,False,False,False,False,False,False,False,False,T,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,bB,Jacob,L,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,5,93.0,SI,176.0,134.0,11.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,1,6,2,08,"Derek Dietrich grounds out to second base, César Hernández to Carlos Santana.",,True,False,False,False,False,False,False,False,T,23,GB,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,oGO,Jacob,L,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,6,92.0,SI,141.0,-8.0,11.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,1,0,08,Miguel Rojas homers to left field.,,False,False,False,False,False,False,False,False,T,,,Miguel,9fcd5310-c80e-428e-bd9f-048ba1043b4e,Rojas,Miguel,1,04,bB,Jacob,R,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,7,93.0,SI,176.0,78.0,11.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,1,2,0,08,Miguel Rojas homers to left field.,,False,False,False,False,False,False,False,False,T,,,Miguel,9fcd5310-c80e-428e-bd9f-048ba1043b4e,Rojas,Miguel,1,04,bB,Jacob,R,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,8,93.0,SI,200.0,100.0,11.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,1,3,1,08,Miguel Rojas homers to left field.,,False,False,False,False,False,False,False,False,T,,,Miguel,9fcd5310-c80e-428e-bd9f-048ba1043b4e,Rojas,Miguel,1,04,kF,Jacob,R,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,9,92.0,SI,-41.0,56.0,1.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,1,4,1,08,Miguel Rojas homers to left field.,,True,False,False,False,True,False,False,False,T,1,FB,Miguel,9fcd5310-c80e-428e-bd9f-048ba1043b4e,Rojas,Miguel,1,04,aHR,Jacob,R,772dc88a-0c6d-40c3-b176-ed8a791bf108,Arrieta,10,92.0,SI,88.0,86.0,3.0,R,Jake,772dc88a-0c6d-40c3-b176-ed8a791bf108,,4.0,,Miguel,9fcd5310-c80e-428e-bd9f-048ba1043b4e,19,Rojas,False,ERN,Miguel,0.0,,,,,,,,,,,,,,,,,,,,,2018
