count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
1,0,1,0,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,bB,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,1,90.0,FA,-11.0,-121.0,12.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
1,0,2,1,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,kF,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,2,90.0,FA,-70.0,-95.0,7.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
1,0,3,2,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,kKL,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,3,91.0,FA,-88.0,-91.0,7.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
2,0,4,2,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,bB,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,4,87.0,CH,-170.0,-121.0,13.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
2,0,5,2,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,kF,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,5,92.0,FA,-76.0,-21.0,4.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
2,0,6,2,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,kF,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,6,76.0,CU,23.0,-56.0,8.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
3,0,7,2,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,bB,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,7,92.0,FA,-152.0,78.0,13.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
3,1,8,2,01,"Lewis Brinson grounds out to second base, Javier Báez to Anthony Rizzo.",,True,False,False,False,False,False,False,False,B,23,GB,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,04,oGO,José,R,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,8,91.0,FA,-64.0,-21.0,4.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
1,1,1,0,01,Derek Dietrich flies out to deep center field to Albert Almora.,,False,False,True,False,False,False,False,False,B,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,bB,José,L,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,9,91.0,FA,-29.0,108.0,10.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
1,1,2,1,01,Derek Dietrich flies out to deep center field to Albert Almora.,,False,False,False,False,False,False,False,False,B,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,04,kF,José,L,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,Quintana,10,92.0,FA,-35.0,-52.0,8.0,L,José,b1e3b804-0022-40bc-8f53-8c82ee4eb1b9,,,,,,,,,,,,,,,,,,,,,,,,75.0,Partly cloudy,64.0,58.0,2018-04-01T17:23:49.000Z,81.0,E,11.0,2018
