Empty,count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
,1.0,0.0,1.0,0.0,01,Adam Frazier walks.,,False,False,False,False,False,False,False,False,T,,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,Frazier,Adam,1.0,04,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,1.0,94.0,FA,129.0,-39.0,11.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
,1.0,0.0,2.0,1.0,01,Adam Frazier walks.,,False,False,False,False,False,False,False,False,T,,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,Frazier,Adam,1.0,04,kF,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,2.0,95.0,FA,0.0,-78.0,8.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
,2.0,0.0,3.0,1.0,01,Adam Frazier walks.,,False,False,False,False,False,False,False,False,T,,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,Frazier,Adam,1.0,04,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,3.0,94.0,FA,-111.0,-47.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
,3.0,0.0,4.0,1.0,01,Adam Frazier walks.,,False,False,False,False,False,False,False,False,T,,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,Frazier,Adam,1.0,04,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,4.0,93.0,FA,52.0,-134.0,12.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
,4.0,0.0,5.0,1.0,01,Adam Frazier walks.,,True,False,False,False,False,False,False,False,T,,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,Frazier,Adam,1.0,04,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,5.0,94.0,FA,170.0,82.0,11.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,26,Frazier,False,AD1,Adam,0.0,,,,,,,,,,,,,,,,,,,,,2018
,1.0,0.0,1.0,0.0,01,Josh Harrison lines out to left field to Mikie Mahtook.,,False,False,False,False,False,False,False,False,T,,,Joshua,0e762dec-639f-497f-a65b-af0eaa8be39f,Harrison,Josh,1.0,04,bB,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,6.0,95.0,FA,158.0,34.0,11.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,26,Frazier,False,,Adam,1.0,,,,,,,,,,,,,,,,,,,,,2018
,1.0,0.0,2.0,1.0,01,Josh Harrison lines out to left field to Mikie Mahtook.,,False,False,False,False,False,False,False,False,T,,,Joshua,0e762dec-639f-497f-a65b-af0eaa8be39f,Harrison,Josh,1.0,04,kKL,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,7.0,94.0,FA,-41.0,26.0,4.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,26,Frazier,False,,Adam,1.0,,,,,,,,,,,,,,,,,,,,,2018
,1.0,1.0,3.0,1.0,01,Josh Harrison lines out to left field to Mikie Mahtook.,,True,False,False,False,False,False,False,False,T,11,LD,Joshua,0e762dec-639f-497f-a65b-af0eaa8be39f,Harrison,Josh,1.0,04,oLO,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,8.0,87.0,SL,-117.0,-17.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,26,Frazier,False,,Adam,1.0,,,,,,,,,,,,,,,,,,,,,2018
,1.0,1.0,1.0,0.0,01,Adam Frazier scores.,,False,False,False,False,False,False,False,False,T,,,Grégory,f772223f-2fbe-4191-aa67-6f495b4c7dd8,Polanco,Grégory,1.0,04,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,9.0,93.0,FA,-111.0,113.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Adam,cb07e138-22b7-4a0a-a294-5b9d89475e1d,26,Frazier,False,,Adam,1.0,,,,,,,,,,,,,,,,,,,,,2018
,1.0,2.0,2.0,0.0,01,Adam Frazier scores.,,True,False,False,False,True,False,False,False,T,10,LD,Grégory,f772223f-2fbe-4191-aa67-6f495b4c7dd8,Polanco,Grégory,1.0,04,oDT3,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,10.0,93.0,FA,29.0,34.0,2.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,f772223f-2fbe-4191-aa67-6f495b4c7dd8,,,True,TO3,,0.0,4.0,False,ERN,1.0,,,,,,,,,,,,,,,,,2018
