count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
1,0,1,0,31,Jesse Winker lines out to center field to Brian Goodwin.,,False,False,False,False,False,False,False,False,B,,,Jesse,e25f4bdb-6de3-4628-930f-dc860183fc0b,Winker,Jesse,1,03,bB,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,1,94.0,FA,123.0,-13.0,11.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,31,Jesse Winker lines out to center field to Brian Goodwin.,,False,False,False,False,False,False,False,False,B,,,Jesse,e25f4bdb-6de3-4628-930f-dc860183fc0b,Winker,Jesse,1,03,kF,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,2,94.0,FA,64.0,43.0,3.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,3,2,31,Jesse Winker lines out to center field to Brian Goodwin.,,False,False,False,False,False,False,False,False,B,,,Jesse,e25f4bdb-6de3-4628-930f-dc860183fc0b,Winker,Jesse,1,03,kKL,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,3,82.0,CU,76.0,60.0,3.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,0,4,2,31,Jesse Winker lines out to center field to Brian Goodwin.,,False,False,False,False,False,False,False,False,B,,,Jesse,e25f4bdb-6de3-4628-930f-dc860183fc0b,Winker,Jesse,1,03,bB,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,4,89.0,CH,182.0,-43.0,11.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,1,5,2,31,Jesse Winker lines out to center field to Brian Goodwin.,,True,False,False,False,False,False,False,False,B,13,LD,Jesse,e25f4bdb-6de3-4628-930f-dc860183fc0b,Winker,Jesse,1,03,oLO,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,5,89.0,CH,105.0,-56.0,11.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,1,0,31,Eugenio Suárez singles to center field.,,False,False,False,False,False,False,False,False,B,,,Eugenio,27e91ba7-4a19-4548-91fc-8d70a29b9b8a,Suárez,Eugenio,1,03,bB,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,6,95.0,FA,-76.0,121.0,10.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,2,0,31,Eugenio Suárez singles to center field.,,True,False,False,False,True,False,False,False,B,13,GB,Eugenio,27e91ba7-4a19-4548-91fc-8d70a29b9b8a,Suárez,Eugenio,1,03,aS,Stephen,R,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,7,82.0,CU,-52.0,-34.0,4.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,1.0,,Eugenio,27e91ba7-4a19-4548-91fc-8d70a29b9b8a,7,Suárez,False,AD1,Eugenio,0.0,,,,,,,,,,,,,,,,,,,,,2018
0,1,1,0,31,Joey Votto singles to center field. Eugenio Suárez to second.,,True,False,False,False,True,False,False,False,B,13,LD,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,Votto,Joey,1,03,aS,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,8,94.0,FA,-29.0,56.0,2.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,1.0,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,19,Votto,False,AD1,Joey,0.0,2.0,False,AD2,1.0,,,,,,,,,,,,,,,,,2018
1,1,1,0,31,Scooter Gennett grounds out to first base to Matt Adams. Joey Votto to second. Eugenio Suárez to third.,,False,False,False,False,False,False,False,False,B,,,Ryan,d4da1a04-b306-4389-a7c1-052ef36c4d83,Gennett,Scooter,1,03,bB,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,9,80.0,CU,82.0,104.0,10.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,,1.0,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,19,Votto,False,,Joey,1.0,2.0,False,,2.0,,,,,,,,,,,,,,,,,2018
1,2,2,0,31,Scooter Gennett grounds out to first base to Matt Adams. Joey Votto to second. Eugenio Suárez to third.,,True,False,False,False,False,False,False,False,B,24,GB,Ryan,d4da1a04-b306-4389-a7c1-052ef36c4d83,Gennett,Scooter,1,03,oGO,Stephen,L,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Strasburg,10,83.0,CU,-135.0,-100.0,13.0,R,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,Joey Votto to second.,2.0,,Joseph,f6a52aa9-6607-445b-a6cb-34a73b1859f9,19,Votto,False,AD2,Joey,1.0,3.0,False,AD3,2.0,,,,,,,,,,,,,,,,,2018
