count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
1,0,1,0,31,Lewis Brinson hit by pitch.,,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,03,bB,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,1,94.0,FA,-164.0,60.0,13.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,31,Lewis Brinson hit by pitch.,,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,03,kF,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,2,94.0,FA,70.0,-108.0,12.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,3,2,31,Lewis Brinson hit by pitch.,,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,03,kKS,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,3,94.0,FA,-82.0,0.0,4.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,0,4,2,31,Lewis Brinson hit by pitch.,,False,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,03,bB,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,4,86.0,SL,-217.0,-143.0,13.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,0,5,2,31,Lewis Brinson hit by pitch.,,True,False,False,False,False,False,False,False,B,,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,Brinson,Lewis,1,03,aHBP,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,5,95.0,FA,258.0,130.0,11.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,9,Brinson,False,AD1,Lewis,0.0,,,,,,,,,,,,,,,,,,,,,2018
1,0,1,0,31,Derek Dietrich homers to right field. Lewis Brinson scores.,,False,False,False,False,False,False,False,False,B,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,03,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,6,82.0,SL,241.0,134.0,11.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,9,Brinson,False,,Lewis,1.0,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,31,Derek Dietrich homers to right field. Lewis Brinson scores.,,False,False,False,False,False,False,False,False,B,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,03,kKL,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,7,84.0,SL,52.0,-78.0,9.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,9,Brinson,False,,Lewis,1.0,,,,,,,,,,,,,,,,,,,,,2018
1,0,3,2,31,Derek Dietrich homers to right field. Lewis Brinson scores.,,False,False,False,False,False,False,False,False,B,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,03,kF,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,8,91.0,FA,-82.0,-34.0,4.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,9,Brinson,False,,Lewis,1.0,,,,,,,,,,,,,,,,,,,,,2018
1,0,4,2,31,Derek Dietrich homers to right field. Lewis Brinson scores.,,False,False,False,False,False,False,False,False,B,,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,03,kF,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,9,97.0,FA,47.0,-95.0,9.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Lewis,a6c0f025-e1e4-4812-bbfb-5af6a7a48b3c,9,Brinson,False,,Lewis,1.0,,,,,,,,,,,,,,,,,,,,,2018
1,0,5,2,31,Derek Dietrich homers to right field. Lewis Brinson scores.,,True,False,False,False,True,False,False,False,B,5,FB,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,Dietrich,Derek,1,03,aHR,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,10,85.0,SL,-17.0,0.0,5.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,4.0,,Derek,04931bc2-76ee-4427-8da8-b5b3696f9ba6,32,Dietrich,False,ERN,Derek,0.0,4.0,False,ERN,1.0,,,,,,,,,,,,,,,,,2018
0,0,1,1,31,Starlin Castro lines out to center field to Ian Happ.,,False,False,False,False,False,False,False,False,B,,,Starlin,5bf2b7fe-19db-41e7-927a-1898dd249be4,Castro,Starlin,1,03,kKL,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,11,95.0,FA,-94.0,-56.0,7.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,0,2,2,31,Starlin Castro lines out to center field to Ian Happ.,,False,False,False,False,False,False,False,False,B,,,Starlin,5bf2b7fe-19db-41e7-927a-1898dd249be4,Castro,Starlin,1,03,kKL,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,12,95.0,FA,-76.0,-8.0,4.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,1,3,2,31,Starlin Castro lines out to center field to Ian Happ.,,True,False,False,False,False,False,False,False,B,13,LD,Starlin,5bf2b7fe-19db-41e7-927a-1898dd249be4,Castro,Starlin,1,03,oLO,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,13,96.0,FA,-5.0,30.0,5.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,1,0,31,"Justin Bour grounds out to first base, Anthony Rizzo to Yu Darvish.",,False,False,False,False,False,False,False,False,B,,,Justin,a95413e8-7755-433e-ba97-5756488b5d67,Bour,Justin,1,03,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,14,94.0,FA,200.0,-56.0,11.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,2,1,31,"Justin Bour grounds out to first base, Anthony Rizzo to Yu Darvish.",,False,False,False,False,False,False,False,False,B,,,Justin,a95413e8-7755-433e-ba97-5756488b5d67,Bour,Justin,1,03,kKL,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,15,94.0,FA,100.0,-43.0,9.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,1,3,1,31,"Justin Bour grounds out to first base, Anthony Rizzo to Yu Darvish.",,False,False,False,False,False,False,False,False,B,,,Justin,a95413e8-7755-433e-ba97-5756488b5d67,Bour,Justin,1,03,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,16,91.0,FA,-117.0,-56.0,13.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,1,4,2,31,"Justin Bour grounds out to first base, Anthony Rizzo to Yu Darvish.",,False,False,False,False,False,False,False,False,B,,,Justin,a95413e8-7755-433e-ba97-5756488b5d67,Bour,Justin,1,03,kF,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,17,90.0,CT,94.0,30.0,6.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,1,5,2,31,"Justin Bour grounds out to first base, Anthony Rizzo to Yu Darvish.",,False,False,False,False,False,False,False,False,B,,,Justin,a95413e8-7755-433e-ba97-5756488b5d67,Bour,Justin,1,03,kF,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,18,95.0,FA,17.0,-130.0,12.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,2,6,2,31,"Justin Bour grounds out to first base, Anthony Rizzo to Yu Darvish.",,True,False,False,False,False,False,False,False,B,24,GB,Justin,a95413e8-7755-433e-ba97-5756488b5d67,Bour,Justin,1,03,oGO,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,19,84.0,SL,23.0,-78.0,8.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,3,1,0,31,Brian Anderson pops out to second base to Ben Zobrist.,,True,False,False,False,False,False,False,False,B,23,PU,Brian,5c6fd5bc-0c4c-47fa-b4e4-ed343b04e993,Anderson,Brian,1,03,oPO,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,20,93.0,FA,11.0,56.0,2.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
0,0,1,1,31,"Cameron Maybin grounds out to shortstop, Addison Russell to Anthony Rizzo.",,False,False,False,False,False,False,False,False,B,,,Cameron,a5ae5017-4659-4743-bc21-2ce0ed6bc7cd,Maybin,Cameron,2,03,kKL,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,21,85.0,SL,-41.0,-65.0,7.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
