count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
0,0,1,1,31,Charlie Blackmon strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,03,kKL,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,1,88.0,FA,58.0,47.0,3.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,2,1,31,Charlie Blackmon strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,03,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,2,88.0,CH,-58.0,117.0,10.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,3,2,31,Charlie Blackmon strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,03,kKL,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,3,89.0,FA,64.0,-91.0,9.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,0,4,2,31,Charlie Blackmon strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,03,kF,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,4,90.0,FA,-11.0,121.0,10.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
2,0,5,2,31,Charlie Blackmon strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,03,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,5,83.0,SL,-129.0,-95.0,13.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,0,6,2,31,Charlie Blackmon strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,03,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,6,89.0,FA,170.0,126.0,11.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
3,1,7,3,31,Charlie Blackmon strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,Charles,6d5ea773-5f3d-470e-b572-b59fc278f892,Blackmon,Charlie,1,03,kKS,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,7,86.0,CH,-52.0,4.0,4.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,1,0,31,DJ LeMahieu doubles to deep center field.,,False,False,False,False,False,False,False,False,T,,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,LeMahieu,DJ,1,03,bB,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,8,89.0,FA,105.0,126.0,11.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,2,0,31,DJ LeMahieu doubles to deep center field.,,True,False,False,False,True,False,False,False,T,8,FB,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,LeMahieu,DJ,1,03,aD,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,9,89.0,FA,-35.0,26.0,5.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,AD2,DJ,0.0,,,,,,,,,,,,,,,,,,,,,2018
0,1,1,1,31,Nolan Arenado strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Nolan,aec77ff1-c238-449c-9af6-ed76ff9dd702,Arenado,Nolan,1,03,kKS,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,10,90.0,FA,-58.0,-13.0,4.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
0,1,2,2,31,Nolan Arenado strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Nolan,aec77ff1-c238-449c-9af6-ed76ff9dd702,Arenado,Nolan,1,03,kKL,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,11,90.0,FA,-88.0,-91.0,7.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
0,1,3,2,31,Nolan Arenado strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Nolan,aec77ff1-c238-449c-9af6-ed76ff9dd702,Arenado,Nolan,1,03,kF,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,12,84.0,SL,-129.0,-86.0,13.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
1,1,4,2,31,Nolan Arenado strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,Nolan,aec77ff1-c238-449c-9af6-ed76ff9dd702,Arenado,Nolan,1,03,bB,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,13,91.0,FA,-152.0,-108.0,13.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
1,2,5,3,31,Nolan Arenado strikes out swinging.,,True,False,False,False,False,False,False,False,T,,,Nolan,aec77ff1-c238-449c-9af6-ed76ff9dd702,Arenado,Nolan,1,03,kKS,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,14,82.0,SL,-141.0,-21.0,13.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
1,2,1,0,31,Carlos González flies out to David Peralta.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,03,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,15,89.0,FA,-147.0,-17.0,13.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
2,2,2,0,31,Carlos González flies out to David Peralta.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,03,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,16,90.0,FA,-129.0,-17.0,13.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
3,2,3,0,31,Carlos González flies out to David Peralta.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,03,bB,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,17,86.0,CH,141.0,-13.0,11.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
3,2,4,1,31,Carlos González flies out to David Peralta.,,False,False,False,False,False,False,False,False,T,,,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,03,kKL,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,18,89.0,FA,-82.0,-26.0,4.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
3,3,5,1,31,Carlos González flies out to David Peralta.,,True,False,False,False,False,False,False,False,T,31,FB,Carlos,5fec650f-de86-43d2-9efb-32af34a4d5a4,González,Carlos,1,03,oFO,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,19,85.0,SL,-11.0,-126.0,12.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,2.0,,David,d1c07b01-a86d-4c17-ac38-8217e364c2cf,9,LeMahieu,False,,DJ,2.0,,,,,,,,,,,,,,,,,,,,,2018
0,1,1,0,31,Gerardo Parra lines out to second base to Daniel Descalso.,,True,False,False,False,False,False,False,False,T,23,LD,Gerardo,e7b98206-956a-4409-9f22-64f2048a31ee,Parra,Gerardo,2,03,oLO,Donald,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,20,73.0,CU,29.0,-86.0,8.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,1,0,31,Ian Desmond singles to center field.,,False,False,False,False,False,False,False,False,T,,,Ian,fac92698-ed41-4615-8e1e-cd552612c5cf,Desmond,Ian,2,03,bB,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,21,90.0,FA,129.0,-8.0,11.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,2,1,31,Ian Desmond singles to center field.,,False,False,False,False,False,False,False,False,T,,,Ian,fac92698-ed41-4615-8e1e-cd552612c5cf,Desmond,Ian,2,03,kKS,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,22,82.0,SL,-117.0,-82.0,13.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,3,2,31,Ian Desmond singles to center field.,,False,False,False,False,False,False,False,False,T,,,Ian,fac92698-ed41-4615-8e1e-cd552612c5cf,Desmond,Ian,2,03,kF,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,23,80.0,SL,-52.0,-108.0,12.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,1,4,2,31,Ian Desmond singles to center field.,,True,False,False,False,True,False,False,False,T,13,GB,Ian,fac92698-ed41-4615-8e1e-cd552612c5cf,Desmond,Ian,2,03,aS,Donald,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,24,81.0,SL,-29.0,-47.0,8.0,R,Zack,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Ian,fac92698-ed41-4615-8e1e-cd552612c5cf,20,Desmond,False,AD1,Ian,0.0,,,,,,,,,,,,,,,,,,,,,2018
