Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,34,5,Apr 8,PHI,,WSH,W17-3,GS-6,W(1-0),99,6.0,7,3,3,2,7,0,0,4.50,24,89,57,20,11,8,7,4,0,0,51,,,1,0,0,22,2,0,0,2,0,0,.41,0.054,-0.03,20.10,42.00,1t start tie,6t 3 out a10
2,35,10,Apr 14,PHI,@,WSH,L2-3,GS-5,,5,5.0,6,1,1,0,6,0,0,3.27,21,90,61,22,14,11,4,2,1,0,57,,,0,0,0,21,1,0,0,0,0,0,1.09,0.189,1.66,17.65,30.00,1b start tie,5b 3 out a1
3,36,15,Apr 20,PHI,@,NYM,W6-4,GS-5,W(2-0),5,5.0,7,4,4,4,2,1,0,4.50,24,96,61,18,10,7,11,4,0,0,35,,,1,0,0,20,0,0,0,1,0,0,1.03,-0.064,-1.50,4.65,21.00,1b start tie,5b 3 out a1
4,37,41,May 21,PHI,@,PIT,L0-1,GS-7,L(2-1),30,7.0,4,1,1,2,5,0,1,3.52,27,89,57,19,7,10,9,5,2,0,68,,,1,0,0,24,0,0,1,1,0,0,1.19,0.209,2.58,19.55,33.00,1b start tie,7b 3 out d1
5,38,46,May 26,PHI,,CIN,L2-5,GS-6,L(2-2),4,6.0,6,5,5,2,5,2,0,4.34,26,97,67,25,10,10,9,2,2,0,43,,,2,0,0,24,0,0,0,0,0,0,.63,-0.200,-2.03,8.70,18.00,1t start tie,6t 3 out d5
6,39,51,May 31,PHI,@,MIA,L2-10,GS-3,L(2-3),4,3.0,5,4,4,1,4,1,0,5.06,15,73,47,15,5,8,2,1,0,0,36,,,2,0,0,14,0,0,0,0,0,0,.67,-0.254,-2.56,3.15,9.00,1b start tie,3b 3 out d4
7,40,56,Jun 6,PHI,@,ATL,W3-1,GS-8,W(3-3),5,8.0,5,1,1,1,6,0,0,4.28,29,97,69,16,9,7,15,5,1,0,73,,,0,0,0,27,1,0,0,1,0,0,.98,0.407,3.05,28.40,51.00,1b start tie,8b 3 out a2
8,41,61,Jun 11,PHI,@,STL,L5-6,GS-5,L(3-4),4,5.0,4,3,3,2,6,1,0,4.40,21,93,53,22,9,4,9,4,1,0,51,,,0,0,0,19,2,0,0,0,0,0,1.29,-0.153,-0.47,13.65,24.00,1b start a 1,5b 3 out d1
9,42,66,Jun 16,PHI,,ARI,L4-5,GS-7,L(3-5),4,6.0,9,5,5,2,6,1,0,4.76,29,106,66,26,6,11,10,7,0,0,38,,,0,0,0,27,0,0,0,1,0,1,1.39,-0.295,-1.41,8.90,21.00,1t start tie,7t 1-- 0 out tie
10,43,71,Jun 22,PHI,,STL,W5-1,GS-8,W(4-5),5,7.1,4,1,1,2,8,1,0,4.32,28,107,74,29,9,8,10,5,2,0,72,,,0,0,0,26,0,0,0,0,0,1,.80,0.308,2.44,30.90,55.00,1t start tie,8t 1-- 1 out a2
11,44,76,Jun 27,PHI,@,SEA,W8-2,GS-7,W(5-5),4,7.0,5,2,2,4,9,1,0,4.13,28,113,67,24,10,8,7,3,1,0,64,,,0,0,0,24,1,0,0,2,0,0,1.44,0.212,1.59,28.35,54.00,1b start tie,7b 3 out a1
