Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,144,2,Apr 4,CLE,@,TEX,W4-3,GS-6,W(1-0),99,5.2,4,2,2,1,7,1,1,3.18,22,78,53,15,12,4,9,6,1,0,59,,,0,0,0,20,0,0,0,0,0,0,1.00,0.206,1.27,23.15,44.00,1b start a 1,6b --- 2 out a1
2,145,7,Apr 11,CLE,,CWS,W2-1,GS-7,,6,7.0,4,1,1,0,7,1,0,2.13,24,95,61,24,8,10,7,3,1,0,72,,,0,1,0,24,2,0,0,0,0,0,1.06,0.339,2.92,25.35,39.00,1t start tie,7t 3 out tie
3,146,12,Apr 16,CLE,,DET,L1-4,GS-7,L(1-1),4,6.2,4,2,2,5,5,1,0,2.33,27,102,59,15,9,7,10,5,3,0,58,,,0,1,0,22,1,0,0,1,0,0,.83,0.109,1.67,15.60,29.00,1t start tie,7t 1-- 2 out d1
4,147,17,Apr 22,CLE,@,CWS,W7-0,GS-8,W(2-1),5,8.0,3,0,0,1,8,0,0,1.65,27,106,73,19,16,11,7,4,1,0,83,,,0,1,0,26,0,0,0,0,0,0,.63,0.322,4.14,35.60,60.00,1b start a 2,8b 3 out a6
5,148,22,Apr 28,CLE,,SEA,L1-3,GS-8,L(2-2),5,8.0,6,3,3,0,7,2,0,2.04,28,106,75,18,12,8,13,4,1,0,65,,,0,1,0,28,2,0,0,1,0,0,.76,0.044,1.48,22.40,36.00,1t start tie,8t 3 out d2
6,149,27,May 3,CLE,@,DET,W3-2,GS-6,W(3-2),4,6.0,5,2,2,1,5,0,0,2.18,23,91,60,17,10,10,7,4,0,0,58,,,0,0,0,21,2,0,0,0,1,0,1.16,0.142,1.26,19.90,39.00,1b start tie,6b 3 out a1
7,150,32,May 9,CLE,@,TOR,W6-0,GS-7,W(4-2),5,7.0,3,0,0,0,7,0,0,1.86,23,97,64,20,11,9,7,2,0,0,78,,,1,0,0,23,0,0,0,1,0,0,.98,0.440,3.88,31.95,54.00,1b start tie,7b 3 out a3
8,151,37,May 15,CLE,,TB,W8-7,GS-4,,5,3.2,6,5,5,3,6,1,0,2.60,20,75,41,7,11,7,4,2,0,0,32,,,0,0,0,16,1,0,0,1,1,0,1.00,-0.136,-2.23,4.85,14.00,1t start tie,4t 12- 2 out a3
9,152,44,May 23,CLE,@,CIN,W8-7,GS-7,,7,6.1,5,4,4,4,6,0,2,2.93,29,104,62,14,11,6,11,5,1,0,49,,,0,1,0,23,4,0,0,0,0,0,.97,-0.033,0.08,11.65,25.00,1b start a 1,7b 1-- 1 out a4
10,153,49,May 29,CLE,,OAK,W5-3,GS-7,W(5-2),5,7.0,4,2,2,1,7,2,1,2.89,26,101,69,18,13,7,10,3,0,0,67,,,0,0,0,24,0,0,0,1,0,0,.66,0.250,1.92,26.15,48.00,1t start tie,7t 3 out a3
11,154,54,Jun 3,CLE,@,KC,L5-12,GS-5,L(5-3),4,4.1,5,5,5,2,3,0,0,3.36,20,77,47,11,7,6,9,4,0,0,34,,,0,0,0,18,2,0,0,1,0,1,1.19,-0.320,-2.02,1.55,7.00,1b start tie,5b -2- 1 out d1
12,155,60,Jun 11,CLE,,CWS,W4-2,GS-6,W(6-3),7,5.1,7,2,2,1,4,0,1,3.36,23,85,56,13,9,7,10,6,1,0,49,,,0,1,0,21,2,0,0,1,0,0,1.07,0.051,0.63,14.60,34.00,1t start tie,6t -2- 1 out a1
13,156,64,Jun 16,CLE,@,MIN,W8-1,GS-7,W(7-3),4,6.1,4,1,1,3,7,1,0,3.21,25,113,64,21,14,6,9,4,1,0,65,,,0,0,0,22,0,0,0,0,0,0,.61,0.194,2.11,26.05,49.00,1b start tie,7b 1-- 1 out a7
14,157,70,Jun 21,CLE,@,BAL,W5-1,GS-7,W(8-3),4,6.0,7,0,0,0,10,0,0,2.99,24,95,64,20,18,11,3,2,0,0,68,,,0,0,0,24,0,0,0,1,0,0,1.02,0.077,1.26,33.30,60.00,1b start tie,7b 123 0 out a3
15,158,75,Jun 26,CLE,,TEX,W15-9,GS-4,,4,3.1,6,8,8,3,7,3,0,3.67,18,78,46,14,10,2,6,3,0,0,20,,,0,0,0,15,3,0,0,0,0,0,.55,-0.442,-6.06,0.10,7.00,1t start tie,4t --- 1 out d6
16,159,80,Jul 1,CLE,@,DET,W4-1,GS-7,W(9-3),4,7.0,4,1,1,1,7,0,1,3.50,28,114,75,14,17,7,12,4,4,0,71,,,0,0,0,26,2,0,0,0,0,1,.91,0.262,2.81,28.15,51.00,1b start tie,7b 3 out a3
17,160,85,Jul 7,CLE,,DET,W11-2,GS-7,W(10-3),5,7.0,9,2,2,1,11,0,0,3.44,27,97,71,25,17,8,7,4,0,0,61,,,0,1,0,26,1,0,0,2,0,0,.85,0.194,1.92,31.75,60.00,1t start tie,7t 3 out a7
18,161,88,Jul 14,CLE,@,OAK,L0-5,GS-7,L(10-4),6,6.1,6,5,5,2,10,2,0,3.65,27,96,62,14,19,5,10,5,0,0,49,,,0,0,0,24,2,1,0,0,1,0,.57,-0.145,-1.40,19.45,34.00,1b start tie,7b --3 1 out d4
19,162,93,Jul 19,CLE,@,SF,L4-5,GS-6,,4,6.0,6,2,2,2,6,1,0,3.62,25,106,63,12,11,7,10,6,1,0,56,,,1,0,0,23,3,0,0,1,0,0,1.37,0.135,0.97,16.70,30.00,1b start tie,6b 3 out a1
20,163,99,Jul 26,CLE,,LAA,W10-4,GS-7,,6,6.1,6,2,2,0,5,1,2,3.58,26,99,64,16,7,9,10,6,1,0,58,,,0,1,0,23,1,0,0,0,0,0,1.20,0.069,1.19,15.45,28.00,1t start tie,7t -2- 1 out tie
