Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,141,1,Apr 2,STL,,CHC,W4-3,GS-8,,99,7.1,6,0,0,0,10,0,0,0.00,27,105,68,13,20,8,9,3,3,0,76,,,0,0,0,27,1,0,0,1,0,0,1.23,0.373,3.14,32.90,52.00,1t start tie,8t 12- 1 out a1
2,142,6,Apr 9,STL,,CIN,L0-8,GS-6,L(0-1),6,5.0,6,6,5,1,3,1,2,3.65,23,89,59,14,6,7,10,5,0,0,35,,,0,1,0,19,1,1,0,1,0,1,.94,-0.160,-2.81,1.85,9.00,1t start tie,6t 1-3 0 out d4
3,143,11,Apr 15,STL,@,NYY,L2-3,GS-6,L(0-2),5,5.1,4,3,2,8,11,0,0,3.57,30,118,71,25,18,5,6,2,2,0,53,,,2,0,0,22,1,0,0,0,0,1,1.21,-0.025,-0.27,22.80,43.00,1b start tie,6b 1-- 1 out d3
4,144,16,Apr 20,STL,@,MIL,L5-7,GS-5,L(0-3),4,5.0,7,5,5,2,7,2,0,4.76,24,80,51,16,9,9,6,3,1,0,38,,,0,0,0,22,0,0,0,0,0,0,.91,-0.299,-2.39,9.85,21.00,1b start tie,5b 3 out d1
5,145,21,Apr 27,STL,,TOR,W8-4,GS-6,,6,6.0,5,3,3,3,8,1,0,4.71,27,97,66,22,10,8,8,4,2,0,55,,,0,0,0,24,0,0,0,0,0,1,1.02,-0.037,0.04,18.70,33.00,1t start tie,6t 3 out d3
6,146,26,May 2,STL,,MIL,W2-1,GS-8,W(1-3),4,7.1,4,1,0,1,4,0,0,3.75,28,105,72,15,8,15,8,4,0,0,71,,,0,0,0,27,0,0,0,0,0,1,1.27,0.323,2.52,25.50,46.00,1t start tie,8t 1-- 1 out a1
7,147,31,May 8,STL,@,MIA,W9-4,GS-6,W(2-3),5,6.0,5,3,3,2,7,2,0,3.86,23,95,64,24,7,8,6,2,2,0,55,,,0,0,0,21,0,0,0,1,0,0,.61,0.124,-0.12,21.30,42.00,1b start tie,6b 3 out a6
8,148,35,May 13,STL,,CHC,W5-3,GS-7,W(3-3),4,6.2,5,3,3,4,7,1,0,3.88,29,99,62,19,12,11,7,2,1,0,55,,,0,0,0,25,2,0,0,0,0,1,.98,0.157,0.44,21.60,44.00,1t start tie,7t --- 2 out a2
9,149,40,May 20,STL,,SF,L1-3,GS-9,,6,9.0,2,0,0,1,5,0,0,3.28,29,93,65,19,7,13,10,2,3,0,87,,,0,0,0,28,0,0,0,1,0,0,1.14,0.691,4.56,28.45,42.00,1t start tie,9t 3 out tie
10,150,45,May 26,STL,@,COL,L0-10,GS-8,L(3-4),5,7.1,6,3,3,2,9,1,0,3.32,28,96,66,18,14,8,10,5,2,0,61,,,0,0,0,26,2,1,0,2,0,0,.77,0.072,1.44,23.70,40.00,1b start tie,8b --- 1 out d3
11,151,50,May 31,STL,,LAD,W2-1,GS-8,W(4-4),4,8.0,4,1,1,3,9,0,0,3.08,30,106,70,25,12,8,10,6,0,0,76,,,0,0,0,26,1,0,0,1,1,0,1.28,0.399,3.05,33.80,60.00,1t start tie,8t 3 out tie
