Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,129,1,Apr 2,TB,,NYY,W7-3,GS-7,W(1-0),99,7.0,7,2,2,1,5,0,0,2.57,29,108,66,22,12,13,10,3,1,0,59,,,0,0,0,28,1,0,0,0,0,0,.69,0.051,1.48,20.95,42.00,1t start tie,7t 3 out a5
2,130,6,Apr 8,TB,,TOR,W3-2,GS-8,,5,7.2,5,2,2,3,8,0,0,2.45,29,114,72,22,13,10,8,2,3,0,66,,,0,0,0,26,0,0,0,2,0,0,1.54,0.009,1.54,24.45,41.00,1t start tie,8t 12- 2 out d1
3,131,11,Apr 14,TB,@,BOS,W10-5,GS-6,W(2-0),5,5.2,6,1,1,2,5,0,0,2.21,25,102,62,17,9,6,12,10,0,0,56,,,0,0,0,23,2,0,0,0,0,0,.52,0.161,2.08,19.95,41.00,1b start tie,6b 1-- 2 out a7
4,132,16,Apr 19,TB,,DET,W8-7,GS-5,,4,5.0,7,4,4,2,9,0,0,3.20,23,104,67,14,20,3,9,6,0,0,44,,,1,0,0,21,2,1,0,1,0,0,1.10,-0.077,-1.52,15.85,30.00,1t start tie,5t 3 out a1
5,133,21,Apr 24,TB,@,BAL,L3-6,GS-7,L(2-1),4,6.2,6,5,5,5,5,3,1,3.94,31,104,63,20,9,4,16,6,2,0,42,,,0,0,0,25,2,0,0,1,0,0,1.30,-0.344,-1.48,7.80,20.00,1b start a 1,7b --- 2 out d2
6,134,26,Apr 30,TB,@,TOR,L1-3,GS-8,,5,7.1,4,1,1,2,5,0,0,3.43,28,112,73,19,13,8,13,5,2,0,69,,,0,0,0,26,1,0,0,0,0,0,1.21,0.411,3.71,20.90,34.00,1b start tie,8b -2- 1 out a1
7,135,31,May 5,TB,,TOR,L4-8,GS-7,,4,6.0,4,3,3,1,11,1,0,3.57,22,107,68,22,13,3,7,3,0,0,62,,,0,0,0,21,1,0,0,1,0,0,1.05,-0.067,-0.02,26.50,42.00,1t start tie,7t --- 0 out tie
8,136,36,May 10,TB,,KC,W12-1,GS-8,W(3-1),4,8.0,5,0,0,0,11,0,1,3.04,29,101,73,14,15,9,8,2,4,0,83,,,0,0,0,28,0,0,0,1,0,0,.43,0.220,3.97,40.40,69.00,1t start tie,8t 3 out a7
9,137,41,May 15,TB,@,CLE,L7-8,GS-5,L(3-2),4,5.0,5,7,6,6,6,1,0,3.70,26,101,57,18,11,8,6,3,0,0,31,,,1,0,0,20,1,1,0,0,0,0,.81,-0.371,-4.20,4.65,15.00,1b start a 1,5b 3 out d2
10,138,46,May 21,TB,,NYY,L2-3,GS-7,L(3-3),5,6.1,6,3,3,2,12,1,0,3.76,27,108,72,12,20,6,7,5,1,0,59,,,0,0,0,25,1,0,0,1,0,1,.92,-0.090,-0.43,27.45,46.00,1t start tie,7t 12- 1 out d1
11,139,51,May 26,TB,@,MIN,W5-2,GS-8,W(4-3),4,7.2,5,2,2,1,11,0,0,3.61,29,106,71,21,15,9,8,3,1,0,71,,,0,0,0,28,1,0,0,0,0,0,.76,0.288,1.73,35.65,62.00,1b start tie,8b 12- 2 out a3
12,140,56,May 31,TB,@,TEX,W7-5,GS-7,,4,7.0,7,4,4,2,7,0,0,3.74,30,114,72,18,15,12,9,4,1,0,52,,,1,0,0,27,4,0,0,1,1,0,1.32,-0.107,-0.05,16.35,30.00,1b start tie,7b 3 out d1
13,141,60,Jun 6,TB,,CWS,L2-4,GS-7,L(4-4),5,7.0,5,2,2,0,11,2,1,3.65,25,103,65,18,18,3,10,4,0,0,70,,,0,2,0,24,1,0,0,0,0,0,.99,0.110,1.48,30.15,48.00,1t start tie,7t 3 out d1
14,142,66,Jun 11,TB,,OAK,W5-4,GS-7,,4,6.0,7,4,4,3,8,0,0,3.80,27,114,75,16,14,6,10,4,0,0,47,,,0,0,0,24,1,1,0,0,0,0,.92,-0.363,-2.01,15.50,30.00,1t start tie,7t 12- 0 out tie
15,143,71,Jun 17,TB,@,DET,W3-2,GS-6,W(5-4),5,6.0,6,2,2,1,8,1,0,3.75,26,104,66,18,15,9,8,4,1,0,59,,,0,0,0,25,1,0,0,0,0,1,1.18,0.036,1.26,25.30,48.00,1b start tie,6b 3 out d1
16,144,76,Jun 23,TB,,BAL,W15-5,GS-6,W(6-4),5,6.0,7,5,4,2,4,0,0,3.88,26,92,54,14,9,7,13,8,3,0,42,,,0,0,0,24,2,0,0,2,0,1,.56,-0.005,-2.02,12.10,30.00,1t start tie,6t 3 out a9
17,145,81,Jun 29,TB,@,PIT,L0-4,GS-6,L(6-5),5,6.0,8,3,3,0,5,2,1,3.92,26,102,68,17,11,9,11,6,2,0,49,,,0,0,0,25,1,0,0,1,0,0,.83,-0.050,0.07,12.10,24.00,1b start tie,6b 3 out d3
18,146,85,Jul 4,TB,@,CHC,W6-5,GS-6,W(7-5),4,6.0,8,3,3,3,8,0,0,3.95,28,116,80,18,21,9,8,6,1,0,49,,,0,0,0,25,0,1,0,1,0,0,1.12,0.073,0.16,20.90,45.00,1b start tie,6b 3 out a3
19,147,90,Jul 9,TB,,BOS,W5-3,GS-7,,4,6.2,8,3,3,2,8,2,0,3.95,29,108,66,17,15,6,13,7,0,0,52,,,0,0,0,27,0,0,0,0,0,0,1.33,-0.089,0.37,19.00,35.00,1t start tie,7t --- 2 out d1
20,148,93,Jul 16,TB,@,LAA,L3-4,GS-6,,6,6.0,5,2,2,5,9,0,0,3.91,28,107,63,23,14,5,9,3,0,0,58,,,0,0,0,22,1,0,0,1,0,0,1.38,0.045,1.04,21.50,39.00,1b start tie,6b 3 out d2
21,149,98,Jul 22,TB,,TEX,L3-4,GS-7,L(7-6),5,7.0,4,4,1,1,11,1,0,3.77,27,108,74,13,21,6,9,2,2,0,69,,,0,0,0,26,0,0,0,0,0,1,1.01,-0.154,-0.52,32.75,51.00,1t start tie,7t 3 out d1
22,150,103,Jul 27,TB,@,NYY,L5-6,GS-6,,4,6.0,7,3,3,2,10,1,0,3.80,27,102,71,19,17,6,9,5,2,0,54,,,0,0,0,25,1,0,0,0,0,0,1.19,0.045,0.30,22.10,39.00,1b start tie,6b 3 out a2
23,151,108,Aug 1,TB,@,HOU,W6-4,GS-7,W(8-6),4,6.0,6,4,4,0,5,2,0,3.89,24,106,69,17,7,6,13,9,0,0,49,,,0,0,0,24,1,0,0,0,0,0,.63,0.033,-0.50,15.90,33.00,1b start a 3,7b 1-- 0 out a3
24,152,113,Aug 6,TB,,MIL,W2-1,GS-6,,4,6.0,3,1,1,2,7,1,1,3.80,24,102,64,17,17,7,7,3,0,0,67,,,1,0,0,21,0,0,0,1,0,1,1.38,0.198,1.98,,,1t start tie,6t 3 out tie
