Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,261,1,Mar 29,BOS,@,TB,L4-6,GS-6,,99,6,1,0,0,3,9,0,0,0,22,92,54,15,14,5,5,3,1,0,76,,,0,0,0,19,0,0,0,0,0,0,0.85,0.3,2.97,29.1,45,1b start tie,6b 3 out a3
2,262,6,Apr 03,BOS,@,MIA,W4-2,GS-5,,4,5,5,1,1,0,6,0,0,0.82,18,93,62,18,19,4,8,5,1,0,59,,,0,0,0,18,1,0,0,1,0,0,0.96,0.124,1.15,18.25,30,1b start a 1,5b 3 out tie
3,263,10,Apr 10,BOS,,NYY,W14-1,GS-6,W(1-0),6,6,8,1,1,0,8,1,0,1.06,26,87,65,12,21,6,12,4,4,0,60,,,0,0,0,26,0,0,0,0,0,0,0.79,0.206,2.19,26.7,51,1t start tie,6t 3 out a4
4,264,15,Apr 15,BOS,,BAL,W3-1,GS-5,,4,5,2,1,1,2,8,0,0,1.23,19,93,56,17,7,6,3,1,1,0,65,,,1,0,0,17,1,0,0,0,0,0,0.86,0.155,1.66,22.85,36,1t start tie,5t 3 out d1
5,265,20,Apr 21,BOS,@,OAK,L0-3,GS-7,L(1-1),5,7,6,3,3,1,10,1,0,1.86,28,110,72,22,14,6,11,4,1,0,62,,,1,0,0,27,3,1,0,0,0,0,0.63,-0.063,0.51,25.55,42,1b start tie,7b 3 out d3
6,266,24,Apr 26,BOS,@,TOR,W5-4,GS-6,W(2-1),4,6,4,3,3,2,4,2,1,2.31,25,104,71,13,15,4,14,3,4,0,54,,,0,0,0,21,1,0,0,0,1,0,0.92,0.006,-0.03,15.3,33,1b start tie,6b 3 out a2
7,267,29,May 01,BOS,,KC,L6-7,GS-7,,4,7,5,2,1,2,6,0,2,2.14,29,96,68,18,13,12,7,3,1,0,65,,,0,1,0,24,1,0,0,1,1,1,1.23,0.157,1.72,20.35,36,1t start tie,7t 3 out tie
8,268,34,May 06,BOS,@,TEX,W6-1,GS-7,W(3-1),4,7,4,1,1,1,12,1,2,2.02,28,103,71,19,23,8,5,2,0,0,76,,,2,0,0,25,0,0,0,1,0,1,1.18,0.342,3.01,37.55,66,1b start a 1,7b 3 out a5
9,269,38,May 11,BOS,@,TOR,L3-5,GS-9,,4,9,6,3,3,0,15,1,0,2.17,33,116,85,21,24,9,9,4,1,0,78,,,0,0,0,33,3,0,0,0,0,1,1.15,0.254,1.46,40.65,63,1b start a 1,9b 3 out tie
10,270,43,May 16,BOS,,OAK,W6-4,GS-5,W(4-1),4,5,2,2,2,4,9,1,0,2.29,21,102,60,16,12,1,7,0,1,0,60,,,0,0,0,17,0,0,0,0,0,0,1.01,0.061,0.66,25.65,48,1t start tie,5t 3 out a1
11,271,48,May 22,BOS,@,TB,W4-2,GS-8,W(5-1),5,7.2,4,2,1,2,9,1,1,2.17,29,112,73,30,14,6,11,5,2,0,72,,,0,0,0,25,1,0,0,0,1,0,1.08,0.283,1.86,33.05,59,1b start tie,8b --- 2 out a2
