Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,266,1,Apr 3,LAD,,SD,W14-3,GS-7,W(1-0),99,7.0,2,2,1,0,8,1,0,1.29,24,84,61,18,8,6,10,1,3,0,75,,,0,0,0,24,0,0,0,0,0,1,.44,0.077,1.51,32.55,54.00,1t start tie,7t 3 out a10
2,267,6,Apr 8,LAD,@,COL,L2-4,GS-6,L(1-1),4,6.0,8,4,4,0,6,3,0,3.46,26,100,65,16,7,11,9,4,1,0,46,,,0,0,0,26,1,1,0,0,0,0,.87,-0.116,-0.43,12.70,24.00,1b start tie,6b 3 out d3
3,268,11,Apr 14,LAD,,ARI,W7-1,GS-9,W(2-1),5,8.1,4,1,1,1,8,0,0,2.53,29,100,72,29,11,9,11,5,2,0,78,,,0,0,0,28,1,0,0,1,0,0,.65,0.291,2.83,33.75,58.00,1t start tie,9t -2- 1 out a6
4,269,16,Apr 19,LAD,,COL,W4-2,GS-7,W(3-1),4,7.0,5,2,2,1,10,0,0,2.54,27,97,70,19,19,6,10,7,1,0,68,,,0,0,0,25,2,0,0,0,1,0,1.19,0.225,1.51,32.15,57.00,1t start tie,7t 3 out a2
5,270,21,Apr 25,LAD,@,SF,W2-1,GS-7,W(4-1),5,7.0,6,1,1,1,7,0,0,2.29,28,90,66,18,11,10,10,4,1,0,67,,,1,0,0,27,1,0,0,0,0,0,1.21,0.362,2.47,27.55,51.00,1b start tie,7b 3 out a1
6,271,27,May 1,LAD,,SF,L3-4,GS-6,L(4-2),5,6.0,8,4,3,0,5,2,0,2.61,25,104,74,15,8,10,10,4,1,0,47,,,0,0,0,25,1,0,0,1,0,0,.76,-0.159,-0.99,12.70,24.00,1t start tie,6t 3 out d2
7,272,31,May 6,LAD,@,SD,W10-2,GS-8,W(5-2),4,7.1,5,1,1,4,9,1,0,2.40,30,118,75,18,14,10,7,2,0,0,69,,,0,0,0,26,0,0,0,1,0,1,.76,0.216,1.99,31.10,58.00,1b start tie,8b 12- 1 out a4
8,273,36,May 12,LAD,@,COL,W6-2,GS-7,W(6-2),5,7.0,7,2,2,1,4,0,0,2.43,26,85,58,15,14,13,8,5,0,0,58,,,0,0,0,25,1,1,0,2,0,1,.96,0.254,2.16,18.95,39.00,1b start tie,7b 3 out a3
9,274,41,May 17,LAD,@,SF,W6-1,GS-7,W(7-2),4,7.0,3,0,0,0,5,0,0,2.15,23,89,63,12,8,6,12,5,4,0,76,,,0,0,0,23,0,0,0,1,0,0,.56,0.287,3.47,27.95,48.00,1b start a 2,7b 3 out a6
10,275,46,May 23,LAD,,STL,W2-1,GS-9,,5,9.0,3,1,1,0,10,0,0,2.01,29,104,69,15,20,10,9,5,1,0,87,,,0,1,0,29,1,0,0,0,0,0,1.43,0.385,3.51,36.45,54.00,1t start tie,9t 3 out tie
