Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,169,1,Mar 29,CLE,@,SEA,L1-2,CG(8),L(0-1),99,8,6,2,2,1,8,1,0,2.25,29,91,66,19,13,11,9,6,0,0,69,,,0,0,0,28,1,0,0,2,0,0,0.57,0.069,1.84,28.3,42,1b start tie,8b 3 out d1
2,170,6,Apr 04,CLE,@,LAA,L2-3,GS-7,,5,7,3,2,2,2,6,1,0,2.4,25,96,64,23,10,7,10,3,2,0,67,,,0,0,0,23,0,0,0,0,0,0,1.01,0.174,1.47,20.75,33,1b start a 1,7b 3 out tie
3,171,10,Apr 09,CLE,,DET,W2-0,GS-8,W(1-1),4,8,2,0,0,1,13,0,0,1.57,27,103,72,29,12,7,6,3,1,0,90,,,0,0,0,26,0,0,0,0,0,0,0.91,0.507,4.25,46.2,75,1t start tie,8t 3 out a2
4,172,15,Apr 17,CLE,@,MIN,W6-1,GS-7,W(2-1),7,6.2,5,1,1,2,6,0,0,1.52,28,104,69,24,9,6,14,6,2,0,64,,,0,0,0,26,2,0,0,0,0,1,1.1,0.309,2.32,24.8,47,1b start tie,7b -2- 2 out a4
5,173,19,Apr 22,CLE,@,BAL,W7-3,GS-8,W(3-1),4,7,6,3,3,0,4,2,0,1.96,26,98,66,13,9,10,12,5,1,0,57,,,0,0,0,26,1,0,0,1,0,0,0.99,-0.021,0.06,18.15,36,1b start tie,8b 1-- 0 out a1
6,174,24,Apr 27,CLE,,SEA,W6-5,GS-9,W(4-1),4,8.2,4,3,3,3,10,1,0,2.18,32,116,79,26,14,8,11,6,2,0,71,,,0,0,0,29,0,0,0,1,0,0,0.52,0.271,2.54,33.3,59,1t start tie,9t 1-- 2 out a4
7,175,29,May 02,CLE,,TEX,W12-4,GS-7,W(5-1),4,7,6,3,3,0,6,3,0,2.41,26,99,65,18,10,10,10,4,2,0,59,,,0,0,0,26,0,0,0,1,0,0,0.29,0.048,0.72,22.15,42,1t start tie,7t 3 out a7
8,176,35,May 08,CLE,@,MIL,L2-3,GS-6,L(5-2),5,6,5,3,3,1,4,2,0,2.62,24,95,59,16,7,12,7,3,1,0,53,,,0,0,0,23,0,0,0,1,0,2,0.81,-0.057,-0.04,11.9,21,1b start tie,6b 3 out d1
9,177,39,May 13,CLE,,KC,W11-2,GS-7,W(6-2),4,7,8,2,0,0,4,0,0,2.34,29,97,69,17,10,13,12,6,2,0,61,,,0,0,0,29,1,0,0,1,0,1,0.39,0.155,1.72,22.95,45,1t start tie,7t 3 out a7
10,178,44,May 19,CLE,@,HOU,W5-4,GS-7,W(7-2),5,7,6,2,2,0,10,1,1,2.36,27,110,72,20,14,9,7,3,1,0,67,,,0,0,0,26,1,0,0,1,0,0,0.8,0.231,1.44,31.55,57,1b start a 3,7b 3 out a3
11,179,49,May 25,CLE,,HOU,L2-11,GS-7,,5,6.1,7,0,0,0,7,0,0,2.17,26,103,71,17,14,11,8,5,0,0,66,,,0,1,0,26,1,0,0,0,0,1,1.21,0.212,2.11,24.05,40,1t start tie,7t 123 1 out a2
12,180,54,May 30,CLE,,CWS,W9-1,GS-6,W(8-2),4,6,3,0,0,0,10,0,0,2.02,20,90,61,17,13,3,7,4,0,0,76,,,0,1,0,20,1,0,0,0,0,0,0.5,0.172,3.19,35.7,60,1t start tie,6t 3 out a9
13,181,59,Jun 05,CLE,,MIL,W3-2,GS-7,W(9-2),5,7,7,1,1,0,7,0,0,1.96,27,112,74,19,8,10,10,8,1,0,66,,,0,0,0,27,1,0,0,1,0,0,1,0.322,2.72,27.55,51,1t start tie,7t 3 out a2
14,182,63,Jun 10,CLE,@,DET,W9-2,GS-8,W(10-2),4,8,5,2,2,0,8,1,0,1.99,29,106,76,23,10,12,9,3,0,0,72,,,0,0,0,29,1,0,0,0,0,1,0.72,0.221,2.13,31,54,1b start tie,8b 3 out a7
15,183,68,Jun 15,CLE,,MIN,L3-6,GS-5,L(10-3),4,5,4,4,4,1,3,2,0,2.24,19,65,41,14,3,7,8,4,1,0,45,,,0,0,0,18,1,0,0,1,0,0,0.69,-0.164,-1.34,6.25,12,1t start tie,5t 3 out d4
16,184,73,Jun 20,CLE,,CWS,W12-0,GS-7,W(11-3),4,7,1,0,0,1,7,0,0,2.1,22,96,65,17,14,8,6,0,2,0,81,,,0,1,0,21,0,0,0,0,0,0,0.51,0.246,3.72,32.55,54,1t start tie,7t 3 out a11
17,185,78,Jun 26,CLE,@,STL,L2-11,GS-2,L(11-4),5,1.2,6,6,6,1,2,2,0,2.54,12,48,31,3,7,1,8,4,0,0,20,,,0,0,0,10,0,0,0,0,1,0,1.45,-0.493,-5.16,-8.45,-7,1b start a 2,2b --- 2 out d4
18,186,83,Jul 02,CLE,@,KC,W9-3,GS-6,W(12-4),5,6,7,3,3,0,5,1,0,2.64,25,99,63,12,12,8,12,7,1,0,51,,,0,0,0,25,1,0,0,0,0,0,0.55,0.018,0.03,17.3,36,1b start tie,6b 3 out a6
19,187,87,Jul 07,CLE,,OAK,L3-6,GS-7,,4,7,5,0,0,2,3,0,0,2.49,27,102,63,20,8,7,15,4,1,0,68,,,0,0,0,25,1,0,0,1,0,0,1.05,0.393,3.72,17.55,30,1t start tie,7t 3 out a3
20,188,92,Jul 12,CLE,,NYY,L4-7,GS-8,L(12-5),4,7.1,8,6,6,2,9,2,0,2.76,32,114,72,16,18,6,15,6,0,0,45,,,0,0,0,29,4,0,0,0,0,1,1.25,-0.28,-1.46,16.5,31,1t start tie,8t -2- 1 out d1
21,189,99,Jul 23,CLE,,PIT,L0-7,GS-4,L(12-6),10,4,9,7,3,1,2,1,0,2.88,22,72,49,7,9,6,13,4,1,0,25,,,0,0,0,21,1,1,0,1,0,1,0.73,-0.331,-4.87,1,9,1t start tie,4t 3 out d7
22,190,104,Jul 29,CLE,@,DET,W8-1,GS-8,W(13-6),5,7.1,5,1,1,1,5,0,0,2.79,27,94,70,13,16,11,10,4,2,0,68,,,0,1,0,26,2,0,0,0,0,0,0.8,0.183,2.6,24.9,46,1b start a 1,8b 1-- 1 out a7
23,191,109,Aug 04,CLE,,LAA,W3-0,SHO,W(14-6),5,9,3,0,0,1,7,0,1,2.63,32,98,64,19,7,13,10,5,2,0,87,,,0,0,0,30,1,0,0,0,0,0,0.93,0.519,4.78,40.25,60,1t start tie,9t 3 out a3
24,192,114,Aug 09,CLE,,MIN,W5-4,GS-7,,4,7,7,4,4,0,7,1,0,2.74,27,117,77,22,7,8,12,5,0,0,54,,,0,1,0,26,1,0,0,0,1,0,1.02,-0.008,-0.28,17.55,30,1t start tie,7t 3 out tie
25,193,119,Aug 14,CLE,@,CIN,W8-1,GS-7,W(15-6),4,7,5,1,1,2,7,0,0,2.68,26,96,60,20,6,10,7,5,0,0,68,,,0,1,0,24,0,1,0,1,0,0,0.25,0.117,2.49,27.55,51,1b start a 4,7b 3 out a7
