Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,136,1,Apr 3,HOU,,SEA,W3-0,GS-7,W(1-0),99,7.0,2,0,0,2,4,0,1,0.00,25,85,53,15,8,13,5,2,2,0,75,,,0,0,0,22,0,0,0,1,0,0,1.15,0.382,3.36,24.75,45.00,1t start tie,7t 3 out a3
2,137,6,Apr 8,HOU,,KC,L3-7,GS-7,,4,7.0,2,1,1,1,4,1,0,0.64,24,93,61,12,13,15,4,3,0,0,72,,,0,0,0,22,0,0,0,1,0,1,1.14,0.338,2.36,19.95,30.00,1t start tie,7t 3 out a1
3,138,11,Apr 14,HOU,@,OAK,W7-2,GS-7,W(2-0),5,7.0,4,1,1,2,7,1,0,0.86,27,100,62,26,8,12,6,2,0,0,70,,,0,0,0,25,0,0,0,1,0,1,.96,0.269,2.55,28.15,51.00,1b start tie,7b 3 out a4
4,139,15,Apr 19,HOU,,LAA,W5-1,GS-7,W(3-0),4,7.0,8,1,1,1,7,0,0,0.96,27,99,65,19,8,13,6,4,0,0,63,,,0,0,0,26,3,0,0,3,0,0,1.24,0.306,2.36,26.35,51.00,1t start tie,7t 3 out a2
5,140,20,Apr 25,HOU,@,CLE,W4-2,CG,W(4-0),5,9.0,6,2,2,3,5,2,0,1.22,34,117,71,30,8,14,12,4,0,0,69,,,0,0,0,31,1,0,0,3,0,1,1.30,0.483,3.04,27.35,48.00,1b start tie,9b 3 out a2
6,141,25,Apr 30,HOU,,OAK,W7-2,GS-8,W(5-0),4,7.2,3,1,1,2,9,0,0,1.21,28,99,66,15,19,8,9,8,1,0,76,,,0,0,0,26,1,0,0,0,0,0,.71,0.345,3.62,34.25,59.00,1t start tie,8t 1-- 2 out a4
7,142,30,May 5,HOU,@,LAA,W7-6,GS-9,,4,8.0,7,5,5,2,5,2,0,1.88,29,103,61,16,8,14,8,3,2,0,51,,,0,1,0,27,0,0,0,2,0,0,.89,0.019,0.21,12.60,24.00,1b start tie,9b 123 0 out a4
8,143,35,May 11,HOU,@,NYY,W3-2,GS-6,W(6-0),5,6.0,5,1,0,1,9,0,0,1.69,25,98,60,16,15,11,3,3,0,0,68,,,0,0,0,23,0,0,0,1,0,1,1.55,0.280,2.30,31.90,57.00,1b start a 2,6b 3 out a2
9,144,40,May 16,HOU,@,MIA,W12-2,GS-5,W(7-0),4,5.0,4,2,2,0,4,0,0,1.84,19,70,48,13,3,14,1,1,0,0,55,,,0,0,0,19,0,0,0,1,0,1,.70,-0.056,0.40,16.85,33.00,1b start a 3,5b 3 out a8
10,145,50,May 27,HOU,,BAL,W5-2,GS-6,W(8-0),10,6.0,4,1,1,2,8,0,0,1.81,22,86,55,18,11,9,3,2,0,0,66,,,0,0,0,20,0,0,0,2,0,0,.93,0.200,1.88,27.90,51.00,1t start tie,6t 3 out a3
11,146,55,Jun 2,HOU,@,TEX,W7-1,GS-6,W(9-0),5,6.0,3,0,0,2,7,0,0,1.67,23,89,54,19,7,10,4,1,0,0,71,,,0,0,0,21,1,0,0,0,0,0,.95,0.345,3.39,28.50,51.00,1b start tie,6b 3 out a3
12,147,102,Jul 28,HOU,@,DET,W6-5,GS-3,,55,3.0,6,3,3,3,3,1,0,1.94,18,79,45,14,8,6,6,5,0,0,35,,,0,0,0,15,2,0,0,0,0,0,1.09,-0.158,-1.37,1.35,9.00,1b start a 1,3b 3 out d1
13,148,107,Aug 2,HOU,,TB,L0-3,GS-5,L(9-1),4,5.0,7,3,3,2,2,1,0,2.15,24,87,49,11,4,12,8,3,1,0,41,,,0,0,0,22,1,0,0,1,0,1,.76,-0.125,-0.60,,,1t start tie,5t 3 out d3
14,149,112,Aug 8,HOU,@,CWS,L5-8,GS-4,L(9-2),5,4.0,10,8,8,3,2,1,0,2.87,25,93,56,13,12,11,9,4,1,0,9,,,2,0,0,22,3,0,0,0,0,0,1.02,-0.511,-5.93,,,1b start tie,4b 3 out d5
15,150,117,Aug 13,HOU,@,TEX,W2-1,GS-7,W(10-2),4,6.2,6,1,1,3,7,1,0,2.77,28,97,60,13,10,11,7,4,0,0,62,,,0,0,0,25,1,0,0,0,0,0,1.32,0.279,2.70,,,1b start tie,7b 1-- 2 out a1
16,151,122,Aug 18,HOU,,OAK,W3-1,GS-7,W(11-2),4,7.0,3,0,0,1,3,0,0,2.58,24,100,67,13,10,18,2,1,1,0,73,,,0,0,0,23,1,0,0,1,0,0,.89,0.373,3.36,,,1t start tie,7t 3 out a3
17,152,127,Aug 24,HOU,,WSH,L4-5,GS-7,,5,7.0,4,3,2,2,4,0,0,2.58,27,100,64,13,19,13,8,6,1,0,61,,,0,0,0,25,2,0,0,0,0,0,.95,-0.035,0.36,,,1t start tie,7t 3 out d3
18,153,132,Aug 30,HOU,,TEX,L1-8,GS-6,L(11-3),5,6.0,5,6,6,3,7,1,0,2.91,26,98,57,13,11,11,5,4,0,0,42,,,0,0,0,23,1,0,0,0,0,0,.81,-0.374,-3.12,,,1t start tie,6t 3 out d5
19,154,137,Sep 4,HOU,@,SEA,W6-2,GS-8,W(12-3),4,7.2,7,2,2,2,5,1,0,2.88,31,108,67,16,8,19,5,3,0,0,60,,,1,0,0,29,0,0,0,2,0,1,.88,0.106,1.86,,,1b start tie,8b 1-- 2 out a4
20,155,143,Sep 10,HOU,@,OAK,L2-10,GS-6,L(12-4),5,5.2,6,4,4,4,4,1,1,3.03,28,106,60,10,11,10,9,5,1,0,41,,,0,0,0,23,0,0,0,0,0,1,1.43,-0.223,-1.74,,,1b start tie,6b 123 2 out d3
21,156,148,Sep 16,HOU,,SEA,W8-6,GS-6,W(13-4),5,6.0,4,1,1,2,4,1,0,2.96,23,90,55,18,9,12,5,2,1,0,62,,,0,0,0,21,0,0,0,1,0,0,.69,0.196,1.88,,,1t start tie,6t 3 out a5
22,157,152,Sep 21,HOU,,CWS,L1-3,GS-6,L(13-5),4,6.0,5,2,2,3,7,0,0,2.96,24,97,58,10,12,10,4,3,0,0,58,,,0,0,0,21,1,0,0,2,0,0,1.24,0.071,0.88,,,1t start tie,6t 3 out d1
23,158,157,Sep 26,HOU,@,TEX,W14-3,GS-6,W(14-5),4,6.0,5,2,1,1,8,1,0,2.90,23,102,63,19,15,12,2,1,0,0,63,,,0,1,0,22,0,0,0,1,0,1,.64,0.118,1.39,,,1b start a 4,6b 3 out a12
,,,,,,,16-7,,W-L:14-5,4.5,145.2,116,50,47,47,125,15,2,2.90,584,2196,62%,16%,11%,2.12,,18%,3%,0,58,,---%,3,2,0,533,18,0,0,23,0,9,1.02,2.628,25.13,279.90,509.00,,
