Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,254,50,May 29,BOS,@,CWS,L4-5,GS-5,,99,5.0,2,3,3,2,4,1,2,5.40,20,88,58,10,11,5,7,2,1,0,53,,,1,0,0,16,0,0,0,1,0,0,1.16,-0.049,-0.41,9.65,18.00,1b start a 1,5b 3 out a1
2,255,55,Jun 3,BOS,@,BAL,W5-2,GS-8,W(1-0),4,7.0,3,1,1,1,7,1,0,3.00,25,92,55,13,12,7,10,3,3,0,73,,,0,0,0,24,0,0,0,1,0,0,1.16,0.277,2.24,29.35,51.00,1b start tie,8b 1-- 0 out a3
3,256,59,Jun 8,BOS,@,NYY,L1-9,GS-5,L(1-1),4,5.0,8,6,6,4,4,2,0,5.29,27,107,72,14,10,6,13,4,1,0,27,,,0,0,0,23,0,0,0,0,0,0,.87,-0.250,-3.25,0.05,9.00,1b start tie,5b 3 out d5
4,257,64,Jun 13,BOS,,PHI,W4-3,GS-6,,4,6.0,4,3,3,4,6,1,0,5.09,26,103,63,17,10,8,8,3,1,0,54,,,0,0,0,22,1,0,0,0,0,0,1.35,0.022,0.33,14.70,27.00,1t start tie,6t 3 out tie
5,258,69,Jun 18,BOS,@,HOU,W6-5,GS-6,W(2-1),4,5.0,8,3,3,3,3,2,1,5.14,27,107,64,20,10,6,14,6,2,0,39,,,0,0,0,23,2,0,0,0,0,0,1.36,-0.094,-0.60,8.05,27.00,1b start a 1,6b --- 0 out a2
6,259,74,Jun 24,BOS,,LAA,L3-6,GS-6,L(2-2),5,6.0,6,3,2,1,5,0,0,4.76,25,103,64,10,10,11,8,5,0,0,54,,,1,1,0,23,3,0,0,0,1,1,1.07,-0.021,0.33,15.30,27.00,1t start tie,6t 3 out d2
7,260,79,Jun 29,BOS,,MIN,W6-3,GS-7,W(3-2),4,7.0,6,3,3,0,7,0,0,4.61,27,112,74,17,19,7,13,4,1,0,60,,,0,0,0,27,3,0,0,0,0,0,1.05,0.102,0.88,24.15,45.00,1t start tie,7t 3 out a2
8,261,84,Jul 4,BOS,@,TEX,W11-4,GS-7,W(4-2),4,6.0,6,0,0,2,9,0,0,4.02,26,106,70,16,15,4,11,6,2,0,67,,,0,0,0,24,1,0,0,0,0,0,.66,0.229,2.99,30.70,57.00,1b start tie,7b 1-- 0 out a9
9,262,89,Jul 9,BOS,@,TB,L3-5,GS-6,,4,6.0,5,2,2,2,5,0,0,3.91,25,106,72,14,15,11,7,1,0,0,57,,,0,0,0,22,2,0,0,0,1,0,.93,0.065,0.98,15.30,27.00,1b start a 1,6b 3 out d1
10,263,93,Jul 16,BOS,,NYY,W3-0,GS-8,W(5-2),6,8.0,7,0,0,0,8,0,0,3.39,31,107,75,16,10,9,14,7,0,0,76,,,0,0,0,31,1,0,0,0,0,0,1.10,0.453,4.44,33.80,60.00,1t start tie,8t 3 out a3
11,264,99,Jul 22,BOS,@,LAA,L3-7,GS-5,L(5-3),5,5.0,7,6,5,3,5,1,1,3.82,26,102,68,21,10,7,10,6,1,0,33,,,0,1,0,22,1,0,0,0,0,2,.98,-0.402,-3.47,4.65,15.00,1b start a 1,5b 3 out d3
12,265,149,Sep 17,BOS,@,TB,L2-3,7-GF(8),,56,2.0,0,0,0,0,2,0,0,3.71,6,21,15,2,6,2,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.49,0.073,0.99,,,7b --- 0 out d1,8b end d 1
13,266,153,Sep 22,BOS,@,CIN,W5-4,5-7,W(6-3),4,2.2,3,0,0,1,4,0,0,3.57,12,40,26,4,6,0,7,5,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,1.92,0.180,1.10,,,5b --- 0 out a1,7b 12- 2 out a1
14,267,158,Sep 27,BOS,,TOR,W10-7,6-7,,4,1.1,0,0,0,0,3,0,0,3.50,4,21,13,5,3,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.38,0.039,0.67,,,6t --- 2 out a4,7t 3 out a4
15,268,160,Sep 29,BOS,,HOU,L2-3,6-7,,1,1.2,0,0,0,0,2,0,0,3.42,6,24,19,6,2,1,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,1,.97,0.085,0.85,,,6t --- 1 out d2,7t 3 out d1
16,269,161,Sep 30,BOS,,HOU,W6-3,7-7,H(1),0,1.0,0,0,0,1,2,0,0,3.38,4,14,10,5,1,1,0,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,2.50,0.168,1.57,,,7t 12- 0 out a3,7t 3 out a3
,,,,,,,9-7,,W-L:6-3Hld:1,3.8,74.2,65,30,28,24,76,8,4,3.38,317,1253,65%,15%,12%,0.68,,25%,7%,0,54,2,0%,2,2,0,287,14,0,0,2,2,4,1.09,0.877,9.65,185.70,363.00,,
