Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,128,4,Apr 01,HOU,@,TEX,W8-2,GS-7,W(1-0),99,7,2,1,1,3,11,1,0,1.29,25,102,65,20,21,1,10,3,3,0,77,,,0,0,0,22,1,0,0,1,0,0,0.84,0.257,3.01,36.75,63,1b start tie,7b 3 out a6
2,129,9,Apr 07,HOU,,SD,W1-0,GS-7,,5,7,5,0,0,0,11,0,0,0.64,26,102,73,18,19,6,9,5,1,0,78,,,0,0,0,25,2,0,0,0,0,0,1.28,0.439,3.44,34.75,54,1t start tie,7t 3 out tie
3,130,14,Apr 13,HOU,,TEX,W3-2,GS-7,,5,7,3,2,2,1,14,2,1,1.29,26,93,67,18,12,3,7,1,2,0,76,,,0,0,0,24,0,0,0,0,0,0,1.08,0.116,1.44,36.75,57,1t start tie,7t 3 out tie
4,131,19,Apr 18,HOU,@,SEA,W7-1,GS-7,W(2-0),4,7,5,1,0,2,5,0,0,0.96,26,95,60,17,8,9,10,2,1,0,68,,,3,0,0,24,0,0,0,1,0,0,1.04,0.238,2.36,25.55,48,1b start tie,7b 3 out a6
5,132,24,Apr 23,HOU,,LAA,L0-2,GS-7,L(2-1),4,7,4,2,2,2,8,0,0,1.29,26,109,74,23,14,6,10,3,1,0,67,,,1,0,0,24,1,0,0,1,0,0,0.94,0.071,1.44,24.15,39,1t start tie,7t 3 out d2
6,133,29,Apr 29,HOU,,OAK,W8-4,GS-7,,5,6.2,6,3,3,0,12,0,1,1.73,26,100,73,20,22,4,9,5,0,0,62,,,0,0,0,25,3,0,0,1,0,0,1.22,0.15,1.12,28.8,47,1t start tie,7t -2- 2 out a1
7,134,34,May 04,HOU,@,ARI,W8-0,SHO,W(3-1),4,9,1,0,0,1,16,0,0,1.42,29,114,82,31,21,4,8,4,2,0,100,,,0,0,0,28,1,0,0,0,0,0,0.28,0.176,4.7,60.05,87,1b start a 2,9b 3 out a8
8,135,39,May 09,HOU,@,OAK,W4-1,GS-6,W(4-1),4,6,4,1,1,3,9,0,0,1.43,24,101,64,15,17,2,10,3,2,0,66,,,0,1,0,21,2,0,0,0,0,0,1,0.16,2.01,29.3,54,1b start tie,6b 3 out d1
9,136,44,May 15,HOU,@,LAA,W5-3,GS-5,,5,5,5,3,3,2,7,2,0,1.75,20,98,66,14,13,3,8,2,2,0,50,,,0,1,0,18,0,0,0,0,0,0,0.61,-0.113,-0.52,15.05,27,1b start tie,5b 3 out d2
10,137,49,May 22,HOU,,SF,W11-2,GS-6,W(5-1),6,6,4,2,2,3,8,1,0,1.86,23,106,67,21,10,5,7,1,0,0,61,,,0,1,0,20,0,0,0,1,0,0,0.86,0.192,0.95,25.3,48,1t start tie,6t 3 out a3
11,138,54,May 27,HOU,@,CLE,L9-10,GS-7,,4,7,4,3,3,2,8,1,1,2.05,26,112,77,23,9,8,7,2,0,0,63,,,0,0,0,23,1,0,0,1,0,0,0.74,0.004,0.72,21.55,36,1b start tie,7b 3 out d1
12,139,59,Jun 01,HOU,,BOS,W7-3,GS-7,W(6-1),4,7,5,3,3,1,7,2,0,2.2,27,105,66,21,12,7,12,6,1,0,61,,,1,0,0,26,1,0,0,0,0,0,1.08,0.171,0.44,24.15,45,1t start tie,7t 3 out a1
13,140,64,Jun 07,HOU,@,TEX,W5-2,GS-6,W(7-1),5,6,3,1,1,3,8,0,0,2.16,24,102,69,21,11,5,8,1,3,0,67,,,0,0,0,21,0,0,0,0,0,0,1.04,0.251,2.44,27.9,51,1b start tie,6b 3 out a3
