Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,137,1,Apr 4,CHC,@,LAA,W9-0,GS-7,W(1-0),99,7.0,2,0,0,1,6,0,0,0.00,23,89,64,20,9,8,8,4,1,0,78,,,0,0,0,22,0,0,0,0,0,0,.71,0.296,3.38,,,1b start a 1,7b 3 out a6
2,138,6,Apr 10,CHC,@,ARI,W7-3,GS-7,W(2-0),5,7.0,8,3,3,0,6,2,0,1.93,29,99,70,21,9,15,8,6,0,0,55,,,0,0,0,29,2,0,0,0,0,0,.97,0.085,0.71,,,1b start tie,7b 3 out a3
3,139,11,Apr 16,CHC,,COL,W6-2,GS-8,W(3-0),5,8.0,5,0,0,1,8,0,0,1.23,27,100,68,15,14,10,8,3,3,0,79,,,1,1,0,26,1,0,0,1,0,0,.92,0.421,4.00,,,1t start tie,8t 3 out a5
4,140,16,Apr 21,CHC,@,CIN,W16-0,SHO,W(4-0),4,9.0,0,0,0,4,6,0,0,0.87,29,119,71,23,11,11,8,5,2,0,89,,,0,0,0,25,0,0,0,1,0,0,.32,0.185,4.50,,,1b start a 2,9b 3 out a16
5,141,21,Apr 28,CHC,,MIL,W7-2,GS-5,W(5-0),6,5.0,3,1,1,4,6,0,0,1.00,21,92,57,17,13,6,5,3,0,0,59,,,4,0,0,17,1,0,0,1,0,0,.99,0.160,1.50,,,1t start tie,5t 3 out a4
6,142,25,May 3,CHC,@,PIT,W7-1,GS-7,W(6-0),4,7.0,2,0,0,2,5,0,0,0.84,24,99,61,20,9,12,5,3,0,0,76,,,0,0,0,22,0,0,0,1,0,0,.65,0.216,3.44,,,1b start tie,7b 3 out a6
7,143,30,May 8,CHC,,WSH,W4-3,GS-5,,4,5.0,6,3,2,4,7,0,0,1.12,27,100,64,19,10,9,7,5,0,0,48,,,0,0,0,23,2,0,1,0,0,1,1.29,-0.111,-0.50,,,1t start tie,5t 3 out d2
8,144,35,May 14,CHC,,PIT,W8-2,GS-8,W(7-0),5,8.0,3,2,2,2,11,0,1,1.29,29,108,69,23,10,7,8,4,1,0,77,,,1,0,0,26,1,0,0,1,0,0,.93,0.161,2.00,,,1t start tie,8t 3 out a4
9,145,40,May 20,CHC,@,SF,W8-1,GS-7,W(8-0),5,7.0,4,1,1,2,8,0,0,1.29,27,111,73,21,9,7,10,6,0,0,71,,,2,0,0,25,0,0,0,0,0,0,.63,0.200,2.33,,,1b start tie,7b 3 out a4
10,146,45,May 25,CHC,@,STL,W9-8,GS-5,W(9-0),4,5.0,7,4,4,1,4,1,1,1.72,25,93,62,19,12,13,6,3,1,0,40,,,0,0,0,23,1,0,0,0,0,1,1.30,-0.079,-1.57,,,1b start tie,5b 3 out a2
11,147,50,May 31,CHC,,LAD,L0-5,GS-7,,5,7.0,2,0,0,4,8,0,0,1.56,27,107,63,21,13,11,4,1,0,0,77,,,1,0,0,23,0,0,0,1,0,1,1.21,0.443,3.50,,,1t start tie,7t 3 out tie
12,148,55,Jun 5,CHC,,ARI,L2-3,GS-5,L(9-1),4,5.0,9,3,3,1,12,0,0,1.80,23,108,69,19,22,7,3,3,0,0,48,,,1,1,0,22,1,0,0,0,0,0,1.08,-0.092,-0.50,,,1t start tie,5t 3 out d2
13,149,60,Jun 11,CHC,@,ATL,W8-2,GS-7,W(10-1),5,7.0,4,2,2,2,3,0,1,1.86,29,105,61,14,9,15,8,6,0,0,62,,,1,0,0,26,1,1,0,1,0,2,.65,0.177,1.40,,,1b start a 1,7b 3 out a6
14,150,65,Jun 17,CHC,,PIT,W6-0,GS-6,W(11-1),5,6.0,2,0,0,3,11,0,0,1.74,23,112,69,19,14,4,5,3,0,0,76,,,0,0,0,20,0,0,0,0,0,0,1.43,0.331,3.00,,,1t start tie,6t 3 out a2
15,151,70,Jun 22,CHC,,STL,L2-7,GS-5,L(11-2),4,5.0,4,2,1,4,6,0,0,1.74,23,106,64,14,11,5,8,5,0,0,55,,,0,0,0,19,2,0,0,0,0,0,1.37,-0.003,0.50,,,1t start tie,5t 3 out d2
16,152,75,Jun 27,CHC,@,CIN,W11-8,GS-5,W(12-2),4,5.0,4,5,5,5,4,1,0,2.10,24,93,54,18,4,6,9,6,1,0,38,,,3,0,0,18,1,0,0,0,0,0,1.13,-0.189,-2.50,,,1b start a 2,5b 3 out a3
17,153,80,Jul 2,CHC,@,NYM,L3-4,GS-6,L(12-3),4,5.1,8,4,4,2,4,1,0,2.33,26,108,66,15,9,8,12,7,3,0,38,,,0,0,0,24,1,0,0,0,0,0,.83,-0.306,-2.31,,,1b start tie,6b 1-3 1 out d2
18,154,86,Jul 8,CHC,@,PIT,L4-8,GS-7,L(12-4),5,6.0,9,6,6,1,6,2,0,2.68,28,88,60,14,12,10,11,5,2,0,35,,,1,0,0,27,1,0,0,0,0,0,.91,-0.408,-2.04,,,1b start tie,7b 12- 0 out tie
19,155,93,Jul 19,CHC,,NYM,L1-2,GS-7,,10,7.0,5,1,1,1,8,0,0,2.60,27,85,63,15,10,7,11,7,1,0,70,,,0,0,0,25,0,1,0,0,1,0,1.14,0.286,2.50,,,1t start tie,7t 3 out tie
20,156,98,Jul 25,CHC,@,CWS,L4-5,GS-6,,5,6.0,5,4,4,2,6,1,0,2.76,25,101,65,15,11,10,7,4,0,0,50,,,0,0,0,23,1,0,0,0,0,0,.85,-0.083,-1.07,,,1b start tie,6b 3 out d4
21,157,103,Jul 30,CHC,,SEA,L1-4,GS-8,L(12-5),4,7.0,2,2,2,3,4,0,0,2.75,26,100,63,18,6,13,6,1,2,0,66,,,0,0,0,23,0,0,0,1,0,0,1.12,0.228,2.51,,,1t start tie,8t 12- 0 out a1
22,158,109,Aug 6,CHC,@,OAK,W4-0,GS-8,W(13-5),6,8.0,3,0,0,1,4,0,1,2.59,28,108,66,14,7,9,13,3,2,0,79,,,0,0,0,26,1,0,0,1,0,0,.83,0.375,3.90,,,1b start tie,8b 3 out a4
23,159,114,Aug 12,CHC,,STL,W13-2,GS-6,W(14-5),5,5.2,4,1,1,2,6,1,0,2.55,25,105,70,21,9,9,8,4,1,0,61,,,0,0,0,23,2,0,0,0,0,2,.52,0.126,1.68,,,1t start tie,6t -2- 2 out a6
24,160,120,Aug 18,CHC,,MIL,W9-6,GS-6,W(15-5),5,5.2,3,5,5,7,3,2,0,2.75,26,103,56,20,10,7,9,3,0,0,39,,,1,0,0,19,1,0,0,0,0,0,.74,-0.007,-1.50,,,1t start tie,6t 1-3 2 out a3
25,161,125,Aug 23,CHC,@,SD,W5-3,GS-8,W(16-5),4,8.0,2,0,0,3,6,0,0,2.62,25,99,59,17,10,11,5,2,0,0,81,,,1,0,0,22,1,0,0,3,0,0,.75,0.307,3.77,,,1b start tie,8b 3 out a5
26,162,130,Aug 29,CHC,,PIT,W8-7,GS-7,,5,6.1,5,6,6,3,3,2,0,2.84,26,91,59,23,6,12,8,2,2,0,39,,,2,1,0,23,0,0,0,0,0,0,1.14,-0.241,-1.41,,,1t start tie,7t 12- 1 out d1
27,163,135,Sep 3,CHC,,SF,L2-3,GS-6,L(16-6),4,6.0,4,3,2,2,7,0,0,2.84,25,103,68,21,11,10,6,4,1,0,59,,,2,0,0,23,1,0,0,0,0,1,.91,-0.074,0.00,,,1t start tie,6t 3 out d2
28,164,142,Sep 11,CHC,@,HOU,W9-5,GS-6,W(17-6),7,5.1,4,3,3,2,3,1,1,2.91,22,88,49,10,9,7,9,7,0,0,49,,,0,0,0,19,1,0,0,0,0,0,.43,0.074,-1.30,,,1b start a 1,6b 1-3 1 out a6
29,165,148,Sep 17,CHC,,MIL,L3-11,GS-6,L(17-7),5,6.0,4,4,3,4,5,1,0,2.96,25,102,58,14,9,6,10,3,4,0,51,,,2,0,0,21,1,0,0,2,0,1,1.21,-0.225,-1.00,,,1t start tie,6t 3 out d1
30,166,153,Sep 23,CHC,,STL,W5-0,GS-7,W(18-7),5,7.0,5,0,0,1,10,0,0,2.85,24,99,68,15,23,6,7,4,0,0,76,,,0,0,0,23,0,0,0,2,0,0,.54,0.212,3.50,,,1t start tie,7t 3 out a5
31,167,158,Sep 28,CHC,@,PIT,L4-8,GS-5,L(18-8),4,5.0,10,7,7,2,4,1,1,3.10,27,103,63,15,10,10,10,9,0,0,21,,,0,0,0,23,3,0,0,1,0,0,.83,-0.321,-4.55,,,1b start a 1,5b 3 out d6
,,,,,,,20-11,,W-L:18-8,4.7,197.1,138,72,68,76,190,16,6,3.10,795,3124,63%,18%,11%,1.16,,25%,5%,0,59,,---%,23,3,0,710,27,2,1,17,1,9,.91,2.144,27.85,,,,
