Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,123,2,Apr 5,CWS,@,OAK,W5-4,GS-6,,99,5.2,7,2,2,0,7,0,0,3.18,24,96,63,17,10,8,9,6,1,0,54,,,0,0,0,24,2,0,0,0,0,0,1.35,0.042,0.61,,,1b start tie,6b -2- 2 out a2
2,124,7,Apr 11,CWS,@,MIN,W4-1,GS-6,W(1-0),5,6.0,4,1,1,3,5,0,0,2.31,24,100,60,15,8,5,11,6,2,0,62,,,0,0,0,21,1,0,0,1,0,0,1.40,0.271,2.05,,,1b start tie,6b 3 out a2
3,125,12,Apr 17,CWS,@,TB,L2-3,GS-6,L(1-1),5,6.0,7,3,2,0,6,0,0,2.55,24,102,67,15,14,8,10,7,1,0,54,,,0,0,0,24,3,0,0,1,0,1,.85,-0.111,-0.11,,,1b start tie,6b 3 out d2
4,126,17,Apr 22,CWS,,TEX,W5-0,GS-7,W(2-1),4,7.0,4,0,0,2,4,0,0,1.82,24,95,56,12,7,6,12,7,2,0,71,,,0,1,1,22,1,0,0,0,0,0,.95,0.349,3.41,,,1t start tie,7t 3 out a5
5,127,22,Apr 27,CWS,@,TOR,W4-0,GS-6,W(3-1),4,6.0,4,0,0,3,10,0,0,1.47,25,104,63,31,7,4,8,4,2,0,71,,,0,0,0,22,1,0,0,0,0,0,1.24,0.360,3.11,,,1b start tie,6b 3 out tie
6,128,27,May 3,CWS,,BOS,W4-1,GS-8,W(4-1),5,8.0,4,1,1,0,5,1,0,1.40,27,101,67,21,3,10,12,3,2,0,75,,,0,0,0,27,0,0,0,1,0,0,1.18,0.457,2.90,,,1t start tie,8t 3 out a1
7,129,32,May 8,CWS,,MIN,W3-1,GS-7,W(5-1),4,7.0,6,1,1,1,5,0,0,1.38,27,104,66,16,11,9,12,8,0,0,65,,,0,0,0,26,1,0,0,0,0,0,1.17,0.318,2.41,,,1t start tie,7t 3 out a1
8,130,37,May 14,CWS,@,NYY,L1-2,GS-7,L(5-2),5,7.0,5,2,2,2,5,0,0,1.54,27,100,70,17,5,7,13,6,3,0,62,,,0,0,0,25,3,0,0,1,0,0,.78,0.119,1.67,,,1b start tie,7b 3 out d1
9,131,42,May 20,CWS,,KC,L1-4,GS-7,L(5-3),5,6.1,8,4,4,0,5,0,0,1.98,26,91,63,16,9,12,9,5,1,0,46,,,0,0,0,25,3,0,0,1,0,0,1.11,-0.189,-0.98,,,1t start tie,7t -23 1 out d2
10,132,48,May 25,CWS,,CLE,L3-4,GS-6,L(5-4),4,6.0,5,3,3,1,8,0,2,2.22,26,116,75,19,14,6,9,5,2,0,57,,,0,0,0,22,0,1,0,0,1,0,.83,-0.098,-0.07,,,1t start tie,6t 3 out d3
