Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,353,1,Apr 4,DET,@,CWS,W6-3,GS-7,W(1-0),99,6.1,6,2,2,2,10,0,0,2.84,26,103,68,16,13,5,9,4,1,0,61,,,0,0,0,24,3,0,0,0,0,0,.77,0.093,1.09,29.45,55.00,1b start tie,7b 1-- 1 out a4
2,354,6,Apr 10,DET,,BOS,W2-1,GS-7,,5,7.0,3,1,0,2,4,0,0,1.35,26,112,67,19,5,5,15,6,3,0,71,,,0,0,0,24,2,0,0,1,0,1,1.03,0.307,2.81,20.75,33.00,1t start tie,7t 3 out tie
3,355,11,Apr 15,DET,@,CLE,L6-13,GS-5,L(1-1),4,4.0,11,9,9,1,4,3,0,5.71,24,85,60,10,10,7,12,5,0,0,7,,,0,0,0,23,1,0,0,0,0,0,.53,-0.358,-5.78,-8.20,-3.00,1b start tie,5b 12- 0 out d3
4,356,16,Apr 21,DET,@,MIN,L3-6,GS-6,L(1-2),5,5.0,3,4,4,6,4,0,0,6.04,23,107,64,20,6,6,7,2,1,0,43,,,1,0,0,17,0,0,0,1,0,0,1.32,-0.100,-0.39,5.85,15.00,1b start tie,6b 12- 0 out a1
5,357,21,Apr 27,DET,,SEA,L1-2,GS-7,,5,7.0,5,1,0,2,8,0,0,4.60,27,119,79,22,8,3,14,6,1,0,71,,,0,0,0,25,1,0,0,1,0,1,1.10,0.286,2.81,27.55,45.00,1t start tie,7t 3 out tie
6,358,26,May 2,DET,,CLE,W5-2,GS-7,W(2-2),4,7.0,4,2,2,4,5,0,0,4.21,29,118,68,20,6,2,18,6,4,0,62,,,0,0,0,25,0,1,0,0,0,0,.97,0.184,1.81,20.95,42.00,1t start tie,7t 3 out a3
7,359,31,May 9,DET,@,ARI,W7-3,GS-7,W(3-2),6,6.0,7,3,3,3,7,0,0,4.25,28,108,67,14,16,8,10,4,0,0,50,,,0,0,0,25,3,0,0,0,0,0,1.16,-0.130,-0.61,19.50,42.00,1b start a 1,7b 12- 0 out a2
8,360,36,May 14,DET,@,LAA,L1-4,GS-7,L(3-3),4,6.0,5,4,4,5,7,2,1,4.47,29,106,68,22,12,6,10,3,2,0,48,,,4,0,0,23,0,0,0,0,0,0,.84,-0.085,-1.31,12.90,27.00,1b start a 1,7b 1-3 0 out d2
9,361,41,May 20,DET,,TEX,W9-3,GS-7,W(4-3),5,7.0,4,3,3,1,5,1,1,4.39,27,109,69,17,13,5,15,6,5,0,61,,,0,0,0,25,1,0,0,0,0,0,.39,0.140,0.81,20.15,39.00,1t start tie,7t 3 out a6
10,362,46,May 25,DET,@,HOU,L6-7,GS-6,,4,5.2,9,6,6,3,4,3,0,4.87,28,104,67,20,6,6,15,4,1,0,28,,,1,0,0,25,1,0,0,0,0,0,.91,-0.470,-3.55,1.55,11.00,1b start tie,6b 12- 2 out d2
11,363,52,May 30,DET,@,KC,L0-1,GS-7,L(4-4),4,7.0,6,1,1,1,5,0,0,4.50,27,116,80,16,13,12,9,6,1,0,65,,,1,0,0,26,1,0,0,1,0,0,1.09,0.227,2.77,19.55,33.00,1b start tie,7b 3 out d1
12,364,56,Jun 4,DET,,CWS,W7-4,GS-3,,4,2.0,6,2,2,3,3,1,0,4.63,15,72,49,15,5,5,4,4,0,0,36,,,0,0,0,12,1,0,0,0,0,0,1.16,-0.125,-1.31,1.10,9.00,1t start tie,3t 1-- 0 out d2
13,365,61,Jun 10,DET,@,BOS,L3-11,GS-5,,5,5.0,5,3,3,4,3,0,0,4.68,24,108,70,19,8,6,11,5,2,0,44,,,0,0,0,18,1,0,1,0,2,0,1.19,-0.104,-0.23,5.85,15.00,1b start tie,5b 3 out d1
14,366,65,Jun 15,DET,,TB,W5-3,GS-7,,4,7.0,6,2,2,5,6,0,0,4.50,30,111,64,14,12,10,9,6,1,0,58,,,0,0,0,25,1,0,0,2,0,0,1.36,0.244,1.81,17.15,33.00,1t start tie,7t 3 out tie
15,367,71,Jun 21,DET,@,SEA,L5-7,GS-6,,5,5.2,4,3,3,1,11,0,0,4.52,22,110,75,21,12,3,7,2,1,0,59,,,0,0,0,21,1,0,0,0,0,0,1.18,-0.028,-0.54,25.75,41.00,1b start tie,6b -23 2 out a1
16,368,76,Jun 27,DET,,KC,W5-3,GS-7,W(5-4),5,7.0,9,3,3,1,6,0,0,4.47,30,111,81,18,14,8,15,10,1,0,52,,,0,0,0,29,1,0,0,1,0,0,1.13,0.121,0.81,19.75,42.00,1t start tie,7t 3 out a2
17,369,81,Jul 2,DET,,CLE,L8-11,GS-4,L(5-5),4,3.1,9,7,7,3,0,2,0,4.96,22,96,59,16,3,7,12,5,4,0,11,,,0,0,0,19,1,0,0,0,0,0,.85,-0.301,-3.78,-13.70,-11.00,1t start tie,4t 12- 1 out d4
18,370,86,Jul 8,DET,@,CLE,L0-4,GS-7,L(5-6),5,6.2,6,1,1,4,6,0,0,4.73,30,115,69,16,9,6,14,8,2,0,60,,,1,0,0,26,5,0,2,0,0,0,.99,0.204,2.45,19.00,35.00,1b start tie,7b 12- 2 out d1
19,371,88,Jul 14,DET,,TOR,L2-7,GS-6,L(5-7),5,5.1,3,3,2,3,5,1,0,4.66,23,114,67,14,11,8,7,4,1,0,54,,,0,0,0,19,0,0,0,0,1,1,.92,-0.020,0.31,14.40,25.00,1t start tie,6t 12- 1 out d1
20,372,93,Jul 19,DET,@,KC,L3-4,GS-7,,4,7.0,6,2,2,1,8,1,0,4.54,27,107,78,17,16,3,15,9,2,0,64,,,0,0,1,26,0,1,0,0,0,0,1.09,0.110,1.77,23.55,39.00,1b start a 1,7b 3 out d1
21,373,98,Jul 24,DET,,KC,L3-5,GS-7,,4,7.0,5,3,3,2,9,1,0,4.50,28,119,77,18,17,6,11,5,0,0,62,,,0,0,0,25,0,0,0,0,1,0,.99,0.056,0.81,23.55,39.00,1t start tie,7t 3 out tie
22,374,103,Jul 30,DET,,HOU,W13-1,GS-6,W(6-7),5,6.0,5,0,0,3,6,0,0,4.29,26,110,71,18,9,6,11,3,3,0,65,,,0,0,0,23,0,0,0,0,0,0,1.20,0.348,3.26,24.70,48.00,1t start tie,6t 3 out a3
23,375,108,Aug 4,DET,@,BAL,W5-2,GS-7,W(7-7),4,7.0,6,2,2,0,10,2,0,4.20,27,107,80,18,15,4,13,5,1,0,67,,,0,0,0,27,1,0,0,0,0,0,.83,0.118,1.63,,,1b start a 1,7b 3 out d1
24,376,113,Aug 9,DET,,PIT,W10-0,GS-8,W(8-7),4,8.0,1,0,0,3,6,0,1,3.97,29,113,75,21,12,7,12,3,3,0,83,,,0,0,0,25,1,0,0,0,0,0,.72,0.358,4.35,,,1t start tie,8t 3 out a6
25,377,119,Aug 15,DET,@,TEX,L4-10,GS-6,L(8-8),5,6.0,8,5,5,0,8,3,0,4.11,25,114,77,22,15,3,14,7,2,0,44,,,0,0,0,25,0,0,0,1,0,0,.65,-0.241,-1.61,,,1b start tie,6b 3 out d4
26,378,123,Aug 20,DET,,LAD,W6-1,GS-8,W(9-8),4,8.0,2,1,1,1,9,1,0,3.96,27,112,76,20,12,5,12,3,2,0,82,,,0,0,0,26,0,0,0,0,0,0,.78,0.292,3.35,,,1t start tie,8t 3 out a3
27,379,127,Aug 25,DET,@,CWS,L2-3,GS-7,,4,7.0,6,2,2,2,8,1,0,3.90,28,104,71,18,11,7,11,8,2,0,63,,,1,1,0,25,1,0,1,0,0,0,1.24,0.146,1.63,,,1b start tie,7b 3 out tie
28,380,132,Aug 30,DET,@,COL,W6-2,GS-6,W(10-8),4,6.0,3,1,1,1,9,1,0,3.82,22,98,67,10,13,8,4,1,0,0,70,,,0,0,0,21,0,0,0,0,0,0,.80,0.272,2.57,,,1b start tie,6b 3 out a4
29,381,138,Sep 5,HOU,@,SEA,W3-1,GS-6,W(11-8),5,6.0,6,1,1,1,7,1,0,3.74,24,103,73,15,9,6,10,5,1,0,62,,,0,0,0,23,1,0,0,1,0,0,1.09,0.230,2.07,,,1b start tie,6b 3 out tie
30,382,144,Sep 12,HOU,@,LAA,W1-0,GS-8,W(12-8),6,8.0,1,0,0,1,9,0,1,3.58,26,112,71,19,17,7,8,4,2,0,88,,,0,0,0,24,1,0,0,1,0,0,1.31,0.643,4.05,,,1b start tie,8b 3 out a1
31,383,149,Sep 17,HOU,,SEA,W7-1,GS-7,W(13-8),4,7.0,3,1,1,1,10,1,0,3.50,23,99,64,20,17,2,10,4,2,0,76,,,0,0,0,22,0,0,0,1,0,0,.79,0.217,2.36,,,1t start tie,7t 3 out a3
32,384,153,Sep 22,HOU,,LAA,W3-0,GS-7,W(14-8),4,7.0,1,0,0,2,6,0,0,3.38,23,99,65,12,15,8,7,1,2,0,79,,,0,0,0,21,0,0,0,1,0,0,.96,0.435,3.36,,,1t start tie,7t 3 out tie
33,385,158,Sep 27,HOU,@,TEX,W12-2,GS-6,W(15-8),4,6.0,6,2,2,0,11,2,0,3.36,24,110,77,16,16,0,13,5,2,0,63,,,0,0,0,24,0,0,0,0,0,0,.86,0.117,1.39,,,1b start a 2,6b 3 out a9
,,,,,,,18-15,,W-L:15-8,4.5,206.0,170,80,77,72,219,27,4,3.36,849,3531,66%,16%,11%,0.52,,29%,10%,0,58,,---%,9,1,1,768,29,2,4,12,4,3,.98,3.186,30.96,331.10,654.00,,
