Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,31,1,Apr 3,TOR,@,TB,W5-3,GS-9,W(1-0),99,8.0,6,3,3,1,5,1,0,3.38,32,98,74,20,9,17,9,5,1,0,62,,,0,1,0,31,1,0,0,0,0,2,.92,0.282,1.48,,,1b start a 2,9b 1-- 0 out a3
2,32,5,Apr 8,TOR,,BOS,L7-8,GS-6,,4,5.1,6,5,5,3,4,0,0,5.40,24,92,56,18,7,9,8,5,0,0,37,,,0,0,0,21,4,0,0,0,0,0,.78,-0.050,-0.49,,,1t start tie,6t 123 1 out a5
3,33,10,Apr 14,TOR,,NYY,W4-2,GS-8,W(2-0),5,8.0,3,2,2,2,3,0,1,4.22,30,106,67,21,6,18,6,4,1,0,69,,,1,0,0,27,0,0,0,0,0,0,1.10,0.238,2.14,,,1t start tie,8t 3 out a2
4,34,15,Apr 19,TOR,@,BAL,W4-3,GS-7,W(3-0),4,7.0,6,3,3,1,3,2,0,4.13,27,101,67,20,4,13,10,4,2,0,55,,,0,0,0,26,0,0,0,1,0,0,1.16,0.137,0.63,,,1b start tie,7b 3 out a1
5,35,21,Apr 25,TOR,,CWS,L5-7,GS-7,,5,6.2,6,4,4,2,4,0,0,4.37,27,95,58,15,5,12,9,5,0,0,48,,,0,1,0,25,1,0,0,0,0,0,.91,0.138,1.84,,,1t start tie,7t 123 2 out a4
6,36,26,May 1,TOR,@,TB,W5-1,GS-8,W(4-0),5,8.0,3,1,1,2,9,1,0,3.77,29,103,66,19,14,9,9,2,2,0,79,,,0,0,0,27,0,0,0,0,0,0,1.15,0.367,2.86,,,1b start tie,8b 3 out tie
7,37,31,May 6,TOR,,LAD,W5-2,GS-7,,4,7.0,8,2,2,2,8,0,0,3.60,29,106,66,20,13,13,6,6,0,0,59,,,0,1,0,27,2,0,0,1,0,0,1.04,0.135,1.63,,,1t start tie,7t 3 out tie
8,38,36,May 11,TOR,@,SF,L4-5,GS-6,,4,6.0,8,4,2,2,5,0,0,3.54,27,103,66,20,9,16,4,2,0,0,47,,,0,0,0,25,2,0,0,2,0,1,.97,-0.179,-1.15,,,1b start tie,6b 3 out d3
9,39,41,May 17,TOR,,TB,L2-12,GS-6,L(4-1),5,5.2,13,7,7,2,2,0,0,4.23,31,102,63,13,7,15,12,8,0,0,15,,,1,0,0,29,4,1,0,1,0,0,.71,-0.422,-4.34,,,1t start tie,6t 12- 2 out d5
10,40,46,May 22,TOR,@,MIN,W3-1,GS-8,W(5-1),4,7.2,3,1,1,2,3,0,1,3.89,28,98,60,18,8,14,8,5,1,0,70,,,0,0,0,25,1,0,0,1,0,0,1.18,0.389,2.74,,,1b start a 3,8b -2- 2 out a2
11,41,51,May 28,TOR,,BOS,W10-9,GS-6,,5,5.1,11,7,7,1,5,2,0,4.46,27,93,59,17,8,9,12,9,0,0,22,,,2,0,0,26,5,0,0,0,0,1,1.18,-0.477,-4.59,,,1t start tie,6t -2- 1 out d4
12,42,57,Jun 4,TOR,@,BOS,L4-6,GS-6,L(5-2),6,5.2,9,6,6,5,4,0,0,4.82,28,101,59,18,11,11,8,7,0,0,26,,,3,0,0,23,4,0,0,2,0,0,1.01,-0.362,-3.15,,,1b start tie,6b --3 2 out d2
13,43,62,Jun 9,TOR,,BAL,L5-6,GS-6,,4,5.1,8,4,4,1,2,1,1,4.94,25,95,60,17,6,11,10,9,0,0,37,,,0,0,0,22,2,0,0,0,1,0,1.26,-0.085,-1.17,,,1t start tie,6t --- 1 out a1
14,44,67,Jun 14,TOR,,PHI,W11-3,GS-7,W(6-2),4,7.0,6,2,2,1,6,1,0,4.76,27,100,68,21,6,13,7,3,1,0,62,,,0,1,0,26,1,1,0,0,0,0,.29,0.157,1.63,,,1t start tie,7t 3 out a7
15,45,72,Jun 19,TOR,@,BAL,L6-11,GS-4,L(6-3),4,3.2,10,7,7,0,4,1,0,5.23,19,62,45,13,6,7,8,5,0,0,17,,,0,0,0,19,2,0,0,1,0,0,1.05,-0.516,-5.17,,,1b start tie,4b 1-- 2 out d3
16,46,77,Jun 26,TOR,@,CWS,L2-5,GS-5,L(6-4),6,5.0,7,4,4,4,4,1,0,5.33,25,91,54,10,10,12,5,3,0,0,37,,,0,0,0,20,0,0,0,1,0,0,.94,-0.157,-1.56,,,1b start tie,5b 3 out d4
17,47,82,Jul 1,TOR,,CLE,L1-2,GS-7,,4,6.2,5,1,1,1,6,0,0,5.08,28,96,65,18,11,14,7,4,0,0,65,,,0,0,0,27,1,0,0,0,0,2,1.06,0.168,1.84,,,1t start tie,7t 123 2 out tie
18,48,87,Jul 6,TOR,,KC,W4-2,GS-8,W(7-4),4,8.0,3,2,2,1,6,1,0,4.89,27,85,60,12,13,15,5,4,1,0,73,,,0,0,0,26,0,1,0,1,0,0,1.19,0.211,2.14,,,1t start tie,8t 3 out tie
19,49,92,Jul 15,TOR,@,OAK,L7-8,GS-5,,8,4.2,9,7,6,1,5,3,0,5.15,23,95,56,19,4,9,8,4,0,0,24,,,0,0,0,22,0,0,0,1,0,0,.88,-0.536,-4.66,,,1b start tie,5b --- 2 out tie
20,50,96,Jul 20,TOR,@,ARI,W10-4,GS-8,W(8-4),4,8.0,8,1,1,0,6,0,0,4.90,30,99,66,17,8,19,5,2,1,0,68,,,0,0,0,30,0,0,0,2,0,0,.74,0.223,3.24,,,1b start a 2,8b 3 out a9
21,51,101,Jul 26,TOR,,SD,W7-6,GS-7,,5,6.2,7,4,4,1,7,1,0,4.92,28,99,65,18,9,11,9,5,0,0,50,,,0,0,0,27,2,0,0,0,0,0,1.08,-0.191,-0.99,,,1t start tie,7t -23 2 out d1
22,52,106,Aug 1,TOR,@,HOU,L1-2,GS-7,,5,7.0,3,1,1,1,13,1,0,4.74,25,109,72,22,10,6,5,1,1,0,79,,,1,0,0,24,0,0,0,0,0,0,.86,0.188,2.34,,,1b start tie,7b 3 out d1
