Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,275,4,Apr 7,WSH,@,PHI,W7-6,GS-7,W(1-0),99,6.2,4,2,2,2,7,0,0,2.70,25,98,60,10,13,5,11,4,3,0,63,,,0,0,0,23,2,0,0,0,0,0,.55,0.196,2.15,25.40,47.00,1b start a 2,7b -2- 2 out a6
2,276,9,Apr 12,WSH,,STL,L1-6,GS-6,L(1-1),4,6.0,4,3,1,2,10,0,1,2.13,26,104,69,15,17,5,9,2,2,0,64,,,0,0,0,22,1,0,0,0,1,1,.98,-0.041,0.20,27.30,45.00,1t start tie,6t 3 out d3
3,277,13,Apr 18,WSH,@,ATL,W3-1,GS-7,W(2-1),5,7.0,2,0,0,3,7,0,0,1.37,25,116,76,10,17,8,7,2,1,0,77,,,0,0,0,21,0,0,0,1,0,0,1.09,0.439,3.55,30.75,54.00,1b start tie,7b 3 out a2
4,278,18,Apr 23,WSH,@,NYM,W6-3,GS-8,W(3-1),4,8.0,5,3,3,1,9,2,0,1.95,29,110,77,19,20,6,13,2,4,0,68,,,0,0,0,28,0,0,0,1,0,0,1.00,0.264,1.01,30.40,54.00,1b start a 4,8b 3 out a3
5,279,23,Apr 28,WSH,,NYM,L5-7,GS-6,L(3-2),4,6.0,9,5,5,1,7,2,0,2.94,27,97,66,17,11,5,14,5,2,0,40,,,1,0,0,26,2,0,0,1,0,0,.89,-0.269,-1.81,11.50,24.00,1t start tie,6t 3 out d2
6,280,28,May 4,WSH,,ARI,W4-2,GS-7,W(4-2),5,7.0,2,1,1,2,11,1,1,2.66,26,107,72,20,18,5,7,1,0,0,78,,,0,0,0,23,0,0,0,0,0,0,.95,0.301,2.73,36.75,63.00,1t start tie,7t 3 out a2
7,281,33,May 9,WSH,@,BAL,L4-5,GS-8,,4,8.0,4,2,2,2,11,2,0,2.59,30,113,78,18,22,4,13,7,1,0,75,,,0,0,0,28,1,0,0,0,0,0,1.11,0.304,2.14,32.40,51.00,1b start tie,8b 3 out a2
8,282,37,May 14,WSH,,PHI,W6-5,GS-6,,4,6.0,9,3,3,0,8,0,1,2.80,27,105,73,20,12,8,10,7,1,0,50,,,1,0,0,26,1,0,0,0,0,0,1.41,-0.054,0.20,17.50,33.00,1t start tie,6t 3 out tie
9,283,42,May 20,WSH,@,ATL,L2-5,GS-5,L(4-3),5,5.0,4,3,3,3,6,2,0,3.02,21,106,62,19,12,4,8,4,0,0,50,,,0,1,0,18,1,0,0,0,0,0,.68,-0.082,-0.47,13.05,24.00,1b start tie,5b 3 out d1
10,284,47,May 26,WSH,,SD,W5-1,GS-9,W(5-3),5,8.2,3,1,1,2,13,1,1,2.77,31,108,81,22,23,8,7,1,2,0,85,,,0,0,0,28,0,0,0,1,0,0,.72,0.309,3.00,43.90,74.00,1t start tie,9t 123 2 out a4
