Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,52,2,Apr 01,DET,,PIT,L0-1,GS-8,L(0-1),99,8,4,1,1,2,3,0,1,1.12,27,90,56,13,6,9,12,6,0,0,71,,,0,0,0,24,3,0,0,2,0,0,0.99,0.316,3.13,17.8,30,1t start tie,8t 3 out d1
2,53,7,Apr 07,DET,@,CWS,W6-1,GS-6,W(1-1),5,5.1,6,0,0,3,4,0,0,0.68,24,92,56,15,8,8,9,5,2,0,57,,,0,0,0,21,2,0,0,1,0,0,1.26,0.261,2.3,18.6,40,1b start tie,6b -2- 1 out a5
3,54,12,Apr 12,DET,@,CLE,L3-9,GS-4,L(1-2),4,3,8,9,6,0,2,2,1,3.86,20,72,46,11,2,11,6,4,0,0,15,,,0,0,0,19,2,0,0,0,0,1,0.58,-0.369,-7.75,-6.65,-3,1b start tie,4b 1-3 0 out d7
4,55,17,Apr 20,DET,,KC,W3-2,GS-7,,7,7,8,2,2,1,4,1,0,3.47,29,96,68,15,9,10,14,5,1,0,56,,,0,0,0,28,0,0,0,1,0,0,1.39,0.143,1.62,14.35,27,1t start tie,7t 3 out tie
5,56,23,Apr 26,DET,@,PIT,L0-1,GS-6,,5,6,4,0,0,1,9,0,0,2.76,22,99,64,12,24,5,7,5,2,0,72,,,1,0,0,21,2,0,0,1,0,0,1.1,0.344,2.79,28.5,45,1b start tie,6b 3 out tie
6,57,29,May 02,DET,,TB,W3-2,GS-6,,5,6,6,2,2,2,5,0,1,2.8,26,109,70,19,8,10,8,5,1,0,55,,,0,0,0,22,0,0,0,1,0,0,1.07,0.07,1.1,14.1,27,1t start tie,6t 3 out d1
7,58,34,May 07,DET,@,TEX,L6-7,GS-6,,4,5.2,4,5,5,3,7,1,0,3.51,24,92,61,11,14,8,6,2,1,0,45,,,0,0,0,21,2,0,0,0,0,0,0.94,-0.07,-0.92,12.55,23,1b start tie,6b -2- 2 out a1
8,59,38,May 12,DET,,SEA,L5-9,GS-5,L(1-3),4,4.1,6,6,6,3,5,2,0,4.37,21,98,60,10,10,10,3,0,0,0,29,,,0,0,0,18,0,0,0,1,0,0,1.21,-0.392,-3.69,2.35,10,1t start tie,5t --- 1 out d4
9,60,44,May 18,DET,@,SEA,L4-5,GS-7,,5,6.1,3,3,3,2,7,0,1,4.35,25,89,62,17,13,5,10,3,1,0,60,,,0,0,0,22,0,0,0,0,0,0,0.8,0.106,0.85,18.65,31,1b start a 3,7b 1-- 1 out a2
10,61,49,May 23,DET,@,MIN,W4-1,GS-6,W(2-3),4,5.2,4,1,1,3,5,0,0,4.08,23,112,73,17,15,6,9,3,0,0,59,,,0,0,0,20,2,0,0,1,0,0,1.07,0.228,1.89,20.55,41,1b start a 1,6b 1-- 2 out a2
