Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,185,2,Mar 31,WSH,@,CIN,W13-7,GS-7,W(1-0),99,6.1,8,3,1,1,7,1,0,1.42,29,99,68,15,12,11,10,5,1,0,55,,,0,0,0,27,0,0,0,0,1,1,1.15,-0.005,-1.09,24.85,49,1b start a 3,7b 123 1 out a4
2,186,7,Apr 05,WSH,,NYM,L2-8,GS-6,L(1-1),4,6,5,4,4,2,6,2,1,3.65,25,92,65,15,14,9,7,2,1,0,50,,,0,0,0,22,1,0,0,1,0,0,1,-0.185,-0.93,12.7,24,1t start tie,6t 3 out d2
3,187,11,Apr 10,WSH,,ATL,W4-1,GS-8,W(2-1),4,8,3,0,0,2,8,0,0,2.21,28,103,64,19,9,9,9,6,0,0,82,,,0,1,0,26,1,0,0,0,0,0,0.74,0.357,4.1,35,60,1t start tie,8t 3 out a4
4,188,16,Apr 15,WSH,,COL,L5-6,GS-6,,4,6,4,4,4,1,5,1,0,3.08,23,88,52,17,5,9,8,1,2,0,52,,,0,0,0,22,1,0,0,0,0,0,1.02,-0.222,-0.93,12.5,21,1t start tie,6t 3 out d1
5,189,21,Apr 21,WSH,@,LAD,L0-4,GS-7,L(2-2),5,7,5,2,2,2,10,2,1,2.97,28,107,73,22,15,4,11,4,1,0,67,,,1,0,0,25,0,0,1,1,0,0,0.89,0.081,1.31,26.95,45,1b start tie,7b 3 out d2
6,190,26,Apr 27,WSH,,ARI,L4-5,GS-7,L(2-3),5,6.1,6,5,5,2,7,1,0,3.63,27,103,66,17,12,5,13,8,1,0,46,,,0,1,0,24,1,1,0,0,1,1,1.06,-0.334,-1.95,13.45,25,1t start tie,7t 1-- 1 out d1
7,191,31,May 02,WSH,,PIT,W9-3,GS-7,W(3-3),4,7,7,3,2,1,11,1,0,3.47,29,104,69,16,19,8,9,4,2,0,63,,,1,1,0,28,1,0,0,0,0,1,1.04,0.077,0.59,32.95,60,1t start tie,7t 3 out a6
8,192,36,May 07,WSH,@,SD,W8-5,GS-7,W(4-3),4,7,6,3,3,1,5,0,0,3.52,25,109,72,17,13,14,5,2,1,0,57,,,1,2,0,23,1,1,0,1,1,0,0.92,0.127,0.18,19.55,39,1b start a 1,7b 3 out a5
9,193,41,May 12,WSH,@,ARI,W2-1,GS-7,W(5-3),4,6.2,5,1,1,1,9,0,1,3.28,27,106,69,22,15,5,11,6,1,0,68,,,0,0,0,25,1,0,0,0,0,0,1.27,0.356,2.55,30.8,56,1b start tie,7b --- 2 out a1
10,194,46,May 20,WSH,,LAD,L2-7,GS-7,L(5-4),7,6.2,5,3,3,4,7,2,0,3.36,28,115,72,32,7,7,10,4,0,0,55,,,1,0,0,24,2,0,0,1,0,0,0.92,-0.057,0.14,17.6,32,1t start tie,7t 12- 2 out d1
11,195,52,May 27,WSH,@,MIA,W5-2,GS-5,W(6-4),6,5,3,0,0,2,8,0,1,3.12,21,103,68,17,10,2,8,5,0,0,67,,,0,0,0,18,0,0,0,0,0,0,1.22,0.268,2.15,27.65,51,1b start tie,5b 3 out a2
12,196,57,Jun 01,WSH,@,ATL,L0-4,GS-7,L(6-5),4,6.2,7,4,3,0,10,1,0,3.2,27,106,76,19,16,10,7,4,0,0,56,,,0,0,0,27,0,0,0,1,0,1,1.01,-0.032,-0.72,24.8,41,1b start tie,7b --- 2 out d4
13,197,62,Jun 08,WSH,,SF,L5-9,GS-2,L(6-6),6,2,5,3,3,0,2,1,0,3.46,10,35,24,8,3,2,6,5,0,0,36,,,0,0,0,10,2,0,0,0,0,0,0.78,-0.197,-1.98,-0.5,3,1t start tie,2t 3 out d3
14,198,97,Jul 20,WSH,,ATL,L5-8,GS-5,L(6-7),41,4.2,8,6,6,2,6,0,0,3.9,24,98,64,19,12,6,10,6,0,0,28,,,4,0,0,21,5,0,1,0,1,0,0.98,-0.375,-3.67,4.5,14,1t start tie,5t 1-- 2 out d4
15,199,127,Aug 22,WSH,,PHI,W8-7,GS-4,,32,4,7,5,5,1,5,2,0,4.23,19,84,51,15,6,6,7,3,0,0,32,,,0,0,0,18,2,0,0,1,0,0,0.92,-0.32,-2.95,4.2,12,1t start tie,4t 3 out d1
16,200,132,Aug 27,WSH,@,PHI,W5-3,GS-6,W(7-7),4,6,5,2,2,3,5,0,0,4.15,25,99,56,13,14,10,7,3,2,0,56,,,0,0,0,21,0,1,0,0,0,0,1.27,0.104,0.96,18.7,39,1b start a 1,6b 3 out a3
17,201,136,Sep 01,WSH,,MIL,W5-4,GS-6,,4,6,5,2,2,2,7,0,0,4.09,24,93,57,12,14,8,7,4,3,0,59,,,1,0,0,22,2,0,0,0,0,0,1.13,0.06,1.07,19.3,33,1t start tie,6t 3 out d1
18,202,141,Sep 06,WSH,,CHC,L4-6,GS-6,,4,5.2,6,3,2,3,6,0,1,4.04,27,111,71,19,14,8,9,1,1,0,50,,,0,0,0,22,1,0,0,0,1,0,1.11,-0.062,-0.16,14.75,29,1t start tie,6t 1-- 2 out a1
19,203,146,Sep 12,WSH,@,PHI,W5-1,GS-7,W(8-7),5,7,5,1,1,0,9,1,1,3.87,27,101,64,21,14,4,13,3,2,0,72,,,0,0,0,26,1,0,0,0,0,0,0.79,0.231,2.45,32.15,57,1b start a 3,7b 3 out a4
20,204,152,Sep 18,WSH,@,MIA,W4-2,GS-6,W(9-7),5,6,5,2,2,2,11,1,1,3.83,26,101,6300.00%,1800.00%,1500.00%,4,8,400.00%,0.00%,0,63,,,0,0,0,23,0,0,0,0,0,0,1.43,0.101,0.58,30.7,57,1b start tie,6b 3 out a2
21,205,157,Sep 24,WSH,,MIA,W7-3,GS-4,,5,4,3,1,1,4,5,0,1,3.77,20,100,59,14,6,6,4,1,1,0,53,,,1,0,0,15,1,0,0,0,0,0,1.48,0.12,1.05,12.2,24,1t start tie,4t 3 out a1
22,206,161,Sep 29,WSH,@,COL,W12-2,GS-6,W(10-7),4,6,5,2,2,2,7,2,0,3.74,25,103,68,12,15,8,8,4,0,0,59,,,0,0,0,23,0,0,0,0,0,0,0.78,0.158,1.4,23.3,45,1b start a 2,6b 3 out a4
,,,,,,,13-9,,W-L:10-7,4.6,130,118,59,54,38,156,18,8,3.74,544,2160,64.00%,18.00%,12.00%,0.83,,25.00%,6.00%,0,56,,---%,10,5,0,492,23,3,2,6,5,4,1.04,0.251,4.16,438.1,816,,
