Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,101,1,Apr 3,TEX,,CLE,L5-8,GS-7,,99,6.1,4,4,4,5,4,1,0,5.68,27,98,56,21,6,8,10,6,1,0,48,,,0,0,0,21,2,0,0,2,1,1,1.24,-0.021,-0.63,8.85,19.00,1t start tie,7t 1-- 1 out a1
2,102,5,Apr 8,TEX,,OAK,L1-6,GS-6,L(0-1),4,6.0,4,1,1,3,5,0,0,3.65,24,97,61,16,11,6,10,5,1,0,62,,,1,0,1,21,2,0,0,0,0,0,1.17,0.205,2.39,17.30,30.00,1t start tie,6t 3 out d1
3,103,9,Apr 13,TEX,@,LAA,W8-3,GS-7,W(1-1),4,7.0,5,0,0,2,10,0,0,2.33,27,103,68,20,18,7,8,2,1,0,75,,,2,0,0,25,0,0,0,1,0,0,.70,0.192,3.55,35.55,63.00,1b start a 1,7b 3 out a8
4,104,14,Apr 18,TEX,@,OAK,L2-4,GS-6,L(1-2),4,5.1,3,4,4,2,4,1,0,3.28,20,82,51,16,6,7,7,5,1,0,48,,,0,0,0,18,1,0,0,1,0,0,1.02,-0.089,0.12,9.00,16.00,1b start tie,6b 12- 1 out tie
5,105,19,Apr 23,TEX,,KC,W5-2,GS-8,W(2-2),4,8.0,5,2,2,1,8,2,0,3.03,29,113,79,23,13,10,10,4,1,0,71,,,0,0,0,28,0,0,0,1,0,0,.84,0.316,2.52,30.40,54.00,1t start tie,8t 3 out a2
6,106,24,Apr 29,TEX,,LAA,W6-3,GS-6,W(3-2),5,6.0,3,2,2,4,10,0,0,3.03,25,125,73,23,10,1,10,3,1,0,64,,,0,0,0,20,1,0,0,0,1,0,1.28,0.102,1.39,29.30,54.00,1t start tie,6t 3 out a2
7,107,30,May 5,TEX,@,SEA,W3-1,GS-7,,5,7.0,6,1,1,4,5,1,0,2.76,28,116,69,21,8,6,13,9,2,0,62,,,0,1,0,23,0,0,0,2,0,0,1.45,0.325,2.59,17.75,33.00,1b start a 1,7b 3 out tie
8,108,35,May 10,TEX,,SD,W4-3,GS-6,,4,6.0,7,3,3,0,6,2,0,2.96,25,96,68,14,13,9,10,3,1,0,52,,,1,0,0,25,1,0,0,0,0,0,.94,0.020,0.39,15.30,27.00,1t start tie,6t 3 out tie
9,109,40,May 16,TEX,,PHI,W5-1,GS-7,W(4-2),5,7.0,4,1,1,2,9,0,0,2.76,27,95,70,21,16,8,8,3,3,0,72,,,0,0,0,25,1,0,0,1,0,1,1.14,0.343,2.95,32.15,57.00,1t start tie,7t 3 out a2
10,110,45,May 21,TEX,@,DET,W5-2,GS-5,W(5-2),4,5.0,5,2,2,4,7,1,0,2.83,24,105,63,12,16,2,11,5,0,0,52,,,0,0,0,20,0,0,0,0,0,0,1.26,0.096,0.72,19.85,42.00,1b start a 1,5b 3 out a1
11,111,50,May 27,TEX,@,TOR,L1-3,GS-6,L(5-3),5,6.0,5,3,3,3,4,1,2,2.97,29,109,68,18,11,6,14,7,0,0,51,,,1,0,0,24,2,0,0,0,0,1,1.14,-0.071,0.33,9.50,21.00,1b start a 1,6b 3 out d2
12,112,55,Jun 2,TEX,,HOU,L1-7,GS-5,L(5-4),5,5.0,7,3,3,1,8,1,1,3.13,24,104,68,20,11,5,9,4,1,0,48,,,2,0,0,22,2,0,0,0,0,0,1.03,-0.067,-0.18,15.85,30.00,1t start tie,5t 3 out d3
13,113,59,Jun 7,TEX,,NYM,L3-4,GS-8,,4,7.1,3,3,3,1,9,2,1,3.18,27,117,69,18,16,8,8,1,2,0,68,,,0,0,0,25,0,0,0,0,0,0,.74,0.012,0.94,25.50,40.00,1t start tie,8t 1-- 1 out d2
14,114,63,Jun 12,TEX,@,HOU,W6-1,GS-7,W(6-4),4,7.0,1,1,1,3,4,0,0,3.03,25,103,62,14,11,12,6,3,2,0,72,,,1,0,0,22,0,0,0,0,0,0,1.08,0.308,2.36,23.35,42.00,1b start tie,7b 3 out a2
15,115,68,Jun 18,TEX,,SEA,L3-7,GS-5,L(6-5),5,5.0,8,5,5,1,6,1,1,3.35,23,99,60,17,9,6,8,5,1,1,36,,,1,1,0,21,3,0,0,0,0,0,.81,-0.244,-2.18,7.25,18.00,1t start tie,5t 3 out d3
16,116,73,Jun 23,TEX,@,NYY,L1-2,GS-7,,4,7.0,2,0,0,0,10,0,0,3.12,22,88,60,15,16,7,5,4,0,0,83,,,1,0,0,22,0,0,0,1,0,0,.97,0.461,3.85,34.55,51.00,1b start tie,7b 3 out tie
17,117,78,Jun 28,TEX,@,CLE,L3-5,GS-6,L(6-6),4,6.0,7,3,2,1,6,0,0,3.11,25,101,69,17,10,8,10,5,1,0,53,,,1,0,0,24,2,0,0,1,0,1,.84,-0.041,0.36,16.70,30.00,1b start tie,6b 3 out d2
18,118,84,Jul 4,TEX,,BOS,L4-11,GS-5,L(6-7),5,4.1,11,7,7,0,4,1,0,3.56,24,88,59,18,6,4,16,9,2,0,17,,,2,0,0,24,2,0,0,0,0,0,.84,-0.261,-4.48,-2.85,4.00,1t start tie,5t --- 1 out d7
19,119,88,Jul 9,TEX,,LAA,L0-3,GS-8,L(6-8),4,7.1,3,2,2,4,6,1,0,3.49,28,102,65,15,12,8,10,2,3,0,66,,,2,0,0,23,1,0,0,1,1,0,.84,0.078,1.04,20.30,34.00,1t start tie,8t -23 1 out d2
20,120,91,Jul 16,TEX,@,KC,L3-4,GS-7,,6,6.2,8,3,2,1,6,0,0,3.45,28,98,70,19,7,8,13,7,3,0,53,,,0,0,0,27,2,0,0,0,0,0,.97,-0.098,0.44,17.60,32.00,1b start tie,7b -2- 2 out d1
21,121,96,Jul 21,TEX,@,TB,W4-3,GS-8,,4,8.0,5,3,3,1,12,3,0,3.44,31,101,78,15,29,10,8,2,3,0,71,,,1,0,0,30,1,0,0,0,0,1,.81,0.017,0.97,32.40,51.00,1b start a 1,8b 3 out d2
22,122,101,Jul 26,TEX,,MIA,L10-22,GS-4,L(6-9),4,3.2,9,10,10,2,5,2,0,4.01,22,71,50,11,11,6,9,3,0,0,6,,,0,0,0,20,2,1,0,0,0,0,.72,-0.397,-7.13,-8.35,-4.00,1t start tie,4t --3 2 out d8
23,123,109,Aug 4,LAD,@,NYM,W6-0,GS-7,W(7-9),8,7.0,3,0,0,1,10,0,0,3.81,25,99,68,17,16,5,9,4,1,0,80,,,2,0,0,24,0,0,0,0,0,0,1.01,0.309,3.51,,,1b start a 1,7b 3 out a6
24,124,114,Aug 10,LAD,@,ARI,W8-6,GS-5,W(8-9),5,5.0,5,2,2,2,10,1,0,3.81,22,106,61,24,16,5,5,2,1,0,57,,,1,0,0,19,0,0,0,0,0,0,1.07,0.070,0.85,,,1b start a 3,5b 3 out a4
25,125,119,Aug 16,LAD,,CWS,W5-4,GS-6,,5,6.0,8,3,3,1,2,3,0,3.83,25,90,56,10,9,9,13,5,1,0,45,,,1,0,0,24,0,0,0,1,0,0,1.09,-0.070,0.01,,,1t start tie,6t 3 out d1
26,126,129,Aug 27,LAD,,MIL,L2-3,GS-5,L(8-10),10,5.0,6,3,3,3,7,1,0,3.88,22,95,62,15,14,4,8,5,1,0,47,,,0,0,0,19,2,0,0,2,0,1,.89,-0.108,-0.50,,,1t start tie,5t 3 out d3
27,127,135,Sep 2,LAD,@,SD,L2-7,GS-4,L(8-11),5,3.0,8,5,5,3,5,1,0,4.09,20,88,55,14,12,9,3,1,0,0,25,,,0,0,0,17,2,0,1,0,0,0,1.10,-0.454,-4.89,,,1b start a 1,4b 1-3 0 out d3
28,128,141,Sep 8,LAD,,COL,L4-5,GS-5,L(8-12),5,4.1,5,5,5,2,6,1,0,4.25,20,90,52,19,10,5,7,3,1,0,37,,,0,0,0,18,4,0,0,0,0,0,.96,-0.423,-3.18,,,1t start tie,5t -2- 1 out d1
29,129,146,Sep 13,LAD,@,SF,W4-1,GS-7,W(9-12),4,7.0,3,0,0,0,5,0,0,4.08,22,87,59,16,14,7,10,5,1,0,76,,,0,0,0,22,0,0,0,0,0,0,.78,0.327,3.47,,,1b start a 2,7b 3 out a4
