Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,391,1,Apr 2,ARI,,SF,W6-5,GS-5,,99,5.0,4,2,2,2,4,1,0,3.60,21,92,55,14,9,6,9,2,3,0,53,,,1,0,0,18,1,0,0,0,1,0,.95,0.045,0.85,11.65,21.00,1t start tie,5t 3 out d2
2,392,6,Apr 8,ARI,,CLE,W11-2,GS-7,W(1-0),5,6.2,5,1,1,0,6,0,0,2.31,24,106,63,18,11,11,7,3,1,0,66,,,0,0,0,24,2,0,0,1,0,0,1.07,0.268,2.86,26.00,47.00,1t start tie,7t --- 2 out a4
3,393,11,Apr 14,ARI,@,LAD,L1-7,GS-5,L(1-1),5,5.0,10,5,5,3,4,0,0,4.32,27,107,64,17,13,8,12,8,2,0,28,,,0,0,0,23,2,0,0,1,1,0,.92,-0.211,-2.50,1.45,12.00,1b start tie,5b 3 out d5
4,394,16,Apr 19,ARI,@,SD,L0-1,CG(8),L(1-2),4,8.0,5,1,1,1,6,1,0,3.28,29,96,67,17,14,10,12,4,2,0,73,,,0,1,1,28,0,0,0,1,0,1,.98,0.201,2.88,26.90,39.00,1b start tie,8b 3 out d1
5,395,21,Apr 24,ARI,,SD,W7-6,GS-6,W(2-2),4,6.0,6,1,1,0,11,0,0,2.93,24,97,68,18,17,7,6,4,0,0,67,,,0,0,0,23,0,0,0,0,1,0,.92,0.296,2.42,33.90,60.00,1t start tie,6t 3 out a5
6,396,26,Apr 29,ARI,,COL,L6-7,GS-7,,4,6.0,7,3,3,2,9,3,0,3.19,27,107,69,17,14,3,13,4,3,0,53,,,0,0,0,24,1,0,0,0,0,0,1.11,0.120,0.42,20.10,36.00,1t start tie,7t --- 0 out a3
7,397,31,May 5,ARI,@,COL,W6-3,GS-7,W(3-2),5,7.0,6,2,2,0,7,1,0,3.09,27,97,70,21,14,13,7,3,0,0,64,,,0,0,0,27,1,0,0,0,0,0,.63,0.238,2.16,26.15,48.00,1b start a 2,7b 3 out a4
8,398,36,May 11,ARI,,PIT,W2-1,GS-8,W(4-2),5,8.0,1,1,1,1,11,1,0,2.79,25,107,72,21,17,5,8,1,3,0,86,,,0,1,0,24,0,0,0,0,0,0,.94,0.445,3.55,40.80,66.00,1t start tie,8t 3 out a1
9,399,41,May 16,ARI,,NYM,W5-4,GS-7,W(5-2),4,6.2,5,4,4,2,8,2,0,3.09,27,101,67,23,11,6,11,6,0,0,54,,,0,0,0,25,1,0,0,0,0,0,1.11,0.031,-0.14,22.80,44.00,1t start tie,7t --- 2 out a1
10,400,46,May 22,ARI,,CWS,W5-1,GS-9,W(6-2),5,8.2,4,1,1,1,12,1,0,2.82,30,104,73,23,16,10,7,4,1,0,83,,,0,0,0,29,1,0,0,1,0,0,.66,0.350,3.77,42.50,71.00,1t start tie,9t -2- 2 out a4
11,401,51,May 27,ARI,@,MIL,L1-6,GS-6,L(6-3),4,5.1,5,5,5,2,6,1,0,3.24,23,97,62,12,24,3,12,3,1,0,42,,,0,0,0,21,2,0,0,0,0,0,.89,-0.158,-2.41,9.80,19.00,1b start tie,6b 1-- 1 out d5
12,402,56,Jun 1,ARI,@,MIA,W3-2,GS-7,W(7-3),4,7.0,4,2,1,2,8,0,0,3.06,26,86,59,20,17,12,4,4,0,0,69,,,1,0,0,24,1,0,0,1,0,0,.75,0.062,1.36,30.15,54.00,1b start tie,7b 3 out d1
13,403,61,Jun 7,ARI,,SD,W7-4,GS-5,W(8-3),5,5.0,7,3,3,1,8,1,0,3.20,23,102,61,19,12,6,8,6,1,0,48,,,1,0,0,22,1,1,0,0,0,0,1.11,-0.017,-0.15,20.45,42.00,1t start tie,5t 3 out a2
14,404,66,Jun 13,ARI,@,DET,W7-6,GS-6,,5,5.2,5,5,0,2,4,1,0,3.00,24,101,62,19,6,10,8,4,1,0,51,,,0,1,0,22,1,0,0,0,0,1,.50,-0.020,-0.98,16.55,29.00,1b start a 2,6b 1-- 2 out a2
15,405,71,Jun 20,ARI,@,COL,L3-4,GS-8,L(8-4),6,7.1,9,4,4,0,7,1,0,3.14,30,99,71,22,15,13,10,4,1,0,51,,,0,0,0,30,0,1,0,1,0,0,1.04,-0.407,-0.26,17.10,31.00,1b start tie,8b --3 1 out d1
16,406,77,Jun 26,ARI,,PHI,W6-1,GS-5,W(9-4),5,5.0,3,1,1,3,5,0,0,3.08,21,102,58,15,8,5,8,5,1,0,59,,,0,0,0,18,0,0,0,0,0,0,.76,0.174,1.85,19.65,39.00,1t start tie,5t 3 out a5
17,407,82,Jul 1,ARI,,COL,W6-2,GS-7,W(10-4),4,7.0,3,2,2,0,8,1,0,3.05,24,94,67,22,9,9,7,3,0,0,71,,,0,0,0,24,0,0,0,0,0,0,.87,0.234,1.98,29.95,51.00,1t start tie,7t 3 out a1
18,408,87,Jul 7,ARI,,CIN,W6-3,GS-7,W(11-4),5,7.0,4,0,0,1,7,0,0,2.86,25,107,67,19,18,8,9,3,2,0,75,,,0,0,0,24,1,0,0,0,0,0,.75,0.343,3.98,30.75,54.00,1t start tie,7t 3 out a4
19,409,94,Jul 19,ARI,@,CIN,L3-4,GS-5,,11,5.0,8,3,3,3,3,1,0,2.97,24,104,64,19,10,10,8,3,0,0,39,,,2,1,0,20,0,0,0,1,0,0,1.25,-0.075,-0.42,4.65,15.00,1b start tie,5b 3 out tie
20,410,99,Jul 24,ARI,,ATL,W10-2,GS-8,W(12-4),4,8.0,5,2,2,0,6,1,0,2.92,28,106,78,19,15,12,10,3,2,0,70,,,0,0,0,28,3,0,0,1,0,0,.62,0.205,2.55,27.00,48.00,1t start tie,8t 3 out a8
21,411,104,Jul 29,ARI,@,STL,W7-1,GS-7,W(13-4),4,7.0,4,1,1,1,9,0,0,2.84,26,98,63,20,10,6,10,6,1,0,73,,,0,0,0,25,2,0,0,1,0,1,1.28,0.319,2.55,32.75,57.00,1b start tie,7b 3 out a2
